"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098l"	"srv_097"	83	"DL*M"	500	5626.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_098l"	"srv_097c"	74	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097c"	74	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097c"	74	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097c"	74	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	61	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	61	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097e"	61	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097e"	61	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	25	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	25	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098f"	25	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098f"	25	"DL*M"	500	5518	0	0	0
"srv_098m"	"null"	0	"L*M"	73	5100	0	0	0
"srv_098m"	"srv_097"	87	"∂L*M"	500	5238.996	143.08709171561	6.399049275577	12.5724001861046
"srv_098m"	"srv_097"	87	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097"	87	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097"	87	"DL*M"	500	5219.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_098m"	"srv_097c"	78	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_097c"	78	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097c"	78	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097c"	78	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_097e"	64	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_097e"	64	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097e"	64	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097e"	64	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_098f"	28	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_098f"	28	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_098f"	28	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_098f"	28	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_098l"	3	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_098l"	3	"Adp"	500	5100	0	0	0
