"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_100m"	"srv_101"	27	"∂L*M"	500	4075.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_100m"	"srv_101"	27	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_101"	27	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_101"	27	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	4075.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_100m"	"srv_101h"	0	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	4075	0	0	0
"srv_101"	"null"	0	"L*M"	73	7076	0	0	0
"srv_101"	"srv_097"	112	"∂L*M"	500	7291.298	221.634900804248	9.91181408769444	19.4740324560991
"srv_101"	"srv_097"	112	"Adp"	500	7076	0	0	0
"srv_101"	"srv_097"	112	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_097"	112	"DL*M"	500	7274.556	202.872268135289	9.07272364600143	17.825446803608
"srv_101"	"srv_097c"	102	"∂L*M"	500	7076	0	0	0
"srv_101"	"srv_097c"	102	"Adp"	500	7076	0	0	0
"srv_101"	"srv_097c"	102	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_097c"	102	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_097e"	89	"∂L*M"	500	7076	0	0	0
"srv_101"	"srv_097e"	89	"Adp"	500	7076	0	0	0
"srv_101"	"srv_097e"	89	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_097e"	89	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_098f"	53	"∂L*M"	500	7076	0	0	0
"srv_101"	"srv_098f"	53	"Adp"	500	7076	0	0	0
"srv_101"	"srv_098f"	53	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_098f"	53	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_098l"	28	"∂L*M"	500	7100.808	101.957332896967	4.55967054324387	8.95851872953203
"srv_101"	"srv_098l"	28	"Adp"	500	7076	0	0	0
"srv_101"	"srv_098l"	28	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_098l"	28	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_098m"	24	"∂L*M"	500	7076	0	0	0
"srv_101"	"srv_098m"	24	"Adp"	500	7076	0	0	0
"srv_101"	"srv_098m"	24	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_098m"	24	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_098s"	2	"∂L*M"	500	7085.746	65.0457945972649	2.90893636739946	5.71527277754268
"srv_101"	"srv_098s"	2	"Adp"	500	7076	0	0	0
"srv_101"	"srv_098s"	2	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_098s"	2	"DL*M"	500	7075.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_101"	"srv_098u"	0	"∂L*M"	500	7292.184	221.657967718976	9.91284567148169	19.4760592390852
"srv_101"	"srv_098u"	0	"Adp"	500	7076	0	0	0
"srv_101"	"srv_098u"	0	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_098u"	0	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_100"	23	"∂L*M"	500	7076	0	0	0
"srv_101"	"srv_100"	23	"Adp"	500	7076	0	0	0
"srv_101"	"srv_100"	23	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_100"	23	"DL*M"	500	7076	0	0	0
"srv_101"	"srv_100f"	2	"∂L*M"	500	7084.86	62.0821131853218	2.77639650538431	5.45486781516407
"srv_101"	"srv_100f"	2	"Adp"	500	7076	0	0	0
"srv_101"	"srv_100f"	2	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_100f"	2	"DL*M"	500	7075.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_101"	"srv_100h"	0	"∂L*M"	500	7293.956	221.693450593544	9.91443251387311	19.4791769549704
"srv_101"	"srv_100h"	0	"Adp"	500	7076	0	0	0
"srv_101"	"srv_100h"	0	"DL*M+"	500	7076	0	0	0
"srv_101"	"srv_100h"	0	"DL*M"	500	7076	0	0	0
"srv_101h"	"null"	0	"L*M"	73	4075	0	0	0
"srv_101h"	"srv_097"	139	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101h"	"srv_097"	139	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_097"	139	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_097"	139	"DL*M"	500	4078.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_101h"	"srv_097c"	130	"∂L*M"	500	4075	0	0	0
"srv_101h"	"srv_097c"	130	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_097c"	130	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_097c"	130	"DL*M"	500	4076	0	0	0
"srv_101h"	"srv_097e"	117	"∂L*M"	500	4075	0	0	0
"srv_101h"	"srv_097e"	117	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_097e"	117	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_097e"	117	"DL*M"	500	4076	0	0	0
"srv_101h"	"srv_098f"	80	"∂L*M"	500	4075	0	0	0
"srv_101h"	"srv_098f"	80	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098f"	80	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098f"	80	"DL*M"	500	4076	0	0	0
"srv_101h"	"srv_098l"	55	"∂L*M"	500	4075.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_101h"	"srv_098l"	55	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098l"	55	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098l"	55	"DL*M"	500	4075.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_101h"	"srv_098m"	52	"∂L*M"	500	4075	0	0	0
"srv_101h"	"srv_098m"	52	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098m"	52	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098m"	52	"DL*M"	500	4076	0	0	0
"srv_101h"	"srv_098s"	29	"∂L*M"	500	4075.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_101h"	"srv_098s"	29	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098s"	29	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098s"	29	"DL*M"	500	4075.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_101h"	"srv_098u"	27	"∂L*M"	500	4075.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_101h"	"srv_098u"	27	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098u"	27	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098u"	27	"DL*M"	500	4075	0	0	0
"srv_101h"	"srv_098za"	0	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101h"	"srv_098za"	0	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M"	500	4075	0	0	0
"srv_101h"	"srv_100"	50	"∂L*M"	500	4075	0	0	0
"srv_101h"	"srv_100"	50	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_100"	50	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_100"	50	"DL*M"	500	4076	0	0	0
"srv_101h"	"srv_100f"	29	"∂L*M"	500	4075.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_101h"	"srv_100f"	29	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_100f"	29	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_100f"	29	"DL*M"	500	4075.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_101h"	"srv_100h"	27	"∂L*M"	500	4075.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_101h"	"srv_100h"	27	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_100h"	27	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_100h"	27	"DL*M"	500	4075	0	0	0
"srv_101h"	"srv_100m"	0	"∂L*M"	500	4076.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101h"	"srv_100m"	0	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M"	500	4075	0	0	0
"srv_101h"	"srv_101"	27	"∂L*M"	500	4075.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_101h"	"srv_101"	27	"Adp"	500	4075	0	0	0
"srv_101h"	"srv_101"	27	"DL*M+"	500	4075	0	0	0
"srv_101h"	"srv_101"	27	"DL*M"	500	4075	0	0	0
"srv_101k"	"null"	0	"L*M"	73	3634	0	0	0
"srv_101k"	"srv_097"	146	"∂L*M"	500	3634.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101k"	"srv_097"	146	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_097"	146	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_097"	146	"DL*M"	500	3637.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_101k"	"srv_097c"	137	"∂L*M"	500	3634	0	0	0
"srv_101k"	"srv_097c"	137	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_097c"	137	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_097c"	137	"DL*M"	500	3635	0	0	0
"srv_101k"	"srv_097e"	124	"∂L*M"	500	3634	0	0	0
"srv_101k"	"srv_097e"	124	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_097e"	124	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_097e"	124	"DL*M"	500	3635	0	0	0
"srv_101k"	"srv_098f"	88	"∂L*M"	500	3634	0	0	0
"srv_101k"	"srv_098f"	88	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098f"	88	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098f"	88	"DL*M"	500	3635	0	0	0
"srv_101k"	"srv_098l"	63	"∂L*M"	500	3634.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_101k"	"srv_098l"	63	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098l"	63	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098l"	63	"DL*M"	500	3634.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_101k"	"srv_098m"	59	"∂L*M"	500	3634	0	0	0
"srv_101k"	"srv_098m"	59	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098m"	59	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098m"	59	"DL*M"	500	3635	0	0	0
"srv_101k"	"srv_098s"	36	"∂L*M"	500	3634.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_101k"	"srv_098s"	36	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098s"	36	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098s"	36	"DL*M"	500	3634.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_101k"	"srv_098u"	34	"∂L*M"	500	3634.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_101k"	"srv_098u"	34	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098u"	34	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098u"	34	"DL*M"	500	3634	0	0	0
"srv_101k"	"srv_098za"	7	"∂L*M"	500	3634.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101k"	"srv_098za"	7	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_098za"	7	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_098za"	7	"DL*M"	500	3634	0	0	0
"srv_101k"	"srv_100"	58	"∂L*M"	500	3634	0	0	0
"srv_101k"	"srv_100"	58	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_100"	58	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_100"	58	"DL*M"	500	3635	0	0	0
"srv_101k"	"srv_100f"	36	"∂L*M"	500	3634.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_101k"	"srv_100f"	36	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_100f"	36	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_100f"	36	"DL*M"	500	3634.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_101k"	"srv_100h"	34	"∂L*M"	500	3634.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_101k"	"srv_100h"	34	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_100h"	34	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_100h"	34	"DL*M"	500	3634	0	0	0
"srv_101k"	"srv_100m"	7	"∂L*M"	500	3635.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_101k"	"srv_100m"	7	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_100m"	7	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_100m"	7	"DL*M"	500	3634	0	0	0
"srv_101k"	"srv_101"	34	"∂L*M"	500	3634.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_101k"	"srv_101"	34	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_101"	34	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_101"	34	"DL*M"	500	3634	0	0	0
"srv_101k"	"srv_101h"	7	"∂L*M"	500	3634.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_101k"	"srv_101h"	7	"Adp"	500	3634	0	0	0
"srv_101k"	"srv_101h"	7	"DL*M+"	500	3634	0	0	0
"srv_101k"	"srv_101h"	7	"DL*M"	500	3634	0	0	0
"srv_102"	"null"	0	"L*M"	73	3520	0	0	0
"srv_102"	"srv_097"	146	"∂L*M"	500	3512.71	7.50456774732218	0.335614472495297	0.65939161815234
"srv_102"	"srv_097"	146	"Adp"	500	3520	0	0	0
"srv_102"	"srv_097"	146	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_097"	146	"DL*M"	500	3496.992	24.0739495324756	1.0766197528303	2.11526647130358
"srv_102"	"srv_097c"	137	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_097c"	137	"Adp"	500	3520	0	0	0
"srv_102"	"srv_097c"	137	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_097c"	137	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_097e"	124	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_097e"	124	"Adp"	500	3520	0	0	0
"srv_102"	"srv_097e"	124	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_097e"	124	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_098f"	88	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_098f"	88	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098f"	88	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098f"	88	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_098l"	63	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_098l"	63	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098l"	63	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098l"	63	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_098m"	59	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_098m"	59	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098m"	59	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098m"	59	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_098s"	37	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_098s"	37	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098s"	37	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098s"	37	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_098u"	34	"∂L*M"	500	3512.32	7.50534879409625	0.335649401968906	0.65946024511575
"srv_102"	"srv_098u"	34	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098u"	34	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098u"	34	"DL*M"	500	3495.046	24.5945047383893	1.09989968935958	2.161005246823
"srv_102"	"srv_098za"	7	"∂L*M"	500	3512.29	7.50456774732218	0.335614472495297	0.65939161815234
"srv_102"	"srv_098za"	7	"Adp"	500	3520	0	0	0
"srv_102"	"srv_098za"	7	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_098za"	7	"DL*M"	500	3495.456	24.2449933678443	1.08426906569063	2.13029530110114
"srv_102"	"srv_100"	58	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_100"	58	"Adp"	500	3520	0	0	0
"srv_102"	"srv_100"	58	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_100"	58	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_100f"	37	"∂L*M"	500	3520	0	0	0
"srv_102"	"srv_100f"	37	"Adp"	500	3520	0	0	0
"srv_102"	"srv_100f"	37	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_100f"	37	"DL*M"	500	3520	0	0	0
"srv_102"	"srv_100h"	34	"∂L*M"	500	3512.38	7.50655024583106	0.33570313252392	0.659565811116381
"srv_102"	"srv_100h"	34	"Adp"	500	3520	0	0	0
"srv_102"	"srv_100h"	34	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_100h"	34	"DL*M"	500	3495.994	24.0659157440809	1.07626047089095	2.11456057951769
"srv_102"	"srv_100m"	7	"∂L*M"	500	3512.71	7.50456774732218	0.335614472495297	0.65939161815234
"srv_102"	"srv_100m"	7	"Adp"	500	3520	0	0	0
"srv_102"	"srv_100m"	7	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_100m"	7	"DL*M"	500	3497.094	23.9950972781269	1.07309337281224	2.10833808883832
"srv_102"	"srv_101"	34	"∂L*M"	500	3512.44	7.5072710245783	0.335735366729431	0.659629142607344
"srv_102"	"srv_101"	34	"Adp"	500	3520	0	0	0
"srv_102"	"srv_101"	34	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_101"	34	"DL*M"	500	3496.092	24.13164330121	1.07919989660566	2.12033575561201
"srv_102"	"srv_101h"	7	"∂L*M"	500	3511.78	7.47283658145595	0.334195411617653	0.656603547538431
"srv_102"	"srv_101h"	7	"Adp"	500	3520	0	0	0
"srv_102"	"srv_101h"	7	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_101h"	7	"DL*M"	500	3493.688	24.2600857277759	1.08494401654559	2.13162139688335
"srv_102"	"srv_101k"	0	"∂L*M"	500	3512.23	7.50264482424148	0.335528476760818	0.659222659805309
"srv_102"	"srv_101k"	0	"Adp"	500	3520	0	0	0
"srv_102"	"srv_101k"	0	"DL*M+"	500	3520	0	0	0
"srv_102"	"srv_101k"	0	"DL*M"	500	3495.392	24.1532004127892	1.08016395994345	2.12222987918655
"srv_110pre1"	"null"	0	"L*M"	73	3032	0	0	0
"srv_110pre1"	"srv_097"	157	"∂L*M"	500	3026.168	6.00365419785774	0.268491577996238	0.527513294521872
"srv_110pre1"	"srv_097"	157	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_097"	157	"DL*M+"	500	2994.536	22.3228430681509	0.998307891028905	1.96140485475943
"srv_110pre1"	"srv_097"	157	"DL*M"	500	2982.264	25.1302479638672	1.12385885477265	2.2080785232936
"srv_110pre1"	"srv_097c"	148	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_097c"	148	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_097c"	148	"DL*M+"	500	2993.5	21.0626986530477	0.941952519556159	1.85068180008689
"srv_110pre1"	"srv_097c"	148	"DL*M"	500	2993.5	21.0626986530477	0.941952519556159	1.85068180008689
"srv_110pre1"	"srv_097e"	135	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_097e"	135	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_097e"	135	"DL*M+"	500	2997.5	23.1478215667603	1.03520205108623	2.03389189537986
"srv_110pre1"	"srv_097e"	135	"DL*M"	500	2997.5	23.1478215667603	1.03520205108623	2.03389189537986
"srv_110pre1"	"srv_098f"	99	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_098f"	99	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098f"	99	"DL*M+"	500	2997.6	23.188691874742	1.0370298268244	2.03748298009277
"srv_110pre1"	"srv_098f"	99	"DL*M"	500	2997.6	23.188691874742	1.0370298268244	2.03748298009277
"srv_110pre1"	"srv_098l"	74	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_098l"	74	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098l"	74	"DL*M+"	500	2995.5	22.2202042058551	0.993717741564374	1.95238645319743
"srv_110pre1"	"srv_098l"	74	"DL*M"	500	2995.5	22.2202042058551	0.993717741564374	1.95238645319743
"srv_110pre1"	"srv_098m"	70	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_098m"	70	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098m"	70	"DL*M+"	500	2997.9	23.3082936549678	1.0423785810407	2.04799183470671
"srv_110pre1"	"srv_098m"	70	"DL*M"	500	2997.9	23.3082936549678	1.0423785810407	2.04799183470671
"srv_110pre1"	"srv_098s"	47	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_098s"	47	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098s"	47	"DL*M+"	500	2994.9	21.8986095037195	0.979335589260793	1.92412941586093
"srv_110pre1"	"srv_098s"	47	"DL*M"	500	2994.9	21.8986095037195	0.979335589260793	1.92412941586093
"srv_110pre1"	"srv_098u"	45	"∂L*M"	500	3025.856	6.004279035277	0.268519521575125	0.5275681960926
"srv_110pre1"	"srv_098u"	45	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098u"	45	"DL*M+"	500	2995.488	22.7424778024116	1.01707452685945	1.99827621574566
"srv_110pre1"	"srv_098u"	45	"DL*M"	500	2982.488	26.3450560819278	1.1781867254047	2.31481808747415
"srv_110pre1"	"srv_098za"	18	"∂L*M"	500	3025.832	6.00365419785774	0.268491577996238	0.527513294521872
"srv_110pre1"	"srv_098za"	18	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_098za"	18	"DL*M+"	500	2994.792	22.1981587638482	0.992731839425945	1.95044942228942
"srv_110pre1"	"srv_098za"	18	"DL*M"	500	2981.636	24.8790965046115	1.11262702006177	2.18601100752242
"srv_110pre1"	"srv_100"	69	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_100"	69	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_100"	69	"DL*M+"	500	2996.7	22.8024099559586	1.01975477424683	2.00354217656276
"srv_110pre1"	"srv_100"	69	"DL*M"	500	2996.7	22.8024099559586	1.01975477424683	2.00354217656276
"srv_110pre1"	"srv_100f"	47	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_100f"	47	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_100f"	47	"DL*M+"	500	2995.6	22.2717773006165	0.996024160478305	1.95691794222556
"srv_110pre1"	"srv_100f"	47	"DL*M"	500	2995.6	22.2717773006165	0.996024160478305	1.95691794222556
"srv_110pre1"	"srv_100h"	45	"∂L*M"	500	3025.904	6.00524019666485	0.268562506019136	0.527652648893105
"srv_110pre1"	"srv_100h"	45	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_100h"	45	"DL*M+"	500	2994.576	22.7839074101381	1.0189273152426	2.00191644353732
"srv_110pre1"	"srv_100h"	45	"DL*M"	500	2981.992	25.7202449054435	1.15024432013029	2.25991882257662
"srv_110pre1"	"srv_100m"	18	"∂L*M"	500	3026.168	6.00365419785774	0.268491577996238	0.527513294521872
"srv_110pre1"	"srv_100m"	18	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_100m"	18	"DL*M+"	500	2996.44	23.1152553535565	1.03374564575636	2.03103045302307
"srv_110pre1"	"srv_100m"	18	"DL*M"	500	2984.064	26.0967043888672	1.16708010004448	2.29299657419425
"srv_110pre1"	"srv_101"	45	"∂L*M"	500	3025.952	6.00581681966264	0.268588293383545	0.527703314085875
"srv_110pre1"	"srv_101"	45	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_101"	45	"DL*M+"	500	2997.584	23.8556729156928	1.0668581257698	2.09608751571396
"srv_110pre1"	"srv_101"	45	"DL*M"	500	2984.896	26.7909068412915	1.19812577751984	2.3539929291932
"srv_110pre1"	"srv_101h"	18	"∂L*M"	500	3025.424	5.97826926516476	0.267356329294122	0.525282838030745
"srv_110pre1"	"srv_101h"	18	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_101h"	18	"DL*M+"	500	2995.14	22.4746662098124	1.00509762833516	1.97474485120212
"srv_110pre1"	"srv_101h"	18	"DL*M"	500	2981.152	26.1207481318191	1.16815536891796	2.29510918655319
"srv_110pre1"	"srv_101k"	11	"∂L*M"	500	3025.784	6.00211585939318	0.268422781408654	0.527378127844247
"srv_110pre1"	"srv_101k"	11	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_101k"	11	"DL*M+"	500	2995.14	22.4746662098124	1.00509762833516	1.97474485120212
"srv_110pre1"	"srv_101k"	11	"DL*M"	500	2981.932	25.7427417635926	1.15125041021232	2.26189551733077
"srv_110pre1"	"srv_102"	10	"∂L*M"	500	3032	0	0	0
"srv_110pre1"	"srv_102"	10	"Adp"	500	3032	0	0	0
"srv_110pre1"	"srv_102"	10	"DL*M+"	500	2997.4	23.1064453266023	1.0333516493733	2.03025635674933
"srv_110pre1"	"srv_102"	10	"DL*M"	500	2995.5	22.2202042058551	0.993717741564374	1.95238645319743
