"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_098u"	"srv_100f"	2	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100f"	2	"DL*M"	500	554.416	9.03893515284819	0.40423346891962	0.794209377207286
"srv_098u"	"srv_100h"	0	"∂L*M"	500	545.236	17.9875347619852	0.80442700950879	1.58048138848625
"srv_098u"	"srv_100h"	0	"Adp"	500	595	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	595	0	0	0
"srv_098za"	"null"	0	"L*M"	73	448	0	0	0
"srv_098za"	"srv_097"	139	"∂L*M"	500	383.798	43.4284383153369	1.94217880459499	3.81585577994112
"srv_098za"	"srv_097"	139	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097"	139	"DL*M+"	500	1119	98.3623418824562	4.39889765750493	8.64264351564684
"srv_098za"	"srv_097"	139	"DL*M"	500	1044.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_098za"	"srv_097c"	130	"∂L*M"	500	422.012	21.2017661002932	0.948171804866126	1.86290101272632
"srv_098za"	"srv_097c"	130	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097c"	130	"DL*M+"	500	861.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_097c"	130	"DL*M"	500	809.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_097e"	117	"∂L*M"	500	421.4	19.9614859628157	0.892704790895274	1.75392334014746
"srv_098za"	"srv_097e"	117	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097e"	117	"DL*M+"	500	861.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098za"	"srv_097e"	117	"DL*M"	500	809.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_098za"	"srv_098f"	80	"∂L*M"	500	423.984	20.6186809473355	0.922095444092439	1.81166802030426
"srv_098za"	"srv_098f"	80	"Adp"	500	503	0	0	0
"srv_098za"	"srv_098f"	80	"DL*M+"	500	859.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_098f"	80	"DL*M"	500	809.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_098l"	55	"∂L*M"	500	394.072	16.2954564158111	0.728754965402774	1.43180629935505
"srv_098za"	"srv_098l"	55	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098l"	55	"DL*M+"	500	592.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_098za"	"srv_098l"	55	"DL*M"	500	565.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_098za"	"srv_098m"	52	"∂L*M"	500	396.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_098za"	"srv_098m"	52	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098m"	52	"DL*M+"	500	546	0	0	0
"srv_098za"	"srv_098m"	52	"DL*M"	500	518	0	0	0
"srv_098za"	"srv_098s"	29	"∂L*M"	500	394.394	12.0248058575523	0.537765666274491	1.05656400999357
"srv_098za"	"srv_098s"	29	"Adp"	500	448	0	0	0
