Inferred	Reused	N	Rounds	sd	se	ci	Rounds_Percent
client_098j	N/A	2998	5,56004002668446	0,702417959186922	0,0128286156195924	0,0251537830914397	1
client_098l	N/A	3997	5,57267950963222	0,722188137758631	0,0114230815314246	0,0223956118570158	1
client_098l	client_098j	1000	1	0	0	0	0,179446888749214
client_098m	N/A	4998	5,56982793117247	0,720095224733349	0,0101857216782709	0,0199684843577526	1
client_098m	client_098j	1000	1	0	0	0	0,179538759968389
client_098m	client_098l	1000	1	0	0	0	0,179538759968389
client_098za	N/A	6000	5,26033333333333	0,438853036395422	0,00566556833797342	0,0111065507563211	1
client_098za	client_098j	1000	1	0	0	0	0,190102021418161
client_098za	client_098l	1000	1	0	0	0	0,190102021418161
client_098za	client_098m	1000	1	0	0	0	0,190102021418161
client_100m	N/A	7000	5,257	0,437010620708241	0,00522327596453471	0,010239203472469	1
client_100m	client_098j	1000	1	0	0	0	0,190222560395663
client_100m	client_098l	1000	1	0	0	0	0,190222560395663
client_100m	client_098m	1000	1	0	0	0	0,190222560395663
client_100m	client_098za	1000	1	0	0	0	0,190222560395663
client_101	N/A	7990	5,45569461827284	0,751167647403706	0,00840356347998902	0,0164731775068699	1
client_101	client_098j	1000	1	0	0	0	0,183294716799339
client_101	client_098l	1000	1	0	0	0	0,183294716799339
client_101	client_098m	1000	1	0	0	0	0,183294716799339
client_101	client_098za	1000	1	0	0	0	0,183294716799339
client_101	client_100m	1000	1	0	0	0	0,183294716799339
client_101h	N/A	9000	5,251	0,433612604866384	0,00457067817845462	0,00895956967326336	1
client_101h	client_098j	1000	1	0	0	0	0,190439916206437
client_101h	client_098l	1000	1	0	0	0	0,190439916206437
client_101h	client_098m	1000	1	0	0	0	0,190439916206437
client_101h	client_098za	1000	1	0	0	0	0,190439916206437
client_101h	client_100m	1000	1	0	0	0	0,190439916206437
client_101h	client_101	1000	1	0	0	0	0,190439916206437
client_102	N/A	10000	5,2535	0,435036407289743	0,00435036407289743	0,00852758915290649	1
client_102	client_098j	1000	1	0	0	0	0,190349290948891
client_102	client_098l	1000	1	0	0	0	0,190349290948891
client_102	client_098m	1000	1	0	0	0	0,190349290948891
client_102	client_098za	1000	1	0	0	0	0,190349290948891
client_102	client_100m	1000	1	0	0	0	0,190349290948891
client_102	client_101	1000	1	0	0	0	0,190349290948891
client_102	client_101h	1000	1	0	0	0	0,190349290948891
client_110-pre1	N/A	11000	5,25909090909091	0,43815552338012	0,00417764899814267	0,00818894271184547	1
client_110-pre1	client_098j	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_098l	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_098m	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_098za	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_100m	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_101	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_101h	1000	1	0	0	0	0,190146931719965
client_110-pre1	client_102	1000	1	0	0	0	0,190146931719965
