Inferred	Reused	N	MQ_Reset	sd	se	ci	MQ_Reset_Percent
client_098j	N/A	2998	569,200800533689	72,8458387435308	1,3304205174499	2,60862980922325	1
client_098l	N/A	3997	570,518638979234	74,9031404267859	1,18476700920404	2,3228042281006	1
client_098l	client_098j	1000	968	0	0	0	1,69670179703845
client_098m	N/A	4998	570,221288515406	74,6685334321717	1,05618378450766	2,0705837098264	1
client_098m	client_098j	1000	968	0	0	0	1,6975865676994
client_098m	client_098l	1000	968	0	0	0	1,6975865676994
client_098za	N/A	6000	327,6735	27,9978965540611	0,361451290275723	0,708574473363612	1
client_098za	client_098j	1000	768	0	0	0	2,34379649254517
client_098za	client_098l	1000	768	0	0	0	2,34379649254517
client_098za	client_098m	1000	768	0	0	0	2,34379649254517
client_100m	N/A	7000	327,490142857143	27,8795382942725	0,333224217843483	0,653220429404922	1
client_100m	client_098j	1000	768	0	0	0	2,34510875136482
client_100m	client_098l	1000	768	0	0	0	2,34510875136482
client_100m	client_098m	1000	768	0	0	0	2,34510875136482
client_100m	client_098za	1000	568	0	0	0	1,73440334736356
client_101	N/A	7990	558,381226533166	77,8869621242368	0,871347471815111	1,70806844115032	1
client_101	client_098j	1000	871	0	0	0	1,55986619644754
client_101	client_098l	1000	871	0	0	0	1,55986619644754
client_101	client_098m	1000	871	0	0	0	1,55986619644754
client_101	client_098za	1000	871	0	0	0	1,55986619644754
client_101	client_100m	1000	871	0	0	0	1,55986619644754
client_101h	N/A	9000	327,109777777778	27,6530292284409	0,291488521883606	0,57138385570076	1
client_101h	client_098j	1000	768	0	0	0	2,34783565693882
client_101h	client_098l	1000	768	0	0	0	2,34783565693882
client_101h	client_098m	1000	768	0	0	0	2,34783565693882
client_101h	client_098za	1000	568	0	0	0	1,73642012127767
client_101h	client_100m	1000	568	0	0	0	1,73642012127767
client_101h	client_101	1000	865	0	0	0	2,64437219173448
client_102	N/A	10000	327,2512	27,7292010238114	0,277292010238114	0,543548148860857	1
client_102	client_098j	1000	768	0	0	0	2,34682103533921
client_102	client_098l	1000	768	0	0	0	2,34682103533921
client_102	client_098m	1000	768	0	0	0	2,34682103533921
client_102	client_098za	1000	568	0	0	0	1,73566972405296
client_102	client_100m	1000	568	0	0	0	1,73566972405296
client_102	client_101	1000	865	0	0	0	2,64322942131305
client_102	client_101h	1000	568	0	0	0	1,73566972405296
client_110-pre1	N/A	11000	327,602727272727	27,9464730634354	0,266459165673453	0,522307844368003	1
client_110-pre1	client_098j	1000	768	0	0	0	2,34430282798178
client_110-pre1	client_098l	1000	768	0	0	0	2,34430282798178
client_110-pre1	client_098m	1000	768	0	0	0	2,34430282798178
client_110-pre1	client_098za	1000	568	0	0	0	1,73380729986153
client_110-pre1	client_100m	1000	568	0	0	0	1,73380729986153
client_110-pre1	client_101	1000	865	0	0	0	2,64039315912011
client_110-pre1	client_101h	1000	568	0	0	0	1,73380729986153
client_110-pre1	client_102	1000	568	0	0	0	1,73380729986153
