"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols"	"sd"	"se"	"ci"
"srv_098m"	"srv_098l"	0	"DL*M+"	500	32203.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098m"	"srv_098l"	0	"DL*M"	500	32203.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"null"	0	"L*M"	73	31448	0	0	0
"srv_098s"	"srv_097"	9	"∂L*M"	500	31263.06	268.025475862693	11.9864636746142	23.5501574755208
"srv_098s"	"srv_097"	9	"Adp"	500	31772	0	0	0
"srv_098s"	"srv_097"	9	"DL*M+"	500	35971.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_098s"	"srv_097"	9	"DL*M"	500	36432.432	1090.63776518406	48.7748036356004	95.8292902425174
"srv_098s"	"srv_097c"	8	"∂L*M"	500	31595.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098s"	"srv_097c"	8	"Adp"	500	31772	0	0	0
"srv_098s"	"srv_097c"	8	"DL*M+"	500	33921.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098s"	"srv_097c"	8	"DL*M"	500	33821.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_098s"	"srv_097e"	7	"∂L*M"	500	31593.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_098s"	"srv_097e"	7	"Adp"	500	31772	0	0	0
"srv_098s"	"srv_097e"	7	"DL*M+"	500	33920.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098s"	"srv_097e"	7	"DL*M"	500	33819.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_098s"	"srv_098f"	4	"∂L*M"	500	31602.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_098s"	"srv_098f"	4	"Adp"	500	31772	0	0	0
"srv_098s"	"srv_098f"	4	"DL*M+"	500	33907.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098s"	"srv_098f"	4	"DL*M"	500	33811.36	126.286051222876	5.64768390288744	11.096170555011
"srv_098s"	"srv_098l"	2	"∂L*M"	500	31395.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098s"	"srv_098l"	2	"Adp"	500	31448	0	0	0
"srv_098s"	"srv_098l"	2	"DL*M+"	500	31807.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"srv_098l"	2	"DL*M"	500	31807.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"srv_098m"	1	"∂L*M"	500	31395.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098s"	"srv_098m"	1	"Adp"	500	31448	0	0	0
"srv_098s"	"srv_098m"	1	"DL*M+"	500	31461.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098s"	"srv_098m"	1	"DL*M"	500	31461.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098s"	"srv_100"	1	"∂L*M"	500	31394.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_098s"	"srv_100"	1	"Adp"	500	31448	0	0	0
"srv_098s"	"srv_100"	1	"DL*M+"	500	31464.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098s"	"srv_100"	1	"DL*M"	500	31464.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098s"	"srv_100f"	0	"∂L*M"	500	31393.694	21.7504604332441	0.972710161413066	1.91111224304063
"srv_098s"	"srv_100f"	0	"Adp"	500	31448	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	31465.738	30.3532534663417	1.35743876178042	2.66699983173593
"srv_098s"	"srv_100f"	0	"DL*M"	500	31465.738	30.3532534663417	1.35743876178042	2.66699983173593
"srv_098u"	"null"	0	"L*M"	73	38386	0	0	0
"srv_098u"	"srv_097"	9	"∂L*M"	500	39000.584	774.918400865536	34.6554044270154	68.088491634322
"srv_098u"	"srv_097"	9	"Adp"	500	38778	0	0	0
"srv_098u"	"srv_097"	9	"DL*M+"	500	42977.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_098u"	"srv_097"	9	"DL*M"	500	43565.748	1334.59873222182	59.6850697586607	117.265010757991
"srv_098u"	"srv_097c"	8	"∂L*M"	500	38344.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098u"	"srv_097c"	8	"Adp"	500	38778	0	0	0
"srv_098u"	"srv_097c"	8	"DL*M+"	500	40927.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098u"	"srv_097c"	8	"DL*M"	500	40570.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_098u"	"srv_097e"	7	"∂L*M"	500	38342.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_098u"	"srv_097e"	7	"Adp"	500	38778	0	0	0
"srv_098u"	"srv_097e"	7	"DL*M+"	500	40926.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098u"	"srv_097e"	7	"DL*M"	500	40568.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_098u"	"srv_098f"	4	"∂L*M"	500	38351.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_098u"	"srv_098f"	4	"Adp"	500	38778	0	0	0
"srv_098u"	"srv_098f"	4	"DL*M+"	500	40913.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098u"	"srv_098f"	4	"DL*M"	500	40560.36	126.286051222876	5.64768390288744	11.096170555011
"srv_098u"	"srv_098l"	2	"∂L*M"	500	38249.164	426.30094780589	19.0647579633312	37.4570903026234
"srv_098u"	"srv_098l"	2	"Adp"	500	38386	0	0	0
"srv_098u"	"srv_098l"	2	"DL*M+"	500	38733.998	46.5215919012457	2.08050883825378	4.08763686272686
"srv_098u"	"srv_098l"	2	"DL*M"	500	38550.122	31.8946649976234	1.42637278108538	2.80243652550329
"srv_098u"	"srv_098m"	2	"∂L*M"	500	38144.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098u"	"srv_098m"	2	"Adp"	500	38386	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M+"	500	38399.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098m"	2	"DL*M"	500	38210.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098s"	0	"∂L*M"	500	38182.978	272.839748887779	12.2017645095409	23.9731653538055
"srv_098u"	"srv_098s"	0	"Adp"	500	38386	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M+"	500	38404.424	31.4306218835067	1.40562014213227	2.76166320581156
"srv_098u"	"srv_098s"	0	"DL*M"	500	38226.148	65.7454410742227	2.94022550905337	5.7767474737689
"srv_098u"	"srv_100"	1	"∂L*M"	500	38143.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_098u"	"srv_100"	1	"Adp"	500	38386	0	0	0
