"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_098u"	"srv_098l"	2	"Adp"	500	0	0	0	0
"srv_098u"	"srv_098l"	2	"DL*M+"	500	347.998	46.5215919012457	2.08050883825378	4.08763686272686
"srv_098u"	"srv_098l"	2	"DL*M"	500	164.122	31.8946649976234	1.42637278108538	2.80243652550329
"srv_098u"	"srv_098m"	2	"∂L*M"	500	-241.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_098u"	"srv_098m"	2	"Adp"	500	0	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M+"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098m"	2	"DL*M"	500	-175.672	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098s"	0	"∂L*M"	500	-240.664	29.4390288024871	1.31655339187871	2.58667114382863
"srv_098u"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M+"	500	18.424	31.4306218835067	1.40562014213227	2.76166320581156
"srv_098u"	"srv_098s"	0	"DL*M"	500	-159.642	66.7986673513764	2.98732722008147	5.86928958979161
"srv_098u"	"srv_100"	1	"∂L*M"	500	-242.172	22.8827808475858	1.02334906978864	2.01060399465365
"srv_098u"	"srv_100"	1	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100"	1	"DL*M+"	500	16.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100"	1	"DL*M"	500	-172.928	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100f"	0	"∂L*M"	500	-240.194	29.3803126181305	1.31392752428669	2.58151202459375
"srv_098u"	"srv_100f"	0	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M+"	500	16.366	29.6916694456364	1.32785182491793	2.60886950729289
"srv_098u"	"srv_100f"	0	"DL*M"	500	-163.954	60.5771827848431	2.70909397184679	5.32263654943495
"srv_098u"	"srv_100h"	0	"∂L*M"	500	-32.45	106.853408001819	4.77862967839175	9.38871417778231
"srv_098u"	"srv_100h"	0	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	156.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098u"	"srv_100h"	0	"DL*M"	500	156.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"null"	0	"L*M"	73	0	0	0	0
"srv_098za"	"srv_097"	11	"∂L*M"	500	-296.562	249.997391080575	11.1802232130753	21.9661131445319
"srv_098za"	"srv_097"	11	"Adp"	500	287	0	0	0
"srv_098za"	"srv_097"	11	"DL*M+"	500	4785.42	793.429033286357	35.4832250750048	69.7149351918932
"srv_098za"	"srv_097"	11	"DL*M"	500	4389.244	647.531657108682	28.958496057562	56.8956083230931
"srv_098za"	"srv_097c"	10	"∂L*M"	500	-75.998	130.651374118753	5.84290707766575	11.4797312642999
"srv_098za"	"srv_097c"	10	"Adp"	500	287	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M+"	500	2945.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098za"	"srv_097c"	10	"DL*M"	500	2677.45	107.124314408424	4.79074498120594	9.41251746930207
"srv_098za"	"srv_097e"	9	"∂L*M"	500	-78.776	126.569813381069	5.66037413239066	11.1211034218944
"srv_098za"	"srv_097e"	9	"Adp"	500	287	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M+"	500	2944.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098za"	"srv_097e"	9	"DL*M"	500	2675.362	104.24087142071	4.66179349061047	9.15916268571749
"srv_098za"	"srv_098f"	6	"∂L*M"	500	-66.956	126.917161944285	5.67590803237543	11.1516233317511
"srv_098za"	"srv_098f"	6	"Adp"	500	287	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M+"	500	2931.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098za"	"srv_098f"	6	"DL*M"	500	2668.35	102.871826684719	4.60056794873218	9.03887106411005
"srv_098za"	"srv_098l"	4	"∂L*M"	500	-193.704	62.0729448710945	2.77598648590729	5.45406223784667
"srv_098za"	"srv_098l"	4	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M+"	500	789.978	45.8842483265115	2.05200596709122	4.03163643402623
"srv_098za"	"srv_098l"	4	"DL*M"	500	684.25	29.1035656762215	1.30155102479322	2.55719555228138
"srv_098za"	"srv_098m"	4	"∂L*M"	500	-181.552	31.731704936804	1.41908498561319	2.78811797954357
"srv_098za"	"srv_098m"	4	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M+"	500	454.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098m"	4	"DL*M"	500	342.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098s"	2	"∂L*M"	500	-190.358	43.3916525038403	1.94053369309272	3.81262358102114
"srv_098za"	"srv_098s"	2	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M+"	500	456.974	40.3195319083272	1.80314428335983	3.54269056970849
"srv_098za"	"srv_098s"	2	"DL*M"	500	347.438	33.0356908470139	1.47740100835181	2.90269318338366
"srv_098za"	"srv_098u"	2	"∂L*M"	500	-137.984	263.50580707971	11.7843379419235	23.1530351078286
"srv_098za"	"srv_098u"	2	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M+"	500	841.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_098u"	2	"DL*M"	500	841.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_100"	4	"∂L*M"	500	-182.896	30.5103744634477	1.36446542638485	2.68080532620487
"srv_098za"	"srv_100"	4	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100"	4	"DL*M+"	500	457.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100"	4	"DL*M"	500	345.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100f"	2	"∂L*M"	500	-188.748	43.2047427441847	1.93217483452776	3.79620068592346
"srv_098za"	"srv_100f"	2	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M+"	500	454.818	37.8179490525475	1.6912700970224	3.32288806771851
"srv_098za"	"srv_100f"	2	"DL*M"	500	345.058	30.897312566754	1.38176982442641	2.71480378563046
"srv_098za"	"srv_100h"	2	"∂L*M"	500	-135.632	266.975985680098	11.9395290468142	23.457943632827
"srv_098za"	"srv_100h"	2	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M+"	500	842.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100h"	2	"DL*M"	500	842.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100m"	0	"∂L*M"	500	-145.418	265.810454405659	11.8874049036232	23.3555337967197
"srv_098za"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	112.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_100m"	0	"DL*M"	500	112.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_101"	2	"∂L*M"	500	-137.606	265.954685149757	11.8938550985882	23.368206684345
"srv_098za"	"srv_101"	2	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101"	2	"DL*M+"	500	1535.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101"	2	"DL*M"	500	1535.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101h"	0	"∂L*M"	500	-116.018	263.296988749528	11.7749993022988	23.1346872080861
"srv_098za"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	125.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_098za"	"srv_101h"	0	"DL*M"	500	125.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_100"	"null"	0	"L*M"	73	0	0	0	0
"srv_100"	"srv_097"	7	"∂L*M"	500	-53.396	147.696634272928	6.60519428564385	12.9774193461884
"srv_100"	"srv_097"	7	"Adp"	500	324	0	0	0
"srv_100"	"srv_097"	7	"DL*M+"	500	4523.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100"	"srv_097"	7	"DL*M"	500	4509.208	599.799790190548	26.8238620751235	52.7016301987952
"srv_100"	"srv_097c"	6	"∂L*M"	500	147.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100"	"srv_097c"	6	"Adp"	500	324	0	0	0
"srv_100"	"srv_097c"	6	"DL*M+"	500	2473.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100"	"srv_097c"	6	"DL*M"	500	2373.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100"	"srv_097e"	5	"∂L*M"	500	145.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100"	"srv_097e"	5	"Adp"	500	324	0	0	0
"srv_100"	"srv_097e"	5	"DL*M+"	500	2472.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100"	"srv_097e"	5	"DL*M"	500	2371.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100"	"srv_098f"	2	"∂L*M"	500	154.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100"	"srv_098f"	2	"Adp"	500	324	0	0	0
"srv_100"	"srv_098f"	2	"DL*M+"	500	2459.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100"	"srv_098f"	2	"DL*M"	500	2363.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100"	"srv_098l"	0	"∂L*M"	500	-52.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098l"	0	"Adp"	500	0	0	0	0
"srv_100"	"srv_098l"	0	"DL*M+"	500	359.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098l"	0	"DL*M"	500	359.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098m"	0	"∂L*M"	500	-52.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098m"	0	"Adp"	500	0	0	0	0
"srv_100"	"srv_098m"	0	"DL*M+"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100"	"srv_098m"	0	"DL*M"	500	13.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"null"	0	"L*M"	73	0	0	0	0
