"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_098s"	"null"	0	"L*M"	73	5522	0	0	0
"srv_098s"	"srv_097"	9	"∂L*M"	500	5480.224	53.1797140644433	2.37826911344194	4.67265522685761
"srv_098s"	"srv_097"	9	"Adp"	500	5583	0	0	0
"srv_098s"	"srv_097"	9	"DL*M+"	500	6129.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098s"	"srv_097"	9	"DL*M"	500	6230.75	174.614982989917	7.8090194371085	15.3426100028812
"srv_098s"	"srv_097c"	8	"∂L*M"	500	5545.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098s"	"srv_097c"	8	"Adp"	500	5583	0	0	0
"srv_098s"	"srv_097c"	8	"DL*M+"	500	5831.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_097c"	8	"DL*M"	500	5817.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_097e"	7	"∂L*M"	500	5545.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098s"	"srv_097e"	7	"Adp"	500	5583	0	0	0
"srv_098s"	"srv_097e"	7	"DL*M+"	500	5831.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098s"	"srv_097e"	7	"DL*M"	500	5817.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098s"	"srv_098f"	4	"∂L*M"	500	5547.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098s"	"srv_098f"	4	"Adp"	500	5583	0	0	0
"srv_098s"	"srv_098f"	4	"DL*M+"	500	5829.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_098f"	4	"DL*M"	500	5816.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_098l"	2	"∂L*M"	500	5504.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098l"	2	"Adp"	500	5522	0	0	0
"srv_098s"	"srv_098l"	2	"DL*M+"	500	5571	0	0	0
"srv_098s"	"srv_098l"	2	"DL*M"	500	5571	0	0	0
"srv_098s"	"srv_098m"	1	"∂L*M"	500	5504.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098m"	1	"Adp"	500	5522	0	0	0
"srv_098s"	"srv_098m"	1	"DL*M+"	500	5522	0	0	0
"srv_098s"	"srv_098m"	1	"DL*M"	500	5522	0	0	0
"srv_098s"	"srv_100"	1	"∂L*M"	500	5504.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098s"	"srv_100"	1	"Adp"	500	5522	0	0	0
"srv_098s"	"srv_100"	1	"DL*M+"	500	5522	0	0	0
"srv_098s"	"srv_100"	1	"DL*M"	500	5522	0	0	0
