"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"EQ_Symbols"	"sd"	"se"	"ci"
"srv_098u"	"srv_100f"	0	"DL*M+"	500	35880	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M"	500	35879.832	1.07241603508368	0.0479599030921583	0.0942282311940848
"srv_098u"	"srv_100h"	0	"∂L*M"	500	36721.812	856.247164707796	38.2925373165618	75.2344735213419
"srv_098u"	"srv_100h"	0	"Adp"	500	35880	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	35880	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	35880	0	0	0
"srv_098za"	"null"	0	"L*M"	73	23765	0	0	0
"srv_098za"	"srv_097"	11	"∂L*M"	500	23766.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_098za"	"srv_097"	11	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_097"	11	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_097"	11	"DL*M"	500	23784.366	118.533220206764	5.30096675948551	10.41496519301
"srv_098za"	"srv_097c"	10	"∂L*M"	500	23765	0	0	0
"srv_098za"	"srv_097c"	10	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M"	500	23770	0	0	0
"srv_098za"	"srv_097e"	9	"∂L*M"	500	23765	0	0	0
"srv_098za"	"srv_097e"	9	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M"	500	23770	0	0	0
"srv_098za"	"srv_098f"	6	"∂L*M"	500	23765	0	0	0
"srv_098za"	"srv_098f"	6	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M"	500	23770	0	0	0
"srv_098za"	"srv_098l"	4	"∂L*M"	500	23765.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_098za"	"srv_098l"	4	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M"	500	23769.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_098za"	"srv_098m"	4	"∂L*M"	500	23765	0	0	0
"srv_098za"	"srv_098m"	4	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M"	500	23770	0	0	0
"srv_098za"	"srv_098s"	2	"∂L*M"	500	23765.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_098za"	"srv_098s"	2	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M"	500	23769.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_098za"	"srv_098u"	2	"∂L*M"	500	23766.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_098za"	"srv_098u"	2	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M"	500	23765	0	0	0
"srv_098za"	"srv_100"	4	"∂L*M"	500	23765	0	0	0
"srv_098za"	"srv_100"	4	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_100"	4	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_100"	4	"DL*M"	500	23770	0	0	0
"srv_098za"	"srv_100f"	2	"∂L*M"	500	23765.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_098za"	"srv_100f"	2	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M"	500	23769.9	0.700701051753068	0.0313363036725092	0.0615673568302942
"srv_098za"	"srv_100h"	2	"∂L*M"	500	23766.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_098za"	"srv_100h"	2	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M"	500	23765	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	23767.056	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_098za"	"srv_100m"	0	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	23765	0	0	0
"srv_098za"	"srv_101"	2	"∂L*M"	500	23766.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_098za"	"srv_101"	2	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_101"	2	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_101"	2	"DL*M"	500	23765	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	23766.808	1.99275642172159	0.0891187764313742	0.175094279343582
"srv_098za"	"srv_101h"	0	"Adp"	500	23765	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	23765	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	23765	0	0	0
"srv_100"	"null"	0	"L*M"	73	29779	0	0	0
"srv_100"	"srv_097"	7	"∂L*M"	500	30395.734	634.886431423456	28.3929843731021	55.7845308956879
"srv_100"	"srv_097"	7	"Adp"	500	29779	0	0	0
"srv_100"	"srv_097"	7	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_097"	7	"DL*M"	500	30334.82	572.044755245608	25.5826191780282	50.2629237975173
"srv_100"	"srv_097c"	6	"∂L*M"	500	29779	0	0	0
"srv_100"	"srv_097c"	6	"Adp"	500	29779	0	0	0
"srv_100"	"srv_097c"	6	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_097c"	6	"DL*M"	500	29779	0	0	0
"srv_100"	"srv_097e"	5	"∂L*M"	500	29779	0	0	0
"srv_100"	"srv_097e"	5	"Adp"	500	29779	0	0	0
"srv_100"	"srv_097e"	5	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_097e"	5	"DL*M"	500	29779	0	0	0
"srv_100"	"srv_098f"	2	"∂L*M"	500	29779	0	0	0
"srv_100"	"srv_098f"	2	"Adp"	500	29779	0	0	0
"srv_100"	"srv_098f"	2	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_098f"	2	"DL*M"	500	29779	0	0	0
"srv_100"	"srv_098l"	0	"∂L*M"	500	29779	0	0	0
"srv_100"	"srv_098l"	0	"Adp"	500	29779	0	0	0
"srv_100"	"srv_098l"	0	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_098l"	0	"DL*M"	500	29779	0	0	0
"srv_100"	"srv_098m"	0	"∂L*M"	500	29779	0	0	0
"srv_100"	"srv_098m"	0	"Adp"	500	29779	0	0	0
"srv_100"	"srv_098m"	0	"DL*M+"	500	29779	0	0	0
"srv_100"	"srv_098m"	0	"DL*M"	500	29779	0	0	0
"srv_100f"	"null"	0	"L*M"	73	29383	0	0	0
"srv_100f"	"srv_097"	9	"∂L*M"	500	29347.036	37.0225342201228	1.65569806431013	3.25299864955154
"srv_100f"	"srv_097"	9	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_097"	9	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_097"	9	"DL*M"	500	29887.804	564.130612784452	25.2286879674929	49.5675447457908
"srv_100f"	"srv_097c"	8	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_097c"	8	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_097e"	7	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_097e"	7	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_098f"	4	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_098f"	4	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_098l"	2	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_098l"	2	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_098m"	1	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_098m"	1	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	29383	0	0	0
"srv_100f"	"srv_100"	1	"∂L*M"	500	29383	0	0	0
"srv_100f"	"srv_100"	1	"Adp"	500	29383	0	0	0
"srv_100f"	"srv_100"	1	"DL*M+"	500	29383	0	0	0
"srv_100f"	"srv_100"	1	"DL*M"	500	29383	0	0	0
"srv_100h"	"null"	0	"L*M"	73	35880	0	0	0
"srv_100h"	"srv_097"	9	"∂L*M"	500	36711.546	856.021027711217	38.2824241626302	75.2146039105769
"srv_100h"	"srv_097"	9	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_097"	9	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_097"	9	"DL*M"	500	36660.226	800.278320150813	35.7895344955311	70.3167503131378
"srv_100h"	"srv_097c"	8	"∂L*M"	500	35880	0	0	0
"srv_100h"	"srv_097c"	8	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_097e"	7	"∂L*M"	500	35880	0	0	0
"srv_100h"	"srv_097e"	7	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_098f"	4	"∂L*M"	500	35880	0	0	0
"srv_100h"	"srv_098f"	4	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_098l"	2	"∂L*M"	500	35975.816	393.790060015148	17.6108268611518	34.6005091337005
"srv_100h"	"srv_098l"	2	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_098m"	2	"∂L*M"	500	35880	0	0	0
"srv_100h"	"srv_098m"	2	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_098s"	0	"∂L*M"	500	35917.642	251.226533986276	11.2351921548995	22.0741122401253
"srv_100h"	"srv_098s"	0	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M"	500	35879.79	1.19530645235022	0.0534557296279839	0.105026043116791
"srv_100h"	"srv_098u"	0	"∂L*M"	500	36714.968	856.110119113246	38.2864084512532	75.2224319595366
"srv_100h"	"srv_098u"	0	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_100"	1	"∂L*M"	500	35880	0	0	0
"srv_100h"	"srv_100"	1	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_100"	1	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_100"	1	"DL*M"	500	35880	0	0	0
"srv_100h"	"srv_100f"	0	"∂L*M"	500	35914.22	239.7798999099	10.7232831167326	21.0683495073267
"srv_100h"	"srv_100f"	0	"Adp"	500	35880	0	0	0
"srv_100h"	"srv_100f"	0	"DL*M+"	500	35880	0	0	0
"srv_100h"	"srv_100f"	0	"DL*M"	500	35879.832	1.07241603508368	0.0479599030921583	0.0942282311940848
"srv_100m"	"null"	0	"L*M"	73	23765	0	0	0
"srv_100m"	"srv_097"	11	"∂L*M"	500	23766.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_100m"	"srv_097"	11	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_097"	11	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_097"	11	"DL*M"	500	23784.366	118.533220206764	5.30096675948551	10.41496519301
"srv_100m"	"srv_097c"	10	"∂L*M"	500	23765	0	0	0
"srv_100m"	"srv_097c"	10	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_097c"	10	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_097c"	10	"DL*M"	500	23770	0	0	0
"srv_100m"	"srv_097e"	9	"∂L*M"	500	23765	0	0	0
"srv_100m"	"srv_097e"	9	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_097e"	9	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_097e"	9	"DL*M"	500	23770	0	0	0
"srv_100m"	"srv_098f"	6	"∂L*M"	500	23765	0	0	0
"srv_100m"	"srv_098f"	6	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098f"	6	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_098f"	6	"DL*M"	500	23770	0	0	0
"srv_100m"	"srv_098l"	4	"∂L*M"	500	23765.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_100m"	"srv_098l"	4	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098l"	4	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_098l"	4	"DL*M"	500	23769.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_100m"	"srv_098m"	4	"∂L*M"	500	23765	0	0	0
"srv_100m"	"srv_098m"	4	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098m"	4	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_098m"	4	"DL*M"	500	23770	0	0	0
"srv_100m"	"srv_098s"	2	"∂L*M"	500	23765.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_100m"	"srv_098s"	2	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098s"	2	"DL*M+"	500	23765	0	0	0
