Inferred	Reused	N	Rounds	sd	se	ci
server_097c	server_097	200	1	0	0	0
server_097e	server_097	100	1	0	0	0
server_097e	server_097c	100	1	0	0	0
server_098l	N/A	148	5,30405405405405	0,624432082479521	0,0513280010003043	0,101436105255814
server_098l	server_097	100	1	0	0	0
server_098l	server_097e	100	1	0	0	0
server_098m	N/A	147	5,57142857142857	0,662084710881894	0,0546078265791425	0,1079239407665
server_098m	server_097	100	1	0	0	0
server_098m	server_098l	100	1	0	0	0
server_098s	N/A	118	5,28813559322034	0,586190000341248	0,0539631635579963	0,106871217685793
server_098s	server_097	100	1	0	0	0
server_098s	server_100	100	1	0	0	0
server_098u	N/A	164	5,78048780487805	0,821854706964418	0,0641760706562455	0,126723649194699
server_098u	server_097	98	2,10204081632653	0,304258297699363	0,0307347293622136	0,0609999299810501
server_098u	server_098s	100	2,07	0,256432399976243	0,0256432399976243	0,0508817514968849
server_098za	N/A	194	4,70103092783505	0,677773686434468	0,0486613147872047	0,0959762525406719
server_098za	server_097	100	2	0	0	0
server_098za	server_101	100	1	0	0	0
server_100	N/A	134	5,55970149253731	0,76099651753277	0,0657400863473932	0,130031344298185
server_100	server_097	100	1	0	0	0
server_100	server_098m	100	1	0	0	0
server_101	N/A	156	5,86538461538461	0,719197926560024	0,0575819181002517	0,113746579996707
server_101	server_097	97	2,08247422680412	0,276514884047236	0,0280758327119728	0,0557300874661951
server_101	server_098u	100	1	0	0	0
server_101k	N/A	198	4,64141414141414	0,658950111113172	0,0468295452439791	0,0923515643370329
server_101k	server_097	100	2	0	0	0
server_101k	server_098za	100	1	0	0	0
server_102	N/A	135	5,08888888888889	0,310672517187027	0,0267384330042154	0,0528839615266238
server_102	server_097	100	1	0	0	0
server_102	server_101k	100	1	0	0	0
server_110pre1	N/A	157	4,4203821656051	0,49519988886944	0,0395212536496524	0,0780658386229375
server_110pre1	server_097	100	1	0	0	0
server_110pre1	server_102	100	1	0	0	0
