Inferred	Reused	N	EQ_Reset	sd	se	ci
server_097c	server_097	200	0	0	0	0
server_097e	server_097	100	0	0	0	0
server_097e	server_097c	100	0	0	0	0
server_098l	N/A	148	632,743243243243	495,213334384965	40,7062853364988	80,445116963386
server_098l	server_097	100	0	0	0	0
server_098l	server_097e	100	0	0	0	0
server_098m	N/A	147	517,102040816327	456,308756542296	37,6357119176111	74,3811757059151
server_098m	server_097	100	0	0	0	0
server_098m	server_098l	100	0	0	0	0
server_098s	N/A	118	556,186440677966	469,264471732048	43,1992961757989	85,5539423761739
server_098s	server_097	100	0	0	0	0
server_098s	server_100	100	0	0	0	0
server_098u	N/A	164	523,518292682927	447,793191098986	34,9667736010161	69,0462520683228
server_098u	server_097	98	278,80612244898	303,352221471028	30,6432018414525	60,8182731884371
server_098u	server_098s	100	269,18	257,864790347597	25,7864790347597	51,1659688224979
server_098za	N/A	194	257,525773195876	310,690359252264	22,3062678229039	43,9953585958968
server_098za	server_097	100	222,2	213,416697726975	21,3416697726975	42,3465029381457
server_098za	server_101	100	0	0	0	0
server_100	N/A	134	553,149253731343	442,982450261904	38,2678551867924	75,692335222255
server_100	server_097	100	0	0	0	0
server_100	server_098m	100	0	0	0	0
server_101	N/A	156	628,980769230769	491,611667768225	39,3604343743829	77,7520955358952
server_101	server_097	97	245,556701030928	284,753583862147	28,9123459382485	57,3905530967334
server_101	server_098u	100	0	0	0	0
server_101k	N/A	198	240,747474747475	290,179511863374	20,6221599336642	40,6685292364062
server_101k	server_097	100	258,1	256,327422401013	25,6327422401013	50,8609216684543
server_101k	server_098za	100	0	0	0	0
server_102	N/A	135	665,42962962963	480,896031534244	41,3889404753192	81,8601125720206
server_102	server_097	100	0	0	0	0
server_102	server_101k	100	0	0	0	0
server_110pre1	N/A	157	557,566878980892	442,706438501676	35,3318202237559	69,790503112409
server_110pre1	server_097	100	0	0	0	0
server_110pre1	server_102	100	0	0	0	0
