"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"null"	0	"L*M"	73	1146	0	0	0
"srv_097c"	"null"	0	"L*M"	73	945	0	0	0
"srv_097c"	"srv_097"	274	"∂L*M"	500	854.564	39.030817483456	1.7455112222079	3.4294572005707
"srv_097c"	"srv_097"	274	"Adp"	500	945	0	0	0
"srv_097c"	"srv_097"	274	"DL*M+"	500	1391.468	143.937601209983	6.43708521647557	12.6471305171019
"srv_097c"	"srv_097"	274	"DL*M"	500	1400.49	153.517847036484	6.86552683465988	13.4889023566709
"srv_097e"	"null"	0	"L*M"	73	945	0	0	0
"srv_097e"	"srv_097"	665	"∂L*M"	500	876.222	18.3395035587543	0.82016753261948	1.61140725687135
"srv_097e"	"srv_097"	665	"Adp"	500	945	0	0	0
"srv_097e"	"srv_097"	665	"DL*M+"	500	1393.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_097e"	"srv_097"	665	"DL*M"	500	1385.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_097e"	"srv_097c"	391	"∂L*M"	500	869.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_097e"	"srv_097c"	391	"Adp"	500	945	0	0	0
"srv_097e"	"srv_097c"	391	"DL*M+"	500	948	0	0	0
"srv_097e"	"srv_097c"	391	"DL*M"	500	967.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"null"	0	"L*M"	73	945	0	0	0
"srv_098f"	"srv_097"	1746	"∂L*M"	500	876.222	18.3395035587543	0.82016753261948	1.61140725687135
"srv_098f"	"srv_097"	1746	"Adp"	500	945	0	0	0
"srv_098f"	"srv_097"	1746	"DL*M+"	500	1393.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_098f"	"srv_097"	1746	"DL*M"	500	1385.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_098f"	"srv_097c"	1472	"∂L*M"	500	869.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_098f"	"srv_097c"	1472	"Adp"	500	945	0	0	0
"srv_098f"	"srv_097c"	1472	"DL*M+"	500	948	0	0	0
"srv_098f"	"srv_097c"	1472	"DL*M"	500	967.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"srv_097e"	1081	"∂L*M"	500	869.4	8.21943539645351	0.36758432566276	0.722203728296014
"srv_098f"	"srv_097e"	1081	"Adp"	500	945	0	0	0
"srv_098f"	"srv_097e"	1081	"DL*M+"	500	948	0	0	0
"srv_098f"	"srv_097e"	1081	"DL*M"	500	968.124	19.5095327400599	0.872492828320635	1.71421230322753
"srv_098l"	"null"	0	"L*M"	73	546	0	0	0
"srv_098l"	"srv_097"	2502	"∂L*M"	500	507.308	55.9937472890585	2.50411650506559	4.91991129595973
"srv_098l"	"srv_097"	2502	"Adp"	500	613	0	0	0
"srv_098l"	"srv_097"	2502	"DL*M+"	500	1131.65	131.731293804984	5.89120255423883	11.5746188065748
"srv_098l"	"srv_097"	2502	"DL*M"	500	1116.66	83.7719037847861	3.74639342934707	7.36064928084135
"srv_098l"	"srv_097c"	2228	"∂L*M"	500	575.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098l"	"srv_097c"	2228	"Adp"	500	613	0	0	0
"srv_098l"	"srv_097c"	2228	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_097c"	2228	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098l"	"srv_097e"	1837	"∂L*M"	500	575.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098l"	"srv_097e"	1837	"Adp"	500	613	0	0	0
"srv_098l"	"srv_097e"	1837	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098l"	"srv_097e"	1837	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098l"	"srv_098f"	756	"∂L*M"	500	577.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098l"	"srv_098f"	756	"Adp"	500	613	0	0	0
"srv_098l"	"srv_098f"	756	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_098f"	756	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"null"	0	"L*M"	73	497	0	0	0
"srv_098m"	"srv_097"	2614	"∂L*M"	500	484.722	26.0262838473303	1.1639307976867	2.28680904729081
"srv_098m"	"srv_097"	2614	"Adp"	500	558	0	0	0
"srv_098m"	"srv_097"	2614	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098m"	"srv_097"	2614	"DL*M"	500	1102.488	71.9784666084977	3.21897488505599	6.32441456552072
"srv_098m"	"srv_097c"	2340	"∂L*M"	500	520.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098m"	"srv_097c"	2340	"Adp"	500	558	0	0	0
"srv_098m"	"srv_097c"	2340	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_097c"	2340	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_097e"	1949	"∂L*M"	500	520.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098m"	"srv_097e"	1949	"Adp"	500	558	0	0	0
"srv_098m"	"srv_097e"	1949	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098m"	"srv_097e"	1949	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098m"	"srv_098f"	868	"∂L*M"	500	522.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098m"	"srv_098f"	868	"Adp"	500	558	0	0	0
"srv_098m"	"srv_098f"	868	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_098f"	868	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_098l"	112	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098m"	"srv_098l"	112	"Adp"	500	497	0	0	0
"srv_098m"	"srv_098l"	112	"DL*M+"	500	546	0	0	0
"srv_098m"	"srv_098l"	112	"DL*M"	500	546	0	0	0
"srv_098s"	"null"	0	"L*M"	73	497	0	0	0
"srv_098s"	"srv_097"	3292	"∂L*M"	500	465.916	43.0790500487907	1.92655368630423	3.7851566507976
"srv_098s"	"srv_097"	3292	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097"	3292	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098s"	"srv_097"	3292	"DL*M"	500	1097.208	71.98308039899	3.21918122003949	6.32481995792718
"srv_098s"	"srv_097c"	3018	"∂L*M"	500	520.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098s"	"srv_097c"	3018	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097c"	3018	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_097c"	3018	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_097e"	2627	"∂L*M"	500	520.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098s"	"srv_097e"	2627	"Adp"	500	558	0	0	0
"srv_098s"	"srv_097e"	2627	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098s"	"srv_097e"	2627	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098s"	"srv_098f"	1546	"∂L*M"	500	522.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098s"	"srv_098f"	1546	"Adp"	500	558	0	0	0
"srv_098s"	"srv_098f"	1546	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098s"	"srv_098f"	1546	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098s"	"srv_098l"	790	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098l"	790	"Adp"	500	497	0	0	0
"srv_098s"	"srv_098l"	790	"DL*M+"	500	546	0	0	0
"srv_098s"	"srv_098l"	790	"DL*M"	500	546	0	0	0
"srv_098s"	"srv_098m"	678	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098s"	"srv_098m"	678	"Adp"	500	497	0	0	0
"srv_098s"	"srv_098m"	678	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_098m"	678	"DL*M"	500	497	0	0	0
"srv_098s"	"srv_100"	646	"∂L*M"	500	479.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098s"	"srv_100"	646	"Adp"	500	497	0	0	0
"srv_098s"	"srv_100"	646	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_100"	646	"DL*M"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"∂L*M"	500	478.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_098s"	"srv_100f"	0	"Adp"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	497	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M"	500	497	0	0	0
"srv_098u"	"null"	0	"L*M"	73	595	0	0	0
"srv_098u"	"srv_097"	3360	"∂L*M"	500	544.77	23.2611104317278	1.04026848314946	2.04384606336192
"srv_098u"	"srv_097"	3360	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097"	3360	"DL*M+"	500	1214.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098u"	"srv_097"	3360	"DL*M"	500	1170.32	75.0442327813903	3.35608011637014	6.59378924314179
"srv_098u"	"srv_097c"	3086	"∂L*M"	500	576.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098u"	"srv_097c"	3086	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097c"	3086	"DL*M+"	500	916.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_097c"	3086	"DL*M"	500	848.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_097e"	2695	"∂L*M"	500	576.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098u"	"srv_097e"	2695	"Adp"	500	668	0	0	0
"srv_098u"	"srv_097e"	2695	"DL*M+"	500	916.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098u"	"srv_097e"	2695	"DL*M"	500	848.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098u"	"srv_098f"	1614	"∂L*M"	500	578.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098u"	"srv_098f"	1614	"Adp"	500	668	0	0	0
"srv_098u"	"srv_098f"	1614	"DL*M+"	500	914.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_098f"	1614	"DL*M"	500	847.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_098l"	858	"∂L*M"	500	536.172	8.01091539907033	0.358259027886422	0.703882041675131
"srv_098u"	"srv_098l"	858	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098l"	858	"DL*M+"	500	641.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_098u"	"srv_098l"	858	"DL*M"	500	600.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_098u"	"srv_098m"	746	"∂L*M"	500	535.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098u"	"srv_098m"	746	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098m"	746	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_098m"	746	"DL*M"	500	553	0	0	0
"srv_098u"	"srv_098s"	68	"∂L*M"	500	534.824	7.00050270167452	0.313071998352303	0.615101756658019
