"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"EQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_098za"	"srv_097c"	3901	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_097c"	3901	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_097e"	3510	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_097e"	3510	"Adp"	500	0	0	0	0
"srv_098za"	"srv_097e"	3510	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_097e"	3510	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098f"	2429	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098f"	2429	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098f"	2429	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098f"	2429	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098l"	1673	"∂L*M"	500	0.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_098za"	"srv_098l"	1673	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098l"	1673	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098l"	1673	"DL*M"	500	0.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_098za"	"srv_098m"	1561	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098m"	1561	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098m"	1561	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098m"	1561	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098s"	883	"∂L*M"	500	0.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_098za"	"srv_098s"	883	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098s"	883	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098s"	883	"DL*M"	500	0.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_098za"	"srv_098u"	815	"∂L*M"	500	0.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_098za"	"srv_098u"	815	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098u"	815	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098u"	815	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100"	1529	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_100"	1529	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100"	1529	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100"	1529	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_100f"	883	"∂L*M"	500	0.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_098za"	"srv_100f"	883	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100f"	883	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100f"	883	"DL*M"	500	0.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_098za"	"srv_100h"	815	"∂L*M"	500	0.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_098za"	"srv_100h"	815	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100h"	815	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100h"	815	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	1.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101"	813	"∂L*M"	500	0.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_098za"	"srv_101"	813	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101"	813	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101"	813	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	0.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_098za"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_100"	"null"	0	"L*M"	73	0	0	0	0
"srv_100"	"srv_097"	2646	"∂L*M"	500	138.996	143.08709171561	6.399049275577	12.5724001861046
"srv_100"	"srv_097"	2646	"Adp"	500	0	0	0	0
"srv_100"	"srv_097"	2646	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097"	2646	"DL*M"	500	119.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_100"	"srv_097c"	2372	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097c"	2372	"Adp"	500	0	0	0	0
"srv_100"	"srv_097c"	2372	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097c"	2372	"DL*M"	500	0	0	0	0
"srv_100"	"srv_097e"	1981	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097e"	1981	"Adp"	500	0	0	0	0
"srv_100"	"srv_097e"	1981	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097e"	1981	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098f"	900	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098f"	900	"Adp"	500	0	0	0	0
"srv_100"	"srv_098f"	900	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098f"	900	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098l"	144	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098l"	144	"Adp"	500	0	0	0	0
"srv_100"	"srv_098l"	144	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098l"	144	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098m"	32	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098m"	32	"Adp"	500	0	0	0	0
"srv_100"	"srv_098m"	32	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098m"	32	"DL*M"	500	0	0	0	0
"srv_100f"	"null"	0	"L*M"	73	0	0	0	0
"srv_100f"	"srv_097"	3292	"∂L*M"	500	-10.692	11.0066993627392	0.492234559659769	0.967107706623431
"srv_100f"	"srv_097"	3292	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097"	3292	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097"	3292	"DL*M"	500	108.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_100f"	"srv_097c"	3018	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097c"	3018	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097c"	3018	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097c"	3018	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	2627	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	2627	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097e"	2627	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097e"	2627	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	1546	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	1546	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098f"	1546	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098f"	1546	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	790	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	790	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098l"	790	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098l"	790	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	678	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	678	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098m"	678	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098m"	678	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_100"	646	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_100"	646	"Adp"	500	0	0	0	0
"srv_100f"	"srv_100"	646	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_100"	646	"DL*M"	500	0	0	0	0
"srv_100h"	"null"	0	"L*M"	73	0	0	0	0
"srv_100h"	"srv_097"	3360	"∂L*M"	500	177.39	182.611148518173	8.1666188307189	16.0451960417069
"srv_100h"	"srv_097"	3360	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097"	3360	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097"	3360	"DL*M"	500	160.246	163.581782246575	7.31559969967821	14.3731737426585
"srv_100h"	"srv_097c"	3086	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097c"	3086	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097c"	3086	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097c"	3086	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	2695	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	2695	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097e"	2695	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097e"	2695	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	1614	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	1614	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098f"	1614	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098f"	1614	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098l"	858	"∂L*M"	500	20.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_100h"	"srv_098l"	858	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098l"	858	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098l"	858	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	746	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098m"	746	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098m"	746	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098m"	746	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098s"	68	"∂L*M"	500	8.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_100h"	"srv_098s"	68	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098s"	68	"DL*M+"	500	0	0	0	0
