"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	230	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	230	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	122	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	122	"EQ_Symbols_Diff"	1.48923079207364e-20	0.528	"negligible"
"∂L*M"	"Adp"	122	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	106	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	106	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	106	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	10	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	10	"EQ_Symbols_Diff"	4.11566596696329e-06	0.5105	"negligible"
"∂L*M"	"Adp"	10	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	0	"TQ_Symbols_Diff"	9.2139951904653e-267	0.329083333333333	"medium"
"∂L*M"	"Adp"	0	"EQ_Symbols_Diff"	0	0.702666666666667	"medium"
"∂L*M"	"Adp"	0	"MQ_Symbols_Diff"	9.2139951904653e-267	0.329083333333333	"medium"
"∂L*M"	"Adp"	102	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	102	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	102	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	318	"TQ_Symbols_Diff"	3.09342506711202e-68	0.281	"medium"
"∂L*M"	"Adp"	318	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	318	"MQ_Symbols_Diff"	3.09342506711202e-68	0.281	"medium"
"∂L*M"	"Adp"	357	"TQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	357	"EQ_Symbols_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	357	"MQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	262	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	262	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	262	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	108	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	108	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	108	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	431	"TQ_Symbols_Diff"	0	0.038	"large"
"∂L*M"	"Adp"	431	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	431	"MQ_Symbols_Diff"	0	0.038	"large"
"∂L*M"	"Adp"	470	"TQ_Symbols_Diff"	0	0.007	"large"
"∂L*M"	"Adp"	470	"EQ_Symbols_Diff"	1.43758625191597e-141	0.257	"large"
"∂L*M"	"Adp"	470	"MQ_Symbols_Diff"	0	0.007	"large"
"∂L*M"	"Adp"	375	"TQ_Symbols_Diff"	0	0.026	"large"
"∂L*M"	"Adp"	375	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	375	"MQ_Symbols_Diff"	0	0.026	"large"
"∂L*M"	"Adp"	220	"TQ_Symbols_Diff"	0	0.037	"large"
"∂L*M"	"Adp"	220	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	220	"MQ_Symbols_Diff"	0	0.037	"large"
"∂L*M"	"Adp"	112	"TQ_Symbols_Diff"	0	0.086	"large"
"∂L*M"	"Adp"	112	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	112	"MQ_Symbols_Diff"	0	0.086	"large"
"∂L*M"	"Adp"	96	"TQ_Symbols_Diff"	0	0.086	"large"
