"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_101"	"srv_097"	480	"DL*M"	500	1073.686	1102.0387189569	49.2846697884882	96.8310392585657
"srv_101"	"srv_097c"	441	"∂L*M"	500	0	0	0	0
"srv_101"	"srv_097c"	441	"Adp"	500	0	0	0	0
"srv_101"	"srv_097c"	441	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_097c"	441	"DL*M"	500	0	0	0	0
"srv_101"	"srv_097e"	385	"∂L*M"	500	0	0	0	0
"srv_101"	"srv_097e"	385	"Adp"	500	0	0	0	0
"srv_101"	"srv_097e"	385	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_097e"	385	"DL*M"	500	0	0	0	0
"srv_101"	"srv_098f"	230	"∂L*M"	500	0	0	0	0
"srv_101"	"srv_098f"	230	"Adp"	500	0	0	0	0
"srv_101"	"srv_098f"	230	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098f"	230	"DL*M"	500	0	0	0	0
"srv_101"	"srv_098l"	122	"∂L*M"	500	129.584	532.57171179138	23.817331009179	46.7946102486165
"srv_101"	"srv_098l"	122	"Adp"	500	0	0	0	0
"srv_101"	"srv_098l"	122	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098l"	122	"DL*M"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"∂L*M"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"Adp"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098m"	106	"DL*M"	500	0	0	0	0
"srv_101"	"srv_098s"	10	"∂L*M"	500	50.908	339.765166361334	15.1947601674094	29.8535918899182
"srv_101"	"srv_098s"	10	"Adp"	500	0	0	0	0
"srv_101"	"srv_098s"	10	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098s"	10	"DL*M"	500	-0.24	1.36606451697168	0.0610922624319816	0.120029763562047
"srv_101"	"srv_098u"	0	"∂L*M"	500	1129.232	1157.82514063592	51.7795144104032	101.73273381319
"srv_101"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_101"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_098u"	0	"DL*M"	500	0	0	0	0
"srv_101"	"srv_100"	102	"∂L*M"	500	0	0	0	0
"srv_101"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_101"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100"	102	"DL*M"	500	0	0	0	0
"srv_101"	"srv_100f"	10	"∂L*M"	500	46.28	324.28444675132	14.5024413396372	28.4933727410601
"srv_101"	"srv_100f"	10	"Adp"	500	0	0	0	0
"srv_101"	"srv_100f"	10	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100f"	10	"DL*M"	500	-0.192	1.22561832580992	0.0548113178196095	0.107689407078954
"srv_101"	"srv_100h"	0	"∂L*M"	500	1138.488	1158.01048459021	51.7878032440234	101.74901912822
"srv_101"	"srv_100h"	0	"Adp"	500	0	0	0	0
"srv_101"	"srv_100h"	0	"DL*M+"	500	0	0	0	0
"srv_101"	"srv_100h"	0	"DL*M"	500	0	0	0	0
"srv_101h"	"null"	0	"L*M"	73	0	0	0	0
"srv_101h"	"srv_097"	596	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101h"	"srv_097"	596	"Adp"	500	0	0	0	0
"srv_101h"	"srv_097"	596	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_097"	596	"DL*M"	500	19.366	118.533220206764	5.30096675948551	10.41496519301
"srv_101h"	"srv_097c"	557	"∂L*M"	500	0	0	0	0
"srv_101h"	"srv_097c"	557	"Adp"	500	0	0	0	0
"srv_101h"	"srv_097c"	557	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_097c"	557	"DL*M"	500	5	0	0	0
"srv_101h"	"srv_097e"	501	"∂L*M"	500	0	0	0	0
"srv_101h"	"srv_097e"	501	"Adp"	500	0	0	0	0
"srv_101h"	"srv_097e"	501	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_097e"	501	"DL*M"	500	5	0	0	0
"srv_101h"	"srv_098f"	347	"∂L*M"	500	0	0	0	0
"srv_101h"	"srv_098f"	347	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098f"	347	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098f"	347	"DL*M"	500	5	0	0	0
"srv_101h"	"srv_098l"	239	"∂L*M"	500	0.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_101h"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098l"	239	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098l"	239	"DL*M"	500	4.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_101h"	"srv_098m"	223	"∂L*M"	500	0	0	0	0
"srv_101h"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098m"	223	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098m"	223	"DL*M"	500	5	0	0	0
"srv_101h"	"srv_098s"	126	"∂L*M"	500	0.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_101h"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098s"	126	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098s"	126	"DL*M"	500	4.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_101h"	"srv_098u"	116	"∂L*M"	500	1.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_101h"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098u"	116	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098u"	116	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_098za"	0	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101h"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"∂L*M"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_100"	218	"DL*M"	500	5	0	0	0
"srv_101h"	"srv_100f"	126	"∂L*M"	500	0.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_101h"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100f"	126	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_100f"	126	"DL*M"	500	4.9	0.700701051753068	0.0313363036725092	0.0615673568302942
"srv_101h"	"srv_100h"	116	"∂L*M"	500	1.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_101h"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100h"	116	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_100h"	116	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_100m"	0	"∂L*M"	500	2.056	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101h"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_101h"	"srv_101"	116	"∂L*M"	500	1.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_101h"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_101h"	"srv_101"	116	"DL*M+"	500	0	0	0	0
"srv_101h"	"srv_101"	116	"DL*M"	500	0	0	0	0
"srv_101k"	"null"	0	"L*M"	73	0	0	0	0
"srv_101k"	"srv_097"	627	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101k"	"srv_097"	627	"Adp"	500	0	0	0	0
"srv_101k"	"srv_097"	627	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_097"	627	"DL*M"	500	19.366	118.533220206764	5.30096675948551	10.41496519301
"srv_101k"	"srv_097c"	588	"∂L*M"	500	0	0	0	0
"srv_101k"	"srv_097c"	588	"Adp"	500	0	0	0	0
"srv_101k"	"srv_097c"	588	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_097c"	588	"DL*M"	500	5	0	0	0
"srv_101k"	"srv_097e"	532	"∂L*M"	500	0	0	0	0
"srv_101k"	"srv_097e"	532	"Adp"	500	0	0	0	0
"srv_101k"	"srv_097e"	532	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_097e"	532	"DL*M"	500	5	0	0	0
"srv_101k"	"srv_098f"	378	"∂L*M"	500	0	0	0	0
"srv_101k"	"srv_098f"	378	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098f"	378	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098f"	378	"DL*M"	500	5	0	0	0
"srv_101k"	"srv_098l"	270	"∂L*M"	500	0.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_101k"	"srv_098l"	270	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098l"	270	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098l"	270	"DL*M"	500	4.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_101k"	"srv_098m"	254	"∂L*M"	500	0	0	0	0
"srv_101k"	"srv_098m"	254	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098m"	254	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098m"	254	"DL*M"	500	5	0	0	0
"srv_101k"	"srv_098s"	157	"∂L*M"	500	0.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_101k"	"srv_098s"	157	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098s"	157	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098s"	157	"DL*M"	500	4.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_101k"	"srv_098u"	147	"∂L*M"	500	1.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_101k"	"srv_098u"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098u"	147	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098u"	147	"DL*M"	500	0	0	0	0
"srv_101k"	"srv_098za"	31	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101k"	"srv_098za"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_098za"	31	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_098za"	31	"DL*M"	500	0	0	0	0
"srv_101k"	"srv_100"	249	"∂L*M"	500	0	0	0	0
"srv_101k"	"srv_100"	249	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100"	249	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_100"	249	"DL*M"	500	5	0	0	0
"srv_101k"	"srv_100f"	157	"∂L*M"	500	0.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_101k"	"srv_100f"	157	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100f"	157	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_100f"	157	"DL*M"	500	4.9	0.700701051753068	0.0313363036725092	0.0615673568302942
"srv_101k"	"srv_100h"	147	"∂L*M"	500	1.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_101k"	"srv_100h"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100h"	147	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_100h"	147	"DL*M"	500	0	0	0	0
"srv_101k"	"srv_100m"	31	"∂L*M"	500	2.056	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_101k"	"srv_100m"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_100m"	31	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_100m"	31	"DL*M"	500	0	0	0	0
"srv_101k"	"srv_101"	147	"∂L*M"	500	1.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_101k"	"srv_101"	147	"Adp"	500	0	0	0	0
"srv_101k"	"srv_101"	147	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_101"	147	"DL*M"	500	0	0	0	0
"srv_101k"	"srv_101h"	31	"∂L*M"	500	1.808	1.99275642172159	0.0891187764313742	0.175094279343582
"srv_101k"	"srv_101h"	31	"Adp"	500	0	0	0	0
"srv_101k"	"srv_101h"	31	"DL*M+"	500	0	0	0	0
"srv_101k"	"srv_101h"	31	"DL*M"	500	0	0	0	0
"srv_102"	"null"	0	"L*M"	73	0	0	0	0
"srv_102"	"srv_097"	629	"∂L*M"	500	-21.384	22.0133987254784	0.984469119319539	1.93421541324686
"srv_102"	"srv_097"	629	"Adp"	500	0	0	0	0
"srv_102"	"srv_097"	629	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_097"	629	"DL*M"	500	-68.234	71.6123166207013	3.20260015980252	6.29224266154588
"srv_102"	"srv_097c"	590	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_097c"	590	"Adp"	500	0	0	0	0
"srv_102"	"srv_097c"	590	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_097c"	590	"DL*M"	500	0	0	0	0
"srv_102"	"srv_097e"	534	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_097e"	534	"Adp"	500	0	0	0	0
"srv_102"	"srv_097e"	534	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_097e"	534	"DL*M"	500	0	0	0	0
"srv_102"	"srv_098f"	380	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_098f"	380	"Adp"	500	0	0	0	0
"srv_102"	"srv_098f"	380	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098f"	380	"DL*M"	500	0	0	0	0
"srv_102"	"srv_098l"	272	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_098l"	272	"Adp"	500	0	0	0	0
"srv_102"	"srv_098l"	272	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098l"	272	"DL*M"	500	0	0	0	0
"srv_102"	"srv_098m"	256	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_098m"	256	"Adp"	500	0	0	0	0
"srv_102"	"srv_098m"	256	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098m"	256	"DL*M"	500	0	0	0	0
"srv_102"	"srv_098s"	159	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_098s"	159	"Adp"	500	0	0	0	0
"srv_102"	"srv_098s"	159	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098s"	159	"DL*M"	500	0	0	0	0
"srv_102"	"srv_098u"	149	"∂L*M"	500	-22.528	22.0156897960157	0.98457157910879	1.9344167190062
"srv_102"	"srv_098u"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_098u"	149	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098u"	149	"DL*M"	500	-74.198	73.242253182863	3.27549313884264	6.43545763986265
"srv_102"	"srv_098za"	33	"∂L*M"	500	-22.616	22.0133987254784	0.984469119319539	1.93421541324686
"srv_102"	"srv_098za"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_098za"	33	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_098za"	33	"DL*M"	500	-72.846	72.1551593306818	3.22687682381465	6.33993973684565
"srv_102"	"srv_100"	251	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_100"	251	"Adp"	500	0	0	0	0
"srv_102"	"srv_100"	251	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_100"	251	"DL*M"	500	0	0	0	0
"srv_102"	"srv_100f"	159	"∂L*M"	500	0	0	0	0
"srv_102"	"srv_100f"	159	"Adp"	500	0	0	0	0
"srv_102"	"srv_100f"	159	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_100f"	159	"DL*M"	500	0	0	0	0
"srv_102"	"srv_100h"	149	"∂L*M"	500	-22.352	22.0192140544378	0.984729188736833	1.93472637927472
"srv_102"	"srv_100h"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_100h"	149	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_100h"	149	"DL*M"	500	-71.182	71.5929604078496	3.20173452364805	6.2905419207513
"srv_102"	"srv_100m"	33	"∂L*M"	500	-21.384	22.0133987254784	0.984469119319539	1.93421541324686
"srv_102"	"srv_100m"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_100m"	33	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_100m"	33	"DL*M"	500	-67.904	71.3651789146713	3.19154782559279	6.27052781568501
"srv_102"	"srv_101"	149	"∂L*M"	500	-22.176	22.021328338763	0.984823742406333	1.93491215164821
"srv_102"	"srv_101"	149	"Adp"	500	0	0	0	0
"srv_102"	"srv_101"	149	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_101"	149	"DL*M"	500	-70.916	71.7968977955603	3.21085488088955	6.30846095467998
"srv_102"	"srv_101h"	33	"∂L*M"	500	-24.112	21.9203206389375	0.980306540745116	1.9260370727794
"srv_102"	"srv_101h"	33	"Adp"	500	0	0	0	0
"srv_102"	"srv_101h"	33	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_101h"	33	"DL*M"	500	-78.132	72.2261157726151	3.23005009236674	6.34617435083543
"srv_102"	"srv_101k"	2	"∂L*M"	500	-22.792	22.0077581511083	0.984216865165066	1.93371980209557
"srv_102"	"srv_101k"	2	"Adp"	500	0	0	0	0
"srv_102"	"srv_101k"	2	"DL*M+"	500	0	0	0	0
"srv_102"	"srv_101k"	2	"DL*M"	500	-73.002	71.870834346481	3.21416142396717	6.31495741704713
"srv_110pre1"	"null"	0	"L*M"	73	0	0	0	0
"srv_110pre1"	"srv_097"	675	"∂L*M"	500	-17.01	17.5106580770851	0.78310043582236	1.53858044235546
"srv_110pre1"	"srv_097"	675	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_097"	675	"DL*M+"	500	-145.684	86.3937724134306	3.86364695898154	7.59102073671123
"srv_110pre1"	"srv_097"	675	"DL*M"	500	-179.196	91.5001318702029	4.09201029623938	8.03969289724574
"srv_110pre1"	"srv_097c"	636	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_097c"	636	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_097c"	636	"DL*M+"	500	-150.15	82.1445247468861	3.67361482626902	7.21765902033888
"srv_110pre1"	"srv_097c"	636	"DL*M"	500	-150.15	82.1445247468861	3.67361482626902	7.21765902033888
"srv_110pre1"	"srv_097e"	580	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_097e"	580	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_097e"	580	"DL*M+"	500	-134.55	90.2765041103652	4.03728799923631	7.93217839198146
"srv_110pre1"	"srv_097e"	580	"DL*M"	500	-134.55	90.2765041103652	4.03728799923631	7.93217839198146
"srv_110pre1"	"srv_098f"	426	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_098f"	426	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098f"	426	"DL*M+"	500	-134.16	90.4358983114936	4.04441632461516	7.94618362236181
"srv_110pre1"	"srv_098f"	426	"DL*M"	500	-134.16	90.4358983114936	4.04441632461516	7.94618362236181
"srv_110pre1"	"srv_098l"	318	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_098l"	318	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098l"	318	"DL*M+"	500	-142.35	86.6587964028348	3.87549919210106	7.61430716746999
"srv_110pre1"	"srv_098l"	318	"DL*M"	500	-142.35	86.6587964028348	3.87549919210106	7.61430716746999
"srv_110pre1"	"srv_098m"	302	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_098m"	302	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098m"	302	"DL*M+"	500	-132.99	90.9023452543744	4.06527646605873	7.98716815535616
"srv_110pre1"	"srv_098m"	302	"DL*M"	500	-132.99	90.9023452543744	4.06527646605873	7.98716815535616
"srv_110pre1"	"srv_098s"	205	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_098s"	205	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098s"	205	"DL*M+"	500	-144.69	85.4045770645059	3.81940879811709	7.50410472185762
"srv_110pre1"	"srv_098s"	205	"DL*M"	500	-144.69	85.4045770645059	3.81940879811709	7.50410472185762
"srv_110pre1"	"srv_098u"	195	"∂L*M"	500	-17.92	17.5124805195579	0.783181937927447	1.53874057193675
"srv_110pre1"	"srv_098u"	195	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098u"	195	"DL*M+"	500	-142.032	88.1210168076062	3.94089167656418	7.74278570364439
"srv_110pre1"	"srv_098u"	195	"DL*M"	500	-177.532	95.5716949402253	4.27409613222433	8.39744229088794
"srv_110pre1"	"srv_098za"	79	"∂L*M"	500	-17.99	17.5106580770851	0.78310043582236	1.53858044235546
"srv_110pre1"	"srv_098za"	79	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_098za"	79	"DL*M+"	500	-144.868	86.188557889212	3.85446948645908	7.57298948671137
"srv_110pre1"	"srv_098za"	79	"DL*M"	500	-180.794	90.8268826351452	4.0619016751316	7.98053760443317
"srv_110pre1"	"srv_100"	297	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_100"	297	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_100"	297	"DL*M+"	500	-137.67	88.9293988282385	3.97704361956263	7.81381448859475
"srv_110pre1"	"srv_100"	297	"DL*M"	500	-137.67	88.9293988282385	3.97704361956263	7.81381448859475
"srv_110pre1"	"srv_100f"	205	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_100f"	205	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_100f"	205	"DL*M+"	500	-141.96	86.8599314724044	3.88449422586539	7.6319799746797
"srv_110pre1"	"srv_100f"	205	"DL*M"	500	-141.96	86.8599314724044	3.88449422586539	7.6319799746797
"srv_110pre1"	"srv_100h"	195	"∂L*M"	500	-17.78	17.5152839069391	0.78330730922248	1.53898689260489
"srv_110pre1"	"srv_100h"	195	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_100h"	195	"DL*M+"	500	-145.224	87.7344201608578	3.92360254892412	7.70881724642543
"srv_110pre1"	"srv_100h"	195	"DL*M"	500	-179.588	93.4037835934881	4.17714418941438	8.20695795933588
"srv_110pre1"	"srv_100m"	79	"∂L*M"	500	-17.01	17.5106580770851	0.78310043582236	1.53858044235546
"srv_110pre1"	"srv_100m"	79	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_100m"	79	"DL*M+"	500	-138.38	89.6661342495734	4.00999142923337	7.87854801862352
"srv_110pre1"	"srv_100m"	79	"DL*M"	500	-172.176	95.3088063146436	4.26233939547808	8.37434348466049
"srv_110pre1"	"srv_101"	195	"∂L*M"	500	-17.64	17.516965724016	0.783382522368674	1.5391346660838
"srv_110pre1"	"srv_101"	195	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_101"	195	"DL*M+"	500	-133.736	92.2626853620706	4.12611272512529	8.10669494158197
"srv_110pre1"	"srv_101"	195	"DL*M"	500	-168.384	97.9235957530687	4.37927633410143	8.6040929248659
"srv_110pre1"	"srv_101h"	79	"∂L*M"	500	-19.18	17.4366186900639	0.779789293774524	1.53207494425634
"srv_110pre1"	"srv_101h"	79	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_101h"	79	"DL*M+"	500	-143.45	87.1717001705326	3.89843694591082	7.65937364654327
"srv_110pre1"	"srv_101h"	79	"DL*M"	500	-181.648	94.7186113002788	4.23594507203606	8.32248578163871
"srv_110pre1"	"srv_101k"	48	"∂L*M"	500	-18.13	17.5061712565634	0.782899779108576	1.53818620621239
"srv_110pre1"	"srv_101k"	48	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_101k"	48	"DL*M+"	500	-143.45	87.1717001705326	3.89843694591082	7.65937364654327
"srv_110pre1"	"srv_101k"	48	"DL*M"	500	-179.518	93.5870865104959	4.18534174507245	8.22306393787154
"srv_110pre1"	"srv_102"	46	"∂L*M"	500	0	0	0	0
"srv_110pre1"	"srv_102"	46	"Adp"	500	0	0	0	0
"srv_110pre1"	"srv_102"	46	"DL*M+"	500	-134.94	90.1151367737491	4.03007143255588	7.9179997913224
"srv_110pre1"	"srv_102"	46	"DL*M"	500	-142.35	86.6587964028348	3.87549919210106	7.61430716746999
