"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_098za"	"srv_097e"	501	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"Adp"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"DL*M"	500	5	0	0	0
"srv_098za"	"srv_098f"	347	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"DL*M"	500	5	0	0	0
"srv_098za"	"srv_098l"	239	"∂L*M"	500	0.224	0.920607971981642	0.0411708401195835	0.0808895596346007
"srv_098za"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098l"	239	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098l"	239	"DL*M"	500	4.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_098za"	"srv_098m"	223	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M"	500	5	0	0	0
"srv_098za"	"srv_098s"	126	"∂L*M"	500	0.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_098za"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098s"	126	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098s"	126	"DL*M"	500	4.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_098za"	"srv_098u"	116	"∂L*M"	500	1.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_098za"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"DL*M"	500	5	0	0	0
"srv_098za"	"srv_100f"	126	"∂L*M"	500	0.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_098za"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100f"	126	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100f"	126	"DL*M"	500	4.9	0.700701051753068	0.0313363036725092	0.0615673568302942
