"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_098za"	"srv_097e"	501	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"Adp"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_097e"	501	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098f"	347	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098f"	347	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098l"	239	"∂L*M"	500	0.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_098za"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098l"	239	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098l"	239	"DL*M"	500	0.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_098za"	"srv_098m"	223	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_098s"	126	"∂L*M"	500	0.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_098za"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098s"	126	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098s"	126	"DL*M"	500	0.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_098za"	"srv_098u"	116	"∂L*M"	500	0.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_098za"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"∂L*M"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"DL*M"	500	1	0	0	0
"srv_098za"	"srv_100f"	126	"∂L*M"	500	0.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_098za"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100f"	126	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100f"	126	"DL*M"	500	0.98	0.140140210350614	0.00626726073450183	0.0123134713660588
