"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"MQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_098u"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_098u"	"srv_098m"	106	"DL*M"	500	-42	0	0	0
"srv_098u"	"srv_098s"	9	"∂L*M"	500	-60.176	7.00050270167452	0.313071998352303	0.615101756658019
"srv_098u"	"srv_098s"	9	"Adp"	500	0	0	0	0
"srv_098u"	"srv_098s"	9	"DL*M+"	500	0	0	0	0
"srv_098u"	"srv_098s"	9	"DL*M"	500	-40.23	10.0747258126661	0.450555435435865	0.885219506270099
"srv_098u"	"srv_100"	102	"∂L*M"	500	-59.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098u"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_098u"	"srv_100"	102	"DL*M"	500	-42	0	0	0
"srv_098u"	"srv_100f"	9	"∂L*M"	500	-59.902	7.30528098436474	0.326702097515523	0.641881213086073
"srv_098u"	"srv_100f"	9	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100f"	9	"DL*M+"	500	0	0	0	0
"srv_098u"	"srv_100f"	9	"DL*M"	500	-40.584	9.03893515284819	0.40423346891962	0.794209377207286
"srv_098u"	"srv_100h"	0	"∂L*M"	500	-49.764	17.9875347619852	0.80442700950879	1.58048138848625
"srv_098u"	"srv_100h"	0	"Adp"	500	0	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	0	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	0	0	0	0
"srv_098za"	"null"	0	"L*M"	73	0	0	0	0
"srv_098za"	"srv_097"	596	"∂L*M"	500	-64.202	43.4284383153369	1.94217880459499	3.81585577994112
"srv_098za"	"srv_097"	596	"Adp"	500	55	0	0	0
"srv_098za"	"srv_097"	596	"DL*M+"	500	671	98.3623418824562	4.39889765750493	8.64264351564684
"srv_098za"	"srv_097"	596	"DL*M"	500	596.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_098za"	"srv_097c"	557	"∂L*M"	500	-25.988	21.2017661002932	0.948171804866126	1.86290101272632
"srv_098za"	"srv_097c"	557	"Adp"	500	55	0	0	0
"srv_098za"	"srv_097c"	557	"DL*M+"	500	413.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_097c"	557	"DL*M"	500	361.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_097e"	501	"∂L*M"	500	-26.6	19.9614859628157	0.892704790895274	1.75392334014746
"srv_098za"	"srv_097e"	501	"Adp"	500	55	0	0	0
"srv_098za"	"srv_097e"	501	"DL*M+"	500	413.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098za"	"srv_097e"	501	"DL*M"	500	361.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_098za"	"srv_098f"	347	"∂L*M"	500	-24.016	20.6186809473355	0.922095444092439	1.81166802030426
"srv_098za"	"srv_098f"	347	"Adp"	500	55	0	0	0
"srv_098za"	"srv_098f"	347	"DL*M+"	500	411.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_098f"	347	"DL*M"	500	361.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_098l"	239	"∂L*M"	500	-53.928	16.2954564158111	0.728754965402774	1.43180629935505
"srv_098za"	"srv_098l"	239	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098l"	239	"DL*M+"	500	144.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_098za"	"srv_098l"	239	"DL*M"	500	117.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_098za"	"srv_098m"	223	"∂L*M"	500	-51.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_098za"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M+"	500	98	0	0	0
"srv_098za"	"srv_098m"	223	"DL*M"	500	70	0	0	0
"srv_098za"	"srv_098s"	126	"∂L*M"	500	-53.606	12.0248058575523	0.537765666274491	1.05656400999357
"srv_098za"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098s"	126	"DL*M+"	500	96.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_098za"	"srv_098s"	126	"DL*M"	500	69.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_098za"	"srv_098u"	116	"∂L*M"	500	-63.504	39.1357790570829	1.750205246481	3.43867968802207
"srv_098za"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M+"	500	147	0	0	0
"srv_098za"	"srv_098u"	116	"DL*M"	500	147	0	0	0
"srv_098za"	"srv_100"	218	"∂L*M"	500	-51.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_098za"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100"	218	"DL*M+"	500	98	0	0	0
"srv_098za"	"srv_100"	218	"DL*M"	500	70	0	0	0
"srv_098za"	"srv_100f"	126	"∂L*M"	500	-53.116	12.1733695356587	0.544409635939158	1.06961761246657
"srv_098za"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100f"	126	"DL*M+"	500	97.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_098za"	"srv_100f"	126	"DL*M"	500	69.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_098za"	"srv_100h"	116	"∂L*M"	500	-62.328	40.4801395674323	1.81032687622915	3.55680242102234
"srv_098za"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M+"	500	147	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M"	500	147	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	-63.434	40.1704989011081	1.79647932465917	3.52959572945958
"srv_098za"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"∂L*M"	500	-62.594	40.1414478522056	1.79518012225589	3.52704314831303
"srv_098za"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"DL*M+"	500	245	0	0	0
"srv_098za"	"srv_101"	116	"DL*M"	500	245	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	-59.71	39.4271848578062	1.7632373100701	3.4642841663808
"srv_098za"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_100"	"null"	0	"L*M"	73	0	0	0	0
"srv_100"	"srv_097"	378	"∂L*M"	500	-12.278	26.0262838473303	1.1639307976867	2.28680904729081
"srv_100"	"srv_097"	378	"Adp"	500	61	0	0	0
"srv_100"	"srv_097"	378	"DL*M+"	500	607.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100"	"srv_097"	378	"DL*M"	500	605.488	71.9784666084977	3.21897488505599	6.32441456552072
"srv_100"	"srv_097c"	338	"∂L*M"	500	23.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100"	"srv_097c"	338	"Adp"	500	61	0	0	0
"srv_100"	"srv_097c"	338	"DL*M+"	500	309.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_097c"	338	"DL*M"	500	295.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_097e"	283	"∂L*M"	500	23.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100"	"srv_097e"	283	"Adp"	500	61	0	0	0
"srv_100"	"srv_097e"	283	"DL*M+"	500	309.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100"	"srv_097e"	283	"DL*M"	500	295.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100"	"srv_098f"	128	"∂L*M"	500	25.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100"	"srv_098f"	128	"Adp"	500	61	0	0	0
"srv_100"	"srv_098f"	128	"DL*M+"	500	307.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_098f"	128	"DL*M"	500	294.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_098l"	20	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098l"	20	"Adp"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"DL*M+"	500	49	0	0	0
"srv_100"	"srv_098l"	20	"DL*M"	500	49	0	0	0
"srv_100"	"srv_098m"	4	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098m"	4	"Adp"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M"	500	0	0	0	0
"srv_100f"	"null"	0	"L*M"	73	0	0	0	0
"srv_100f"	"srv_097"	470	"∂L*M"	500	-31.084	43.0790500487907	1.92655368630423	3.7851566507976
"srv_100f"	"srv_097"	470	"Adp"	500	61	0	0	0
"srv_100f"	"srv_097"	470	"DL*M+"	500	607.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100f"	"srv_097"	470	"DL*M"	500	600.208	71.98308039899	3.21918122003949	6.32481995792718
"srv_100f"	"srv_097c"	431	"∂L*M"	500	23.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100f"	"srv_097c"	431	"Adp"	500	61	0	0	0
"srv_100f"	"srv_097c"	431	"DL*M+"	500	309.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_097c"	431	"DL*M"	500	295.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_097e"	375	"∂L*M"	500	23.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100f"	"srv_097e"	375	"Adp"	500	61	0	0	0
"srv_100f"	"srv_097e"	375	"DL*M+"	500	309.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100f"	"srv_097e"	375	"DL*M"	500	295.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100f"	"srv_098f"	220	"∂L*M"	500	25.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100f"	"srv_098f"	220	"Adp"	500	61	0	0	0
"srv_100f"	"srv_098f"	220	"DL*M+"	500	307.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_098f"	220	"DL*M"	500	294.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_098l"	112	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098l"	112	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M+"	500	49	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M"	500	49	0	0	0
"srv_100f"	"srv_098m"	96	"∂L*M"	500	-17.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098m"	96	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	-18.396	6.92814422228128	0.309836028778867	0.608743952128747
"srv_100f"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"∂L*M"	500	-17.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100f"	"srv_100"	92	"Adp"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M"	500	0	0	0	0
"srv_100h"	"null"	0	"L*M"	73	0	0	0	0
"srv_100h"	"srv_097"	480	"∂L*M"	500	-50.23	23.2611104317278	1.04026848314946	2.04384606336192
"srv_100h"	"srv_097"	480	"Adp"	500	73	0	0	0
