"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Symbols"	"sd"	"se"	"ci"
"srv_098u"	"srv_100f"	68	"DL*M+"	500	2522.366	29.6916694456364	1.32785182491793	2.60886950729289
"srv_098u"	"srv_100f"	68	"DL*M"	500	2342.046	60.5771827848431	2.70909397184679	5.32263654943495
"srv_098u"	"srv_100h"	0	"∂L*M"	500	2473.55	106.853408001819	4.77862967839175	9.38871417778231
"srv_098u"	"srv_100h"	0	"Adp"	500	2506	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	2662.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098u"	"srv_100h"	0	"DL*M"	500	2662.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"null"	0	"L*M"	73	1820	0	0	0
"srv_098za"	"srv_097"	4175	"∂L*M"	500	1523.438	249.997391080575	11.1802232130753	21.9661131445319
"srv_098za"	"srv_097"	4175	"Adp"	500	2107	0	0	0
"srv_098za"	"srv_097"	4175	"DL*M+"	500	6605.42	793.429033286357	35.4832250750048	69.7149351918932
"srv_098za"	"srv_097"	4175	"DL*M"	500	6209.244	647.531657108682	28.958496057562	56.8956083230931
"srv_098za"	"srv_097c"	3901	"∂L*M"	500	1744.002	130.651374118753	5.84290707766575	11.4797312642999
"srv_098za"	"srv_097c"	3901	"Adp"	500	2107	0	0	0
"srv_098za"	"srv_097c"	3901	"DL*M+"	500	4765.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098za"	"srv_097c"	3901	"DL*M"	500	4497.45	107.124314408424	4.79074498120594	9.41251746930207
"srv_098za"	"srv_097e"	3510	"∂L*M"	500	1741.224	126.569813381069	5.66037413239066	11.1211034218944
"srv_098za"	"srv_097e"	3510	"Adp"	500	2107	0	0	0
"srv_098za"	"srv_097e"	3510	"DL*M+"	500	4764.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098za"	"srv_097e"	3510	"DL*M"	500	4495.362	104.24087142071	4.66179349061047	9.15916268571749
"srv_098za"	"srv_098f"	2429	"∂L*M"	500	1753.044	126.917161944285	5.67590803237543	11.1516233317511
"srv_098za"	"srv_098f"	2429	"Adp"	500	2107	0	0	0
"srv_098za"	"srv_098f"	2429	"DL*M+"	500	4751.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098za"	"srv_098f"	2429	"DL*M"	500	4488.35	102.871826684719	4.60056794873218	9.03887106411005
"srv_098za"	"srv_098l"	1673	"∂L*M"	500	1626.296	62.0729448710945	2.77598648590729	5.45406223784667
"srv_098za"	"srv_098l"	1673	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_098l"	1673	"DL*M+"	500	2609.978	45.8842483265115	2.05200596709122	4.03163643402623
"srv_098za"	"srv_098l"	1673	"DL*M"	500	2504.25	29.1035656762215	1.30155102479322	2.55719555228138
"srv_098za"	"srv_098m"	1561	"∂L*M"	500	1638.448	31.731704936804	1.41908498561319	2.78811797954357
"srv_098za"	"srv_098m"	1561	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_098m"	1561	"DL*M+"	500	2274.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098m"	1561	"DL*M"	500	2162.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098s"	883	"∂L*M"	500	1629.642	43.3916525038403	1.94053369309272	3.81262358102114
"srv_098za"	"srv_098s"	883	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_098s"	883	"DL*M+"	500	2276.974	40.3195319083272	1.80314428335983	3.54269056970849
"srv_098za"	"srv_098s"	883	"DL*M"	500	2167.438	33.0356908470139	1.47740100835181	2.90269318338366
"srv_098za"	"srv_098u"	815	"∂L*M"	500	1682.016	263.50580707971	11.7843379419235	23.1530351078286
"srv_098za"	"srv_098u"	815	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_098u"	815	"DL*M+"	500	2661.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_098u"	815	"DL*M"	500	2661.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_100"	1529	"∂L*M"	500	1637.104	30.5103744634477	1.36446542638485	2.68080532620487
"srv_098za"	"srv_100"	1529	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_100"	1529	"DL*M+"	500	2277.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100"	1529	"DL*M"	500	2165.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100f"	883	"∂L*M"	500	1631.252	43.2047427441847	1.93217483452776	3.79620068592346
"srv_098za"	"srv_100f"	883	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_100f"	883	"DL*M+"	500	2274.818	37.8179490525475	1.6912700970224	3.32288806771851
"srv_098za"	"srv_100f"	883	"DL*M"	500	2165.058	30.897312566754	1.38176982442641	2.71480378563046
"srv_098za"	"srv_100h"	815	"∂L*M"	500	1684.368	266.975985680098	11.9395290468142	23.457943632827
"srv_098za"	"srv_100h"	815	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_100h"	815	"DL*M+"	500	2662.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100h"	815	"DL*M"	500	2662.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100m"	0	"∂L*M"	500	1674.582	265.810454405659	11.8874049036232	23.3555337967197
"srv_098za"	"srv_100m"	0	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	1932.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_100m"	0	"DL*M"	500	1932.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_101"	813	"∂L*M"	500	1682.394	265.954685149757	11.8938550985882	23.368206684345
"srv_098za"	"srv_101"	813	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_101"	813	"DL*M+"	500	3355.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101"	813	"DL*M"	500	3355.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101h"	0	"∂L*M"	500	1703.982	263.296988749528	11.7749993022988	23.1346872080861
"srv_098za"	"srv_101h"	0	"Adp"	500	1820	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	1945.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_098za"	"srv_101h"	0	"DL*M"	500	1945.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_100"	"null"	0	"L*M"	73	2065	0	0	0
"srv_100"	"srv_097"	2646	"∂L*M"	500	2011.604	147.696634272928	6.60519428564385	12.9774193461884
"srv_100"	"srv_097"	2646	"Adp"	500	2389	0	0	0
"srv_100"	"srv_097"	2646	"DL*M+"	500	6588.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100"	"srv_097"	2646	"DL*M"	500	6574.208	599.799790190548	26.8238620751235	52.7016301987952
"srv_100"	"srv_097c"	2372	"∂L*M"	500	2212.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100"	"srv_097c"	2372	"Adp"	500	2389	0	0	0
"srv_100"	"srv_097c"	2372	"DL*M+"	500	4538.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100"	"srv_097c"	2372	"DL*M"	500	4438.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100"	"srv_097e"	1981	"∂L*M"	500	2210.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100"	"srv_097e"	1981	"Adp"	500	2389	0	0	0
"srv_100"	"srv_097e"	1981	"DL*M+"	500	4537.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100"	"srv_097e"	1981	"DL*M"	500	4436.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100"	"srv_098f"	900	"∂L*M"	500	2219.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100"	"srv_098f"	900	"Adp"	500	2389	0	0	0
"srv_100"	"srv_098f"	900	"DL*M+"	500	4524.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100"	"srv_098f"	900	"DL*M"	500	4428.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100"	"srv_098l"	144	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098l"	144	"Adp"	500	2065	0	0	0
"srv_100"	"srv_098l"	144	"DL*M+"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098l"	144	"DL*M"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_100"	"srv_098m"	32	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100"	"srv_098m"	32	"Adp"	500	2065	0	0	0
"srv_100"	"srv_098m"	32	"DL*M+"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100"	"srv_098m"	32	"DL*M"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_100f"	"null"	0	"L*M"	73	2065	0	0	0
"srv_100f"	"srv_097"	3292	"∂L*M"	500	1916.024	234.092935452691	10.4689543344937	20.5686622738878
"srv_100f"	"srv_097"	3292	"Adp"	500	2389	0	0	0
"srv_100f"	"srv_097"	3292	"DL*M+"	500	6588.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100f"	"srv_097"	3292	"DL*M"	500	6544.628	600.965286991135	26.8759846765969	52.8040370058447
"srv_100f"	"srv_097c"	3018	"∂L*M"	500	2212.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100f"	"srv_097c"	3018	"Adp"	500	2389	0	0	0
"srv_100f"	"srv_097c"	3018	"DL*M+"	500	4538.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100f"	"srv_097c"	3018	"DL*M"	500	4438.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100f"	"srv_097e"	2627	"∂L*M"	500	2210.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100f"	"srv_097e"	2627	"Adp"	500	2389	0	0	0
"srv_100f"	"srv_097e"	2627	"DL*M+"	500	4537.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100f"	"srv_097e"	2627	"DL*M"	500	4436.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100f"	"srv_098f"	1546	"∂L*M"	500	2219.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100f"	"srv_098f"	1546	"Adp"	500	2389	0	0	0
"srv_100f"	"srv_098f"	1546	"DL*M+"	500	4524.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100f"	"srv_098f"	1546	"DL*M"	500	4428.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100f"	"srv_098l"	790	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098l"	790	"Adp"	500	2065	0	0	0
"srv_100f"	"srv_098l"	790	"DL*M+"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
