"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	391	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	391	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	391	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	665	"TQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"Adp"	665	"EQ_Symbols_Diff"	0.404112881612818	0.514	"negligible"
"∂L*M"	"Adp"	665	"MQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"Adp"	2372	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	2372	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	2372	"MQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	2646	"TQ_Symbols_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	2646	"EQ_Symbols_Diff"	4.42033641460328e-62	0.6215	"small"
"∂L*M"	"Adp"	2646	"MQ_Symbols_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	1981	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	1981	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	1981	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	900	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	900	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	900	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	144	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	144	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	144	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	32	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	32	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	32	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	1472	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	1472	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	1472	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	1746	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	1746	"EQ_Symbols_Diff"	0.474412895837858	0.507	"negligible"
"∂L*M"	"Adp"	1746	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	1081	"TQ_Symbols_Diff"	5.87471829087958e-193	0	"large"
"∂L*M"	"Adp"	1081	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	1081	"MQ_Symbols_Diff"	5.87471829087958e-193	0	"large"
"∂L*M"	"Adp"	2340	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	2340	"EQ_Symbols_Diff"	NA	0.5	"negligible"
