Inferred	Reused	N	MQ_Reset	sd	se	ci	MQ_Reset_Percent
server_097c	N/A	707	684,506364922207	96,8855280954345	3,64375530099619	7,15389341033292	1
server_097c	server_097	1000	1573	0	0	0	2,29800638914259
server_097e	N/A	1421	666,653764954258	99,6939529872479	2,64467175916773	5,18788332765223	1
server_097e	server_097	1000	1573	0	0	0	2,35954566326935
server_097e	server_097c	1000	1285	0	0	0	1,92753730279791
server_098l	N/A	2964	405,587044534413	60,5447777452421	1,1120839928225	2,18053530086246	1
server_098l	server_097	1000	1390	0	0	0	3,42713116390497
server_098l	server_097c	1000	1102	0	0	0	2,71704931123977
server_098l	server_097e	1000	1201	0	0	0	2,96113994809343
server_098m	N/A	3971	376,433140266935	60,6627191186376	0,962657789852822	1,88735000559475	1
server_098m	server_097	1000	1362	0	0	0	3,61817240382763
server_098m	server_097c	1000	1074	0	0	0	2,85309630081562
server_098m	server_097e	1000	1173	0	0	0	3,116091211226
server_098m	server_098l	1000	750	0	0	0	1,99238568492711
server_098s	N/A	4970	374,576659959759	56,8750582104229	0,806758704278655	1,58160325491305	1
server_098s	server_097	1000	1362	0	0	0	3,63610482336599
server_098s	server_097c	1000	1074	0	0	0	2,86723684309477
server_098s	server_097e	1000	1173	0	0	0	3,131535211313
server_098s	server_098l	1000	750	0	0	0	2,00226036528964
server_098s	server_098m	1000	708	0	0	0	1,89013378483342
server_098u	N/A	5916	480,843982420554	70,5621660121076	0,917398067573798	1,7984351778265	1
server_098u	server_097	1000	1515,609	22,5978933483585	0,714608133023816	1,4023051678958	3,15197663984577
server_098u	server_097c	1000	1228,876	24,6896375469994	0,780754892525306	1,5321076965852	2,55566471647181
server_098u	server_097e	1000	1326,051	21,6365556302185	0,684207965124303	1,34264965800117	2,75775729442365
server_098u	server_098l	1000	904,321	23,8696820406289	0,754825622724031	1,48122561539724	1,88069526304078
server_098u	server_098m	1000	862,41	23,991988569427	0,758693294761141	1,48881530859373	1,79353393518341
server_098u	server_098s	1000	862,165	23,5689471608358	0,745315550804	1,4625636069702	1,79302441440545
server_098za	N/A	6972	315,737091222031	55,3301525077672	0,662648437189678	1,29899261285551	1
server_098za	server_097	998	1404,6372745491	0,68710240570188	0,0217498466104123	0,0426807296314655	4,44875598591404
server_098za	server_097c	998	1116,64729458918	0,682087549855431	0,0215911041223516	0,0423692219075121	3,53663641565614
server_098za	server_097e	1000	1215,68	0,681222477656209	0,0215421462269678	0,0422730467029785	3,8502920112896
server_098za	server_098l	998	792,630260521042	0,658686371098524	0,0208503527521892	0,0409156112443958	2,51041224663609
server_098za	server_098m	999	750,637637637638	0,698427108348593	0,0220972558113121	0,0433624139595965	2,37741354597385
server_098za	server_098s	999	750,585585585586	0,670321635203337	0,0212080379926379	0,0416174628451752	2,37724868712926
server_098za	server_098u	1000	785	0	0	0	2,48624574630029
server_100	N/A	7952	377,904803822938	60,7785307455206	0,681572425185072	1,33606079153245	1
server_100	server_097	1000	1362	0	0	0	3,60408226151618
server_100	server_097c	1000	1074	0	0	0	2,84198557185637
server_100	server_097e	1000	1173	0	0	0	3,10395630892693
server_100	server_098l	1000	750	0	0	0	1,98462679598908
server_100	server_098m	1000	708	0	0	0	1,87348769541369
server_100	server_098s	1000	708	0	0	0	1,87348769541369
server_100	server_098u	1000	877	0	0	0	2,32069026677657
server_100	server_098za	1000	750	0	0	0	1,98462679598908
server_101	N/A	8820	557,262244897959	82,4762611082381	0,878202506514488	1,72148154828899	1
server_101	server_097	1000	1713,665	28,0102364921889	0,885761451152819	1,73816642027091	3,07515001364177
server_101	server_097c	1000	1411,773	28,1503448098405	0,890192065181954	1,74686079787856	2,53340866517614
server_101	server_097e	1000	1526,045	30,0465933638536	0,950156709586778	1,86453190579627	2,73846831356651
server_101	server_098l	1000	1059,748	28,1684212542335	0,890763692544749	1,74798252595289	1,90170428681034
server_101	server_098m	1000	1017,447	27,707307445616	0,876181993586884	1,7193682535141	1,82579568114525
server_101	server_098s	1000	1015,832	24,9003173032354	0,787417171391253	1,54518136262948	1,8228975842173
server_101	server_098u	1000	1087	0	0	0	1,95060765367128
server_101	server_098za	1000	988	0	0	0	1,77295341474446
server_101	server_100	1000	1018,711	29,6664722975041	0,938136226024013	1,84094361251818	1,82806391304427
server_101k	N/A	9968	290,154093097913	53,6492547166745	0,537353000882703	1,05332044074916	1
server_101k	server_097	999	1426,63663663664	0,679722844540243	0,0215054790930335	0,0422011445581483	4,91682409648178
server_101k	server_097c	999	1138,65465465465	0,690513920790498	0,021846893636557	0,0428711172866404	3,92431015705304
server_101k	server_097e	1000	1237,632	0,670093295761885	0,0211902105941641	0,0415824288190775	4,26543009194207
