Inferred	Reused	N	EQ_Reset	sd	se	ci	EQ_Reset_Percent
server_097c	N/A	707	2560,74540311174	581,110861286906	21,854923257423	42,9084223717947	1
server_097c	server_097	1000	1700	0	0	0	0,663869199153579
server_097e	N/A	1421	2546,01829697396	596,208788415011	15,8161703698365	31,0255691597826	1
server_097e	server_097	1000	1700	0	0	0	0,66770926274195
server_097e	server_097c	1000	1700	0	0	0	0,66770926274195
server_098l	N/A	2964	1995,11099865047	326,404635364853	5,99538694649584	11,7555445124106	1
server_098l	server_097	1000	1700	0	0	0	0,852082917266212
server_098l	server_097c	1000	1700	0	0	0	0,852082917266212
server_098l	server_097e	1000	1700	0	0	0	0,852082917266212
server_098m	N/A	3971	1958,09745656006	299,092746238473	4,74630821430619	9,3054301635005	1
server_098m	server_097	1000	1700	0	0	0	0,868189677845004
server_098m	server_097c	1000	1700	0	0	0	0,868189677845004
server_098m	server_097e	1000	1700	0	0	0	0,868189677845004
server_098m	server_098l	1000	1700	0	0	0	0,868189677845004
server_098s	N/A	4970	1967,19436619718	290,738543770205	4,12405469526058	8,08496802683477	1
server_098s	server_097	1000	1700	0	0	0	0,864174902699777
server_098s	server_097c	1000	1700	0	0	0	0,864174902699777
server_098s	server_097e	1000	1700	0	0	0	0,864174902699777
server_098s	server_098l	1000	1700	0	0	0	0,864174902699777
server_098s	server_098m	1000	1700	0	0	0	0,864174902699777
server_098u	N/A	5916	2006,75726842461	328,902570171887	4,27615249571521	8,38282022370425	1
server_098u	server_097	1000	1853,92	152,791488109904	4,83169109513831	9,48142776337919	0,923838687005432
server_098u	server_097c	1000	1864,939	162,421735303804	5,13622625077002	10,079029725648	0,929329635100341
server_098u	server_097e	1000	1852,188	153,276920867006	4,8470418267713	9,51155114052134	0,92297560305041
server_098u	server_098l	1000	1851,435	149,509741949941	4,72791316945838	9,27778003706702	0,922600370822852
server_098u	server_098m	1000	1854,253	152,686489759753	4,82837075576795	9,47491212376769	0,924004626357061
server_098u	server_098s	1000	1854,052	153,089639537539	4,84111947112791	9,49992945649473	0,923904464766438
server_098za	N/A	6972	1970,81655192197	294,135910385825	3,52264890849828	6,90546397306749	1
server_098za	server_097	998	1952,09519038076	248,420369528959	7,86360939405749	15,4311242965063	0,990500708184659
server_098za	server_097c	998	1969,49398797595	252,772620068505	8,00137747762068	15,7014729767398	0,999328925898896
server_098za	server_097e	1000	1943,579	249,137434401617	7,878417431199	15,4601451733583	0,986179559992323
server_098za	server_098l	998	1939,19438877756	237,850825801764	7,52903633347605	14,7745761103774	0,983954791168371
server_098za	server_098m	999	1926,84084084084	235,572954575751	7,45319844728714	14,6257381076631	0,977686552795466
server_098za	server_098s	999	1945,62562562563	244,360832411452	7,73123459773553	15,1713406365211	0,987218025811798
server_098za	server_098u	1000	1700	0	0	0	0,862586626006429
server_100	N/A	7952	1954,35374748491	290,05637951307	3,25270169581542	6,37614880201474	1
server_100	server_097	1000	1700	0	0	0	0,869852759352169
server_100	server_097c	1000	1700	0	0	0	0,869852759352169
server_100	server_097e	1000	1700	0	0	0	0,869852759352169
server_100	server_098l	1000	1700	0	0	0	0,869852759352169
server_100	server_098m	1000	1700	0	0	0	0,869852759352169
server_100	server_098s	1000	1700	0	0	0	0,869852759352169
server_100	server_098u	1000	1700	0	0	0	0,869852759352169
server_100	server_098za	1000	1700	0	0	0	0,869852759352169
server_101	N/A	8820	2044,74512471655	360,878698107473	3,84261571714255	7,53242219779184	1
server_101	server_097	1000	1886,083	178,586284949803	5,64739419309226	11,0821157724692	0,922404938004903
server_101	server_097c	1000	1880,079	180,712611089561	5,71463452959214	11,2140642726435	0,919468630722678
server_101	server_097e	1000	1894,42	193,466071239173	6,11793435080181	12,0054762330709	0,926482218786367
server_101	server_098l	1000	1890,099	181,218893845224	5,73064459607176	11,245481489892	0,92436899697316
server_101	server_098m	1000	1881,913	171,55333274809	5,42499271676718	10,6456881344592	0,920365564026409
server_101	server_098s	1000	1879,821	177,761655497369	5,62131712013876	11,0309436510276	0,919342453627605
server_101	server_098u	1000	1700	0	0	0	0,831399463654746
server_101	server_098za	1000	1700	0	0	0	0,831399463654746
server_101	server_100	1000	1880,332	176,343434192438	5,5764690246412	10,9429363737798	0,91959236252521
server_101k	N/A	9968	1934,03230337079	263,585115728301	2,64007866787002	5,17508755228917	1
server_101k	server_097	999	1914,9049049049	213,061433193798	6,74096543007934	13,2280920292732	0,990110093594329
server_101k	server_097c	999	1913,01301301301	203,98980983339	6,45395196851312	12,6648729291875	0,989131882481415
server_101k	server_097e	1000	1921,532	222,974816391324	7,05108280654431	13,8366321371671	0,993536662573319
server_101k	server_098l	999	1926,2032032032	210,280220877605	6,65297176648602	13,0554182050149	0,99595192895489
server_101k	server_098m	999	1916,08608608609	228,894841124004	7,24191228797821	14,2111220131525	0,990720828574878
server_101k	server_098s	1000	1914,682	210,71302488184	6,66333091290346	13,0757305196427	0,989994839622347
server_101k	server_098u	1000	1700	0	0	0	0,878992557175546
server_101k	server_098za	1000	1700	0	0	0	0,878992557175546
server_101k	server_100	1000	1915,46	204,047322231167	6,45254288708798	12,6620924370745	0,990397107980866
server_101k	server_101	1000	1700	0	0	0	0,878992557175546
server_102	N/A	10991	1904,54044217997	216,528627172504	2,06536454985386	4,04848600485054	1
server_102	server_097	1000	1700	0	0	0	0,892603781127459
server_102	server_097c	1000	1700	0	0	0	0,892603781127459
server_102	server_097e	1000	1700	0	0	0	0,892603781127459
server_102	server_098l	1000	1700	0	0	0	0,892603781127459
server_102	server_098m	1000	1700	0	0	0	0,892603781127459
server_102	server_098s	1000	1700	0	0	0	0,892603781127459
server_102	server_098u	1000	1700	0	0	0	0,892603781127459
server_102	server_098za	1000	1700	0	0	0	0,892603781127459
server_102	server_100	1000	1700	0	0	0	0,892603781127459
server_102	server_101	1000	1700	0	0	0	0,892603781127459
server_102	server_101k	1000	1700	0	0	0	0,892603781127459
server_110-pre1	N/A	12000	1828,54675	87,142912152198	0,795502311874165	1,55931317186484	1
server_110-pre1	server_097	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_097c	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_097e	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_098l	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_098m	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_098s	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_098u	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_098za	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_100	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_101	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_101k	1000	1700	0	0	0	0,929700047318998
server_110-pre1	server_102	1000	1700	0	0	0	0,929700047318998
