Inferred	Reused	N	Total_Resets	sd	se	ci	Total_Resets_Percent
server_097c	N/A	707	3245,25176803395	617,528275992729	23,2245410991322	45,5974339115649	1
server_097c	server_097	1000	3273	0	0	0	1,00855040962904
server_097e	N/A	1421	3212,67206192822	639,086601275744	16,9536289354746	33,256848829221	1
server_097e	server_097	1000	3273	0	0	0	1,01877811893305
server_097e	server_097c	1000	2985	0	0	0	0,929133114883947
server_098l	N/A	2964	2400,69804318489	344,841637901703	6,33403705242459	12,4195577662515	1
server_098l	server_097	1000	3090	0	0	0	1,28712563780018
server_098l	server_097c	1000	2802	0	0	0	1,16716052981104
server_098l	server_097e	1000	2901	0	0	0	1,20839853568231
server_098m	N/A	3971	2334,530596827	319,907004368381	5,07661005405026	9,95300730426641	1
server_098m	server_097	1000	3062	0	0	0	1,31161270885109
server_098m	server_097c	1000	2774	0	0	0	1,18824743773773
server_098m	server_097e	1000	2873	0	0	0	1,23065424968294
server_098m	server_098l	1000	2450	0	0	0	1,04946150773519
server_098s	N/A	4970	2341,77102615694	309,68596764562	4,39281924014412	8,61186519787068	1
server_098s	server_097	1000	3062	0	0	0	1,30755738532858
server_098s	server_097c	1000	2774	0	0	0	1,18457354242374
server_098s	server_097e	1000	2873	0	0	0	1,22684923842228
server_098s	server_098l	1000	2450	0	0	0	1,04621671915579
server_098s	server_098m	1000	2408	0	0	0	1,02828157539883
server_098u	N/A	5916	2487,60125084517	351,00470801204	4,56350844990073	8,94614281487982	1
server_098u	server_097	1000	3369,529	159,973343497064	5,05880130363208	9,92709554175318	1,35452938804207
server_098u	server_097c	1000	3093,815	171,188744844284	5,41346343493344	10,6230637466998	1,24369410047083
server_098u	server_097e	1000	3178,239	160,925619259128	5,08891490731904	9,98618871481223	1,27763201554919
server_098u	server_098l	1000	2755,756	157,362280586395	4,97623224451506	9,76506685364106	1,10779651644882
server_098u	server_098m	1000	2716,663	161,744770554729	5,11481874574279	10,0370208909537	1,09208137722113
server_098u	server_098s	1000	2716,217	161,021016263961	5,09193162549132	9,99210854595826	1,09190208803648
server_098za	N/A	6972	2286,553643144	315,670604751191	3,78055406364067	7,41103657015704	1
server_098za	server_097	998	3356,73246492986	248,423227311255	7,8636998555754	15,4313018133255	1,46803136457991
server_098za	server_097c	998	3086,14128256513	252,801266849517	8,00228427562883	15,703252428398	1,3496911790452
server_098za	server_097e	1000	3159,259	249,168651591519	7,8794046054214	15,4620823462643	1,38166843776997
server_098za	server_098l	998	2731,8246492986	237,848122763527	7,52895077029573	14,7744082057926	1,19473455498833
server_098za	server_098m	999	2677,47847847848	235,586117853191	7,45361491495489	14,626555360428	1,17096683321059
server_098za	server_098s	999	2696,21121121121	244,350093863655	7,73089484511871	15,1706739250643	1,17915939531772
server_098za	server_098u	1000	2485	0	0	0	1,08678841078188
server_100	N/A	7952	2332,25855130785	310,817138726918	3,4855135264487	6,83252107768237	1
server_100	server_097	1000	3062	0	0	0	1,31289045902863
server_100	server_097c	1000	2774	0	0	0	1,18940500762424
server_100	server_097e	1000	2873	0	0	0	1,2318531315445
server_100	server_098l	1000	2450	0	0	0	1,0504838747943
server_100	server_098m	1000	2408	0	0	0	1,03247557979782
server_100	server_098s	1000	2408	0	0	0	1,03247557979782
server_100	server_098u	1000	2577	0	0	0	1,1049375287122
server_100	server_098za	1000	2450	0	0	0	1,0504838747943
server_101	N/A	8820	2602,00736961451	388,882492221827	4,14079851365494	8,11692996041552	1
server_101	server_097	1000	3599,748	188,302539394301	5,95464913679575	11,6850548876368	1,38345034761885
server_101	server_097c	1000	3291,852	191,197370616153	6,04619173782394	11,8646927290944	1,26512016777558
server_101	server_097e	1000	3420,465	204,335272722745	6,46164868115551	12,6799611143097	1,31454854430591
server_101	server_098l	1000	2949,847	189,097682493796	5,97979376939745	11,7343972427161	1,13368126256961
server_101	server_098m	1000	2899,36	180,615188304434	5,71155375062218	11,2080187323382	1,11427816610279
server_101	server_098s	1000	2895,653	186,739632326085	5,90522567572835	11,5880691808315	1,11285349680965
server_101	server_098u	1000	2787	0	0	0	1,07109612084338
server_101	server_098za	1000	2688	0	0	0	1,03304857295551
server_101	server_100	1000	2899,043	185,330084960298	5,86065187427059	11,5006001621506	1,11415633708581
server_101k	N/A	9968	2224,1863964687	284,195472672605	2,8465127965783	5,57974014951945	1
server_101k	server_097	999	3341,54154154154	213,044201257403	6,74042023573895	13,2270221705144	1,50236578501103
server_101k	server_097c	999	3051,66766766767	203,969985968568	6,45332476918637	12,6636421484483	1,37203773591671
server_101k	server_097e	1000	3159,164	222,983898349013	7,0513700032634	13,8371957151965	1,4203683670648
server_101k	server_098l	999	2818,84784784785	210,292364650106	6,65335597844494	13,0561721609881	1,26736133820586
server_101k	server_098m	999	2759,68868868869	228,887043625587	7,24166558604591	14,2106378991338	1,24076322608132
server_101k	server_098s	1000	2758,273	210,711118944034	6,66327064185799	13,0756122472712	1,24012672875765
server_101k	server_098u	1000	2464	0	0	0	1,10782082109307
server_101k	server_098za	1000	2253	0	0	0	1,01295467123486
server_101k	server_100	1000	2759,058	204,053709970078	6,45274488512854	12,6624888262045	1,24047966680333
server_101k	server_101	1000	2562	0	0	0	1,15188187647746
server_102	N/A	10991	2168,0876171413	229,340061374173	2,1875667841655	4,28802436402647	1
server_102	server_097	1000	3028	0	0	0	1,39662252395156
server_102	server_097c	1000	2740	0	0	0	1,2637865639456
server_102	server_097e	1000	2839	0	0	0	1,30944892519765
server_102	server_098l	1000	2494	0	0	0	1,15032251477384
server_102	server_098m	1000	2445	0	0	0	1,12772195213394
server_102	server_098s	1000	2445	0	0	0	1,12772195213394
server_102	server_098u	1000	2493	0	0	0	1,1498612788016
server_102	server_098za	1000	2282	0	0	0	1,05254048865834
server_102	server_100	1000	2445	0	0	0	1,12772195213394
server_102	server_101	1000	2591	0	0	0	1,1950624040814
server_102	server_101k	1000	2297	0	0	0	1,05945902824199
server_110-pre1	N/A	12000	2044,92483333333	100,314150351295	0,915738716406154	1,7949959681633	1
server_110-pre1	server_097	1000	3070	0	0	0	1,5012776753245
server_110-pre1	server_097c	1000	2761	0	0	0	1,3501718767332
server_110-pre1	server_097e	1000	2860	0	0	0	1,39858441414595
server_110-pre1	server_098l	1000	2494	0	0	0	1,21960473037762
server_110-pre1	server_098m	1000	2438	0	0	0	1,19221986073001
server_110-pre1	server_098s	1000	2438	0	0	0	1,19221986073001
server_110-pre1	server_098u	1000	2465	0	0	0	1,20542328002439
server_110-pre1	server_098za	1000	2254	0	0	0	1,10224100331642
server_110-pre1	server_100	1000	2438	0	0	0	1,19221986073001
server_110-pre1	server_101	1000	2563	0	0	0	1,25334680190771
server_110-pre1	server_101k	1000	2269	0	0	0	1,10957623625775
server_110-pre1	server_102	1000	2220	0	0	0	1,08561447531609
