Control	Treatment	Metric	Wilcox	VD	VD.magnitude
server_101k	server_098u	EQ_Reset	0	1	large
server_101k	server_098za	EQ_Reset	0	1	large
server_101k	server_100	EQ_Reset	0,167	0,487	negligible
server_101k	server_101	EQ_Reset	0	1	large
server_102	server_097	EQ_Reset	0	1	large
server_102	server_097c	EQ_Reset	0	1	large
server_102	server_097e	EQ_Reset	0	1	large
server_102	server_098l	EQ_Reset	0	1	large
server_102	server_098m	EQ_Reset	0	1	large
server_102	server_098s	EQ_Reset	0	1	large
server_102	server_098u	EQ_Reset	0	1	large
server_102	server_098za	EQ_Reset	0	1	large
server_102	server_100	EQ_Reset	0	1	large
server_102	server_101	EQ_Reset	0	1	large
server_102	server_101k	EQ_Reset	0	1	large
server_110-pre1	server_097	EQ_Reset	0	1	large
server_110-pre1	server_097c	EQ_Reset	0	1	large
server_110-pre1	server_097e	EQ_Reset	0	1	large
server_110-pre1	server_098l	EQ_Reset	0	1	large
server_110-pre1	server_098m	EQ_Reset	0	1	large
server_110-pre1	server_098s	EQ_Reset	0	1	large
server_110-pre1	server_098u	EQ_Reset	0	1	large
server_110-pre1	server_098za	EQ_Reset	0	1	large
server_110-pre1	server_100	EQ_Reset	0	1	large
server_110-pre1	server_101	EQ_Reset	0	1	large
server_110-pre1	server_101k	EQ_Reset	0	1	large
server_110-pre1	server_102	EQ_Reset	0	1	large
