SUL name|Seed|Cache|ClosingStrategy|ObservationTableCEXHandler|EquivalenceOracle|Method|Reading OT|Reused queries [resets]|Reused queries [symbols]|Rounds|MQ [resets]|MQ [symbols]|EQ [resets]|EQ [symbols]|Learning [ms]|Searching for counterexample [ms]|Qsize|Isize|Equivalent|Info|Reused prefixes|Reused suffixes
client_098j.dot.kiss|1548860729944|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|776|3848|0|0|30|3|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860730295|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|444|2560|1571|8036|25|87|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860731280|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|9|211|959|1572|8041|21|79|12|8|OK|N/A|null|null
client_098l.dot.kiss|1548860732305|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|776|3848|0|0|34|4|12|8|OK|N/A|null|null
client_098l.dot.kiss|1548860733327|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|444|2560|1571|8036|25|90|12|8|OK|N/A|null|null
client_098l.dot.kiss|1548860734299|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|9|217|1004|1572|8041|27|110|12|8|OK|N/A|null|null
client_098m.dot.kiss|1548860735712|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|776|3848|0|0|30|4|12|8|OK|N/A|null|null
client_098m.dot.kiss|1548860736323|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|444|2560|1571|8036|24|94|12|8|OK|N/A|null|null
client_098m.dot.kiss|1548860737315|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|9|207|929|1572|8041|23|86|12|8|OK|N/A|null|null
client_098za.dot.kiss|1548860741274|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|264|1320|829|3541|17|70|7|8|OK|N/A|null|null
client_098za.dot.kiss|1548860741257|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|456|1928|0|0|27|2|7|8|OK|N/A|null|null
client_098za.dot.kiss|1548860741405|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|120|460|829|3541|14|55|7|8|OK|N/A|null|null
client_100m.dot.kiss|1548860741540|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|456|1928|0|0|17|2|7|8|OK|N/A|null|null
client_100m.dot.kiss|1548860742331|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|264|1320|829|3541|21|82|7|8|OK|N/A|null|null
client_100m.dot.kiss|1548860743355|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|120|460|829|3541|20|88|7|8|OK|N/A|null|null
client_101.dot.kiss|1548860744336|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|776|3848|0|0|31|4|12|8|OK|N/A|null|null
client_101.dot.kiss|1548860745344|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|448|2586|1031|5123|30|105|12|8|OK|N/A|null|null
client_101.dot.kiss|1548860746329|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|205|921|1032|5128|26|116|12|8|OK|N/A|null|null
client_101h.dot.kiss|1548860748346|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|456|1928|0|0|24|3|7|8|OK|N/A|null|null
client_101h.dot.kiss|1548860748540|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|264|1320|829|3541|16|62|7|8|OK|N/A|null|null
client_101h.dot.kiss|1548860749505|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|120|460|829|3541|18|79|7|8|OK|N/A|null|null
client_102.dot.kiss|1548860750342|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|456|1928|0|0|19|3|7|8|OK|N/A|null|null
client_102.dot.kiss|1548860753167|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|264|1320|829|3541|26|94|7|8|OK|N/A|null|null
client_102.dot.kiss|1548860754030|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|120|460|829|3541|20|85|7|8|OK|N/A|null|null
client_110-pre1.dot.kiss|1548860755739|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|456|1928|0|0|22|4|7|8|OK|N/A|null|null
client_110-pre1.dot.kiss|1548860757085|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|264|1320|829|3541|19|85|7|8|OK|N/A|null|null
client_110-pre1.dot.kiss|1548860757603|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|120|460|829|3541|15|70|7|8|OK|N/A|null|null
client_098j.dot.kiss|1548860802006|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|client_098l.dot.ot|null|null|1|776|3848|0|0|30|4|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860802959|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|client_098l.dot.ot|776|3848|1|776|3848|0|0|27|4|12|8|OK|N/A|12/12|4/8
client_098j.dot.kiss|1548860804038|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|client_098l.dot.ot|776|3848|1|776|3848|0|0|47|3|12|8|OK|N/A|12/12|4/8
client_098j.dot.kiss|1548860805007|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|client_098l.dot.ot|null|null|1|436|2116|0|0|84|4|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860806017|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|client_098m.dot.ot|null|null|1|776|3848|0|0|36|3|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860807025|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|client_098m.dot.ot|776|3848|1|776|3848|0|0|36|4|12|8|OK|N/A|12/12|4/8
client_098j.dot.kiss|1548860808020|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|client_098m.dot.ot|776|3848|1|776|3848|0|0|40|4|12|8|OK|N/A|12/12|4/8
client_098j.dot.kiss|1548860809019|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|client_098m.dot.ot|null|null|1|436|2116|0|0|84|2|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860810024|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|client_098za.dot.ot|null|null|1|776|3848|0|0|26|4|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860811043|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|client_098za.dot.ot|456|1928|1|616|2888|0|0|28|3|12|8|OK|N/A|7/7|4/8
client_098j.dot.kiss|1548860812064|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|client_098za.dot.ot|776|3848|1|776|3848|0|0|30|5|12|8|OK|N/A|12/7|4/8
client_098j.dot.kiss|1548860813035|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|client_098za.dot.ot|null|null|1|416|2016|0|0|50|4|12|8|OK|N/A|null|null
client_098j.dot.kiss|1548860814213|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|client_100m.dot.ot|null|null|1|776|3848|0|0|28|4|12|8|OK|N/A|null|null
