SUL name|Seed|Cache|ClosingStrategy|ObservationTableCEXHandler|EquivalenceOracle|Method|Reading OT|Reused queries [resets]|Reused queries [symbols]|Rounds|MQ [resets]|MQ [symbols]|EQ [resets]|EQ [symbols]|Learning [ms]|Searching for counterexample [ms]|Qsize|Isize|Equivalent|Info|Reused prefixes|Reused suffixes
SUL_ActiveMQ.dot.kiss|1548860730258|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|11|1518|10240|8439|49872|34|175|18|9|OK|N/A|null|null
SUL_ActiveMQ.dot.kiss|1548860729951|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|8|2516|15049|8435|49875|48|170|18|9|OK|N/A|null|null
SUL_ActiveMQ.dot.kiss|1548860731252|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|14|568|3203|9531|58284|36|201|18|9|OK|N/A|null|null
SUL_emqtt.dot.kiss|1548860732246|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|8|2516|15049|8435|49875|35|143|18|9|OK|N/A|null|null
SUL_emqtt.dot.kiss|1548860733237|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|11|1518|10240|8439|49872|21|135|18|9|OK|N/A|null|null
SUL_emqtt.dot.kiss|1548860734235|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|14|568|3203|9531|58284|22|140|18|9|OK|N/A|null|null
SUL_hbmqtt.dot.kiss|1548860735280|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|5|1935|9895|9242|53113|33|122|17|9|OK|N/A|null|null
SUL_hbmqtt.dot.kiss|1548860736283|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|8|1034|6148|8354|46877|19|111|17|9|OK|N/A|null|null
SUL_hbmqtt.dot.kiss|1548860737244|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|13|597|3208|9200|52503|25|125|17|9|OK|N/A|null|null
SUL_mosquitto.dot.kiss|1548860740233|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|6|2209|12866|8072|47543|83|164|18|9|OK|N/A|null|null
