"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	55	"TQ_Resets_Diff"	1.21928853049837e-193	0	"large"
"∂L*M"	"Adp"	55	"EQ_Resets_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	55	"MQ_Resets_Diff"	1.21928853049837e-193	0	"large"
"∂L*M"	"Adp"	95	"TQ_Resets_Diff"	5.96919587121142e-190	0	"large"
"∂L*M"	"Adp"	95	"EQ_Resets_Diff"	0.404112881612818	0.514	"negligible"
"∂L*M"	"Adp"	95	"MQ_Resets_Diff"	5.96919587121142e-190	0	"large"
"∂L*M"	"Adp"	338	"TQ_Resets_Diff"	9.53191698611399e-172	0.038	"large"
"∂L*M"	"Adp"	338	"EQ_Resets_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	338	"MQ_Resets_Diff"	9.53191698611399e-172	0.038	"large"
"∂L*M"	"Adp"	378	"TQ_Resets_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	378	"EQ_Resets_Diff"	4.42033641460328e-62	0.6215	"small"
"∂L*M"	"Adp"	378	"MQ_Resets_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	283	"TQ_Resets_Diff"	6.12707423722983e-179	0.026	"large"
"∂L*M"	"Adp"	283	"EQ_Resets_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	283	"MQ_Resets_Diff"	6.12707423722983e-179	0.026	"large"
"∂L*M"	"Adp"	128	"TQ_Resets_Diff"	1.22063836817896e-172	0.037	"large"
"∂L*M"	"Adp"	128	"EQ_Resets_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	128	"MQ_Resets_Diff"	1.22063836817896e-172	0.037	"large"
"∂L*M"	"Adp"	20	"TQ_Resets_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	20	"EQ_Resets_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	20	"MQ_Resets_Diff"	1.66224908427262e-155	0.086	"large"
