"Control"	"Treatment"	"Measure"	"grp.mean"
"∂L*M"	"Adp"	"TQ_Resets_Diff"	0.0332681623931624
"∂L*M"	"Adp"	"EQ_Resets_Diff"	0.511797008547008
"∂L*M"	"Adp"	"MQ_Resets_Diff"	0.0332681623931624
"∂L*M"	"DL*M"	"TQ_Resets_Diff"	0.0134221780626781
"∂L*M"	"DL*M"	"EQ_Resets_Diff"	0.497548756410256
"∂L*M"	"DL*M"	"MQ_Resets_Diff"	0.0134221780626781
"∂L*M"	"DL*M+"	"TQ_Resets_Diff"	0.00358547008547009
"∂L*M"	"DL*M+"	"EQ_Resets_Diff"	0.580024519230769
"∂L*M"	"DL*M+"	"MQ_Resets_Diff"	0.00358547008547009
