"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"srv_098l"	"L*M"	"null"	0	546	546	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098m"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098s"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098u"	"L*M"	"null"	0	595	595	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098za"	"L*M"	"null"	0	448	448	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_100"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_101"	"L*M"	"null"	0	693	693	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_101k"	"L*M"	"null"	0	399	399	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_102"	"L*M"	"null"	0	350	350	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_110pre1"	"L*M"	"null"	0	301	301	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098l"	"Adp"	"srv_097"	0	613	613	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098l"	"DL*M"	"srv_097"	0	943	943	1	"17"	"8"	"11"	"4"
"WpMethodHypEQOracle"	"srv_098l"	"DL*M+"	"srv_097"	0	943	943	1	"17"	"8"	"11"	"4"
"WpMethodHypEQOracle"	"srv_098l"	"∂L*M"	"srv_097"	0	371	371	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098l"	"Adp"	"srv_097e"	0	613	613	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098l"	"DL*M"	"srv_097e"	0	778	778	1	"14"	"8"	"11"	"4"
