"SUL"	"Reuse"	"Method"	"EqO"	"MQs"	"EQs"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"srv_097c"	"srv_097"	"WpMethodHypEQOracle"	"DL*M"	1189	6512	17	8	10	4
"srv_097c"	"srv_097"	"WpMethodHypEQOracle"	"DL*M+"	1149	0	17	8	14	4
"srv_097c"	"srv_097e"	"WpMethodHypEQOracle"	"DL*M"	1033	6512	14	8	10	4
"srv_097c"	"srv_097e"	"WpMethodHypEQOracle"	"DL*M+"	948	0	14	8	14	4
"srv_097c"	"srv_098l"	"WpMethodHypEQOracle"	"DL*M"	892	6512	11	7	10	4
"srv_097c"	"srv_098l"	"WpMethodHypEQOracle"	"DL*M+"	878	6511	11	7	11	4
"srv_097c"	"srv_098m"	"WpMethodHypEQOracle"	"DL*M"	871	6512	10	7	10	4
"srv_097c"	"srv_098s"	"WpMethodHypEQOracle"	"DL*M"	871	6512	10	7	10	4
"srv_097c"	"srv_098m"	"WpMethodHypEQOracle"	"DL*M+"	871	6512	10	7	10	4
"srv_097c"	"srv_098u"	"WpMethodHypEQOracle"	"DL*M"	1189	6462	12	7	5	3
"srv_097c"	"srv_098s"	"WpMethodHypEQOracle"	"DL*M+"	871	6512	10	7	10	4
"srv_097c"	"srv_098u"	"WpMethodHypEQOracle"	"DL*M+"	1189	6462	12	7	5	3
"srv_097c"	"srv_098za"	"WpMethodHypEQOracle"	"DL*M"	1159	6487	9	7	4	3
"srv_097c"	"srv_098za"	"WpMethodHypEQOracle"	"DL*M+"	1118	6491	9	7	6	3
"srv_097c"	"srv_100"	"WpMethodHypEQOracle"	"DL*M"	871	6512	10	7	10	4
"srv_097c"	"srv_100"	"WpMethodHypEQOracle"	"DL*M+"	871	6512	10	7	10	4
"srv_097c"	"srv_101"	"WpMethodHypEQOracle"	"DL*M"	1287	6462	14	7	5	3
"srv_097c"	"srv_101"	"WpMethodHypEQOracle"	"DL*M+"	1287	6462	14	7	5	3
"srv_097c"	"srv_101k"	"WpMethodHypEQOracle"	"DL*M"	1110	6487	8	7	4	3
"srv_097c"	"srv_101k"	"WpMethodHypEQOracle"	"DL*M+"	1118	6491	8	7	6	3
"srv_097c"	"srv_102"	"WpMethodHypEQOracle"	"DL*M"	806	6302	7	7	7	3
"srv_097c"	"srv_102"	"WpMethodHypEQOracle"	"DL*M+"	871	6512	7	7	10	4
"srv_097c"	"srv_110pre1"	"WpMethodHypEQOracle"	"DL*M"	785	5836	6	7	6	2
"srv_097c"	"srv_110pre1"	"WpMethodHypEQOracle"	"DL*M+"	871	6512	6	7	10	4
"srv_097"	"srv_097c"	"WpMethodHypEQOracle"	"DL*M"	1274	8680	14	8	10	4
"srv_097"	"srv_097c"	"WpMethodHypEQOracle"	"DL*M+"	1149	0	14	8	17	5
"srv_097"	"srv_097e"	"WpMethodHypEQOracle"	"DL*M"	1274	8680	14	8	10	4
"srv_097"	"srv_097e"	"WpMethodHypEQOracle"	"DL*M+"	1149	0	14	8	17	5
"srv_097"	"srv_098l"	"WpMethodHypEQOracle"	"DL*M"	1139	8680	11	7	10	4
"srv_097"	"srv_098l"	"WpMethodHypEQOracle"	"DL*M+"	1100	7767	11	7	14	5
"srv_097"	"srv_098m"	"WpMethodHypEQOracle"	"DL*M"	1118	8680	10	7	10	4
