"SUL"	"Seed"	"Cache"	"CloS"	"CExH"	"EqO"	"Method"	"Reuse"	"Reuse_Resets"	"Reuse_Symbols"	"Rounds"	"MQ_Resets"	"MQ_Symbols"	"EQ_Resets"	"EQ_Symbols"	"L_ms"	"SCEx"	"Q_Size"	"I_Size"	"Correct"	"Info"	"ReusedPref"	"ReusedSuf"	"TQ_Resets"	"TQ_Symbols"
"srv_098l"	"1548860775612"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	546	2408	0	0	25	4	11	7	"OK"	"null"	"null"	"null"	546	2408
"srv_098m"	"1548860778774"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	497	2065	0	0	28	4	10	7	"OK"	"null"	"null"	"null"	497	2065
"srv_098s"	"1548860782302"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	497	2065	0	0	36	3	10	7	"OK"	"null"	"null"	"null"	497	2065
"srv_098u"	"1548860782742"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	595	2506	0	0	43	4	12	7	"OK"	"null"	"null"	"null"	595	2506
"srv_098za"	"1548860784110"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	448	1820	0	0	35	3	9	7	"OK"	"null"	"null"	"null"	448	1820
"srv_100"	"1548860786958"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	497	2065	0	0	27	4	10	7	"OK"	"null"	"null"	"null"	497	2065
"srv_101"	"1548860789992"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	693	3143	0	0	23	3	14	7	"OK"	"null"	"null"	"null"	693	3143
"srv_101k"	"1548860792989"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	399	1477	0	0	26	3	8	7	"OK"	"null"	"null"	"null"	399	1477
"srv_102"	"1548860796011"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	350	1281	0	0	22	3	7	7	"OK"	"null"	"null"	"null"	350	1281
"srv_110pre1"	"1548860799087"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	301	1134	0	0	19	3	6	7	"OK"	"null"	"null"	"null"	301	1134
"srv_098l"	"1548861265521"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"srv_097"	"null"	"null"	1	613	2781	0	0	24	4	11	7	"OK"	"null"	"null"	"null"	613	2781
"srv_098l"	"1548861266486"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"srv_097"	"943"	"5243"	1	943	5243	0	0	34	4	11	7	"OK"	"null"	"11/17"	"4/8"	943	5243
"srv_098l"	"1548861267932"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"srv_097"	"943"	"5243"	1	943	5243	0	0	32	4	11	7	"OK"	"null"	"11/17"	"4/8"	943	5243
"srv_098l"	"1548861269598"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"srv_097"	"null"	"null"	1	371	1622	0	0	53	4	11	7	"OK"	"null"	"null"	"null"	371	1622
"srv_098l"	"1548861271164"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"srv_097e"	"null"	"null"	1	613	2781	0	0	25	3	11	7	"OK"	"null"	"null"	"null"	613	2781
"srv_098l"	"1548861271258"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"srv_097e"	"778"	"4287"	1	778	4287	0	0	36	4	11	7	"OK"	"null"	"11/14"	"4/8"	778	4287
"srv_098l"	"1548861271420"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"srv_097e"	"778"	"4287"	1	778	4287	0	0	36	3	11	7	"OK"	"null"	"11/14"	"4/8"	778	4287
"srv_098l"	"1548861272141"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"srv_097e"	"null"	"null"	1	359	1563	0	0	55	6	11	7	"OK"	"null"	"null"	"null"	359	1563
"srv_098m"	"1548861317064"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"srv_097"	"null"	"null"	1	558	2389	0	0	23	3	10	7	"OK"	"null"	"null"	"null"	558	2389
"srv_098m"	"1548861318306"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"srv_097"	"943"	"5243"	1	943	5243	0	0	43	4	10	7	"OK"	"null"	"10/17"	"4/8"	943	5243
"srv_098m"	"1548861318825"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"srv_097"	"943"	"5243"	1	943	5243	0	0	39	3	10	7	"OK"	"null"	"10/17"	"4/8"	943	5243
"srv_098m"	"1548861321291"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"srv_097"	"null"	"null"	1	335	1368	0	0	80	4	10	7	"OK"	"null"	"null"	"null"	335	1368
"srv_098m"	"1548861324925"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"srv_098l"	"null"	"null"	1	497	2065	0	0	27	4	10	7	"OK"	"null"	"null"	"null"	497	2065
"srv_098m"	"1548861326445"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"srv_098l"	"546"	"2408"	1	546	2408	0	0	18	3	10	7	"OK"	"null"	"10/11"	"4/7"	546	2408
