"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"srv_097c"	"L*M"	"null"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"L*M"	"null"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097e"	"L*M"	"null"	6525	955	7480	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098l"	"L*M"	"null"	0	546	546	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098m"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098s"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098u"	"L*M"	"null"	0	595	595	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_098za"	"L*M"	"null"	0	448	448	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_100"	"L*M"	"null"	0	497	497	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_101"	"L*M"	"null"	0	693	693	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_101k"	"L*M"	"null"	0	399	399	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_102"	"L*M"	"null"	0	350	350	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_110pre1"	"L*M"	"null"	0	301	301	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_097"	6303	945	7248	3	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_097"	6512	1189	7701	4	"17"	"8"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_097"	6512	699	7211	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_097"	0	1149	1149	1	"17"	"8"	"14"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_097e"	6303	945	7248	3	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_097e"	6512	1033	7545	4	"14"	"8"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_097e"	0	948	948	1	"14"	"8"	"14"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_097e"	6512	691	7203	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_098l"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_098l"	6512	892	7404	4	"11"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_098l"	6511	878	7389	3	"11"	"7"	"11"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_098l"	6512	691	7203	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_098m"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_098s"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_098m"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_098u"	6462	1189	7651	6	"12"	"7"	"5"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_098s"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_098m"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_098s"	6512	688	7200	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_098m"	6512	688	7200	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_098u"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_098u"	6462	1189	7651	6	"12"	"7"	"5"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_098s"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_098u"	6462	764	7226	6	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_098za"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_098za"	6487	1159	7646	7	"9"	"7"	"4"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_098za"	6491	1118	7609	6	"9"	"7"	"6"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_098za"	6487	845	7332	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_100"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_100"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_100"	6512	871	7383	4	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_100"	6512	688	7200	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_101"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_101"	6462	1287	7749	6	"14"	"7"	"5"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_101"	6462	1287	7749	6	"14"	"7"	"5"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_101"	6462	764	7226	6	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_101k"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_101k"	6487	1110	7597	7	"8"	"7"	"4"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_101k"	6491	1118	7609	6	"8"	"7"	"6"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_101k"	6487	845	7332	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_102"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_102"	6302	806	7108	5	"7"	"7"	"7"	"3"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_102"	6512	871	7383	4	"7"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_102"	6302	676	6978	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"Adp"	"srv_110pre1"	6512	955	7467	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M"	"srv_110pre1"	5836	785	6621	6	"6"	"7"	"6"	"2"
"WpMethodHypEQOracle"	"srv_097c"	"DL*M+"	"srv_110pre1"	6512	871	7383	4	"6"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097c"	"∂L*M"	"srv_110pre1"	5836	671	6507	6	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_097c"	7596	1146	8742	3	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_097c"	8680	1274	9954	5	"14"	"8"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_097c"	0	1149	1149	1	"14"	"8"	"17"	"5"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_097c"	8680	938	9618	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_097e"	7596	1146	8742	3	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_097e"	8680	1274	9954	5	"14"	"8"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_097e"	0	1149	1149	1	"14"	"8"	"17"	"5"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_097e"	8680	938	9618	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_098l"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_098l"	8680	1139	9819	5	"11"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_098l"	7767	1100	8867	3	"11"	"7"	"14"	"5"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_098l"	8680	938	9618	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_098m"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_098m"	8680	1118	9798	5	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_098m"	7768	1089	8857	4	"10"	"7"	"12"	"5"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_098m"	8680	935	9615	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_098s"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_098s"	8680	1118	9798	5	"10"	"7"	"10"	"4"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_098s"	7768	1089	8857	4	"10"	"7"	"12"	"5"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_098s"	8680	935	9615	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_098u"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M"	"srv_098u"	7766	1331	9097	6	"12"	"7"	"5"	"3"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_098u"	7772	1494	9266	7	"12"	"7"	"7"	"3"
"WpMethodHypEQOracle"	"srv_097"	"∂L*M"	"srv_098u"	7766	931	8697	6	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"Adp"	"srv_098za"	7768	1159	8927	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"srv_097"	"DL*M+"	"srv_098za"	7730	1318	9048	5	"9"	"7"	"8"	"4"
