"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"630","srv_110pre1","srv_098l","WpMethodHypEQOracle","DL*M+",546,0,11,7,6,3
"633","srv_110pre1","srv_098m","WpMethodHypEQOracle","DL*M",497,0,10,7,6,3
"634","srv_110pre1","srv_098m","WpMethodHypEQOracle","DL*M+",497,0,10,7,6,3
"637","srv_110pre1","srv_098s","WpMethodHypEQOracle","DL*M",497,0,10,7,6,3
"638","srv_110pre1","srv_098s","WpMethodHypEQOracle","DL*M+",497,0,10,7,6,3
"641","srv_110pre1","srv_098u","WpMethodHypEQOracle","DL*M",690,399,12,7,3,1
"642","srv_110pre1","srv_098u","WpMethodHypEQOracle","DL*M+",742,0,12,7,6,3
"645","srv_110pre1","srv_098za","WpMethodHypEQOracle","DL*M",545,399,9,7,3,1
"646","srv_110pre1","srv_098za","WpMethodHypEQOracle","DL*M+",595,0,9,7,6,3
"649","srv_110pre1","srv_100","WpMethodHypEQOracle","DL*M",497,0,10,7,6,3
"650","srv_110pre1","srv_100","WpMethodHypEQOracle","DL*M+",497,0,10,7,6,3
"653","srv_110pre1","srv_101","WpMethodHypEQOracle","DL*M",788,399,14,7,3,1
"654","srv_110pre1","srv_101","WpMethodHypEQOracle","DL*M+",840,0,14,7,6,3
"657","srv_110pre1","srv_101k","WpMethodHypEQOracle","DL*M",496,399,8,7,3,1
"658","srv_110pre1","srv_101k","WpMethodHypEQOracle","DL*M+",546,0,8,7,6,3
"661","srv_110pre1","srv_102","WpMethodHypEQOracle","DL*M",350,0,7,7,6,3
"662","srv_110pre1","srv_102","WpMethodHypEQOracle","DL*M+",350,0,7,7,6,3
