"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098l"	"srv_097"	6	"DL*M"	500	5626.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_098l"	"srv_097c"	6	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097c"	6	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097c"	6	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097c"	6	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	5	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_097e"	5	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_097e"	5	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_097e"	5	"DL*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	2	"∂L*M"	500	5518	0	0	0
"srv_098l"	"srv_098f"	2	"Adp"	500	5518	0	0	0
"srv_098l"	"srv_098f"	2	"DL*M+"	500	5518	0	0	0
"srv_098l"	"srv_098f"	2	"DL*M"	500	5518	0	0	0
"srv_098m"	"null"	0	"L*M"	73	5100	0	0	0
"srv_098m"	"srv_097"	7	"∂L*M"	500	5238.996	143.08709171561	6.399049275577	12.5724001861046
"srv_098m"	"srv_097"	7	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097"	7	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097"	7	"DL*M"	500	5219.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_098m"	"srv_097c"	6	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_097c"	6	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097c"	6	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097c"	6	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_097e"	5	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_097e"	5	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_097e"	5	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_097e"	5	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_098f"	2	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_098f"	2	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_098f"	2	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_098f"	2	"DL*M"	500	5100	0	0	0
"srv_098m"	"srv_098l"	0	"∂L*M"	500	5100	0	0	0
"srv_098m"	"srv_098l"	0	"Adp"	500	5100	0	0	0
"srv_098m"	"srv_098l"	0	"DL*M+"	500	5100	0	0	0
"srv_098m"	"srv_098l"	0	"DL*M"	500	5100	0	0	0
"srv_098s"	"null"	0	"L*M"	73	5025	0	0	0
"srv_098s"	"srv_097"	9	"∂L*M"	500	5014.308	11.0066993627392	0.492234559659769	0.967107706623431
"srv_098s"	"srv_097"	9	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_097"	9	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_097"	9	"DL*M"	500	5133.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_098s"	"srv_097c"	8	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_097c"	8	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_097c"	8	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_097c"	8	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_097e"	7	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_097e"	7	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_097e"	7	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_097e"	7	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_098f"	4	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_098f"	4	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_098f"	4	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_098f"	4	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_098l"	2	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_098l"	2	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_098l"	2	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_098l"	2	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_098m"	1	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_098m"	1	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_098m"	1	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_098m"	1	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_100"	1	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_100"	1	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_100"	1	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_100"	1	"DL*M"	500	5025	0	0	0
"srv_098s"	"srv_100f"	0	"∂L*M"	500	5025	0	0	0
"srv_098s"	"srv_100f"	0	"Adp"	500	5025	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	5025	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M"	500	5025	0	0	0
"srv_098u"	"null"	0	"L*M"	73	6077	0	0	0
"srv_098u"	"srv_097"	9	"∂L*M"	500	6254.39	182.611148518173	8.1666188307189	16.0451960417069
"srv_098u"	"srv_097"	9	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_097"	9	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_097"	9	"DL*M"	500	6237.246	163.581782246575	7.31559969967821	14.3731737426585
"srv_098u"	"srv_097c"	8	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_097c"	8	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_097c"	8	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_097c"	8	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_097e"	7	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_097e"	7	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_097e"	7	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_097e"	7	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098f"	4	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_098f"	4	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098f"	4	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098f"	4	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098l"	2	"∂L*M"	500	6097.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_098u"	"srv_098l"	2	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098l"	2	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098l"	2	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098m"	2	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_098m"	2	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098s"	0	"∂L*M"	500	6085.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_098u"	"srv_098s"	0	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M"	500	6076.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_098u"	"srv_100"	1	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_100"	1	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100"	1	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100"	1	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_100f"	0	"∂L*M"	500	6084.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_098u"	"srv_100f"	0	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M"	500	6076.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_098u"	"srv_100h"	0	"∂L*M"	500	6256.58	182.659389315223	8.16877622474873	16.0494347371653
"srv_098u"	"srv_100h"	0	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	6077	0	0	0
"srv_098za"	"null"	0	"L*M"	73	4075	0	0	0
"srv_098za"	"srv_097"	11	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_097"	11	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097"	11	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097"	11	"DL*M"	500	4078.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_098za"	"srv_097c"	10	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_097c"	10	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_097e"	9	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_097e"	9	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098f"	6	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_098f"	6	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098l"	4	"∂L*M"	500	4075.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_098za"	"srv_098l"	4	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M"	500	4075.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_098za"	"srv_098m"	4	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_098m"	4	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098s"	2	"∂L*M"	500	4075.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_098za"	"srv_098s"	2	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M"	500	4075.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_098za"	"srv_098u"	2	"∂L*M"	500	4075.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_098za"	"srv_098u"	2	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_100"	4	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_100"	4	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100"	4	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100"	4	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_100f"	2	"∂L*M"	500	4075.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_098za"	"srv_100f"	2	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M"	500	4075.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_098za"	"srv_100h"	2	"∂L*M"	500	4075.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_098za"	"srv_100h"	2	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	4076.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_100m"	0	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_101"	2	"∂L*M"	500	4075.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_098za"	"srv_101"	2	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_101"	2	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_101"	2	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	4075.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_098za"	"srv_101h"	0	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	4075	0	0	0
"srv_100"	"null"	0	"L*M"	73	5100	0	0	0
"srv_100"	"srv_097"	7	"∂L*M"	500	5238.996	143.08709171561	6.399049275577	12.5724001861046
"srv_100"	"srv_097"	7	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097"	7	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097"	7	"DL*M"	500	5219.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_100"	"srv_097c"	6	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_097c"	6	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097c"	6	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097c"	6	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_097e"	5	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_097e"	5	"Adp"	500	5100	0	0	0
"srv_100"	"srv_097e"	5	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_097e"	5	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_098f"	2	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098f"	2	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098f"	2	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098f"	2	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_098l"	0	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098l"	0	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098l"	0	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098l"	0	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_098m"	0	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098m"	0	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098m"	0	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098m"	0	"DL*M"	500	5100	0	0	0
"srv_100f"	"null"	0	"L*M"	73	5025	0	0	0
"srv_100f"	"srv_097"	9	"∂L*M"	500	5014.308	11.0066993627392	0.492234559659769	0.967107706623431
"srv_100f"	"srv_097"	9	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097"	9	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097"	9	"DL*M"	500	5133.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_100f"	"srv_097c"	8	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_097c"	8	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_097e"	7	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_097e"	7	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098f"	4	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098f"	4	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098l"	2	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098l"	2	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098m"	1	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098m"	1	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_100"	1	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_100"	1	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_100"	1	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_100"	1	"DL*M"	500	5025	0	0	0
"srv_100h"	"null"	0	"L*M"	73	6077	0	0	0
"srv_100h"	"srv_097"	9	"∂L*M"	500	6254.39	182.611148518173	8.1666188307189	16.0451960417069
"srv_100h"	"srv_097"	9	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_097"	9	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097"	9	"DL*M"	500	6237.246	163.581782246575	7.31559969967821	14.3731737426585
"srv_100h"	"srv_097c"	8	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_097c"	8	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_097e"	7	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_097e"	7	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098f"	4	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_098f"	4	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098f"	4	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098l"	2	"∂L*M"	500	6097.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_100h"	"srv_098l"	2	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098l"	2	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098m"	2	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_098m"	2	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098m"	2	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_098s"	0	"∂L*M"	500	6085.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_100h"	"srv_098s"	0	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098s"	0	"DL*M"	500	6076.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_100h"	"srv_098u"	0	"∂L*M"	500	6255.12	182.630153989676	8.16746878124338	16.0468659644833
"srv_100h"	"srv_098u"	0	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_100"	1	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_100"	1	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_100"	1	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_100"	1	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_100f"	0	"∂L*M"	500	6084.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_100h"	"srv_100f"	0	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_100f"	0	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_100f"	0	"DL*M"	500	6076.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_100m"	"null"	0	"L*M"	73	4075	0	0	0
"srv_100m"	"srv_097"	11	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_097"	11	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097"	11	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097"	11	"DL*M"	500	4078.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_100m"	"srv_097c"	10	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_097c"	10	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097c"	10	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097c"	10	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_097e"	9	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_097e"	9	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097e"	9	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097e"	9	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098f"	6	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_098f"	6	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098f"	6	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098f"	6	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098l"	4	"∂L*M"	500	4075.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_100m"	"srv_098l"	4	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098l"	4	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098l"	4	"DL*M"	500	4075.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_100m"	"srv_098m"	4	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_098m"	4	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098m"	4	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098m"	4	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098s"	2	"∂L*M"	500	4075.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_100m"	"srv_098s"	2	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098s"	2	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098s"	2	"DL*M"	500	4075.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_100m"	"srv_098u"	2	"∂L*M"	500	4075.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_100m"	"srv_098u"	2	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098u"	2	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098u"	2	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_098za"	0	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_100"	4	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_100"	4	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100"	4	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100"	4	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_100f"	2	"∂L*M"	500	4075.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_100m"	"srv_100f"	2	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100f"	2	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100f"	2	"DL*M"	500	4075.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_100m"	"srv_100h"	2	"∂L*M"	500	4075.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_100m"	"srv_100h"	2	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100h"	2	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100h"	2	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_101"	2	"∂L*M"	500	4075.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_100m"	"srv_101"	2	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_101"	2	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_101"	2	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	4075.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_100m"	"srv_101h"	0	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	4075	0	0	0
