Methods	Control	Treatment	Metric	Wilcox	VD	VD.magnitude
L*M vs Dynamic L*M (v1)	server_098s	server_100	MQ_Reset	0	0,177	large
L*M vs Dynamic L*M (v2)	server_098s	server_100	MQ_Reset	0	0,972	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_100	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098u	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_098u	server_097	MQ_Reset	0	0,37	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098u	server_098s	MQ_Reset	0	0,086	large
L*M vs Dynamic L*M (v2)	server_098u	server_098s	MQ_Reset	0	0,822	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_098s	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_101	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_101	server_097	MQ_Reset	0	0,368	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_101	server_098u	MQ_Reset	0	0,069	large
L*M vs Dynamic L*M (v2)	server_101	server_098u	MQ_Reset	0	0,96	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_098u	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098za	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_098za	server_097	MQ_Reset	0	0,102	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098za	server_101	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_098za	server_101	MQ_Reset	0	0,948	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_101	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_101k	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_101k	server_097	MQ_Reset	0	0,101	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_101k	server_098za	MQ_Reset	0	0,155	large
L*M vs Dynamic L*M (v2)	server_101k	server_098za	MQ_Reset	0	0,932	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_098za	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_102	server_097	MQ_Reset	0	0,348	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_101k	MQ_Reset	0	0,003	large
L*M vs Dynamic L*M (v2)	server_102	server_101k	MQ_Reset	0	0,79	large
