Methods	Control	Treatment	Metric	Wilcox	VD	VD.magnitude
L*M vs Dynamic L*M (v2)	server_098za	server_097	Total_Resets	0	0,399	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_097	Total_Resets	0	0,959	large
L*M vs Dynamic L*M (v1)	server_098za	server_101	Total_Resets	0	0,348	small
L*M vs Dynamic L*M (v2)	server_098za	server_101	Total_Resets	0	0,971	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_101	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	server_101k	server_097	Total_Resets	0	0,029	large
L*M vs Dynamic L*M (v2)	server_101k	server_097	Total_Resets	0	0,353	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_097	Total_Resets	0	0,979	large
L*M vs Dynamic L*M (v1)	server_101k	server_098za	Total_Resets	0	0,674	medium
L*M vs Dynamic L*M (v2)	server_101k	server_098za	Total_Resets	0	0,982	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_098za	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_097	Total_Resets	0	0,042	large
L*M vs Dynamic L*M (v2)	server_102	server_097	Total_Resets	0	0,89	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_097	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_101k	Total_Resets	0	0,604	small
L*M vs Dynamic L*M (v2)	server_102	server_101k	Total_Resets	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_101k	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_097	Total_Resets	0	0	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_097	Total_Resets	0	0,557	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_097	Total_Resets	0	1	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_102	Total_Resets	0,3197	0,512	negligible
L*M vs Dynamic L*M (v2)	server_110pre1	server_102	Total_Resets	0	0,653	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_102	Total_Resets	0	0,745	large
L*M vs Dynamic L*M (v1)	client_098m	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098j	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098m	client_098l	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098l	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098l	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_101	client_098m	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098m	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098m	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_098za	client_098j	MQ_Symbol	0	0,998	large
L*M vs Dynamic L*M (v2)	client_098za	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_098za	client_101	MQ_Symbol	0	0,998	large
L*M vs Dynamic L*M (v2)	client_098za	client_101	MQ_Symbol	0,0108	0,533	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_101	MQ_Symbol	0	0,005	large
L*M vs Dynamic L*M (v1)	client_100m	client_098j	MQ_Symbol	0	0,998	large
L*M vs Dynamic L*M (v2)	client_100m	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_100m	client_098za	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098za	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098za	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_101h	client_100m	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_100m	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_100m	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_102	client_101h	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_101h	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_101h	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_098j	MQ_Symbol	0	0,999	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_098j	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_098j	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	client_110-pre1	client_102	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_102	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_102	MQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097	MQ_Symbol	0	0,998	large
L*M vs Dynamic L*M (v2)	server_097e	server_097	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_097e	server_097c	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_097e	server_097c	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097c	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098l	server_097	MQ_Symbol	0	0,94	large
L*M vs Dynamic L*M (v2)	server_098l	server_097	MQ_Symbol	0	0,998	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098l	server_097e	MQ_Symbol	0	0,972	large
L*M vs Dynamic L*M (v2)	server_098l	server_097e	MQ_Symbol	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097e	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098m	server_097	MQ_Symbol	0	0,925	large
L*M vs Dynamic L*M (v2)	server_098m	server_097	MQ_Symbol	0	0,996	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098m	server_098l	MQ_Symbol	0	0,993	large
L*M vs Dynamic L*M (v2)	server_098m	server_098l	MQ_Symbol	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_098l	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_100	server_097	MQ_Symbol	0	0,916	large
L*M vs Dynamic L*M (v2)	server_100	server_097	MQ_Symbol	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_100	server_098m	MQ_Symbol	0	0,995	large
L*M vs Dynamic L*M (v2)	server_100	server_098m	MQ_Symbol	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_098m	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098s	server_097	MQ_Symbol	0	0,927	large
L*M vs Dynamic L*M (v2)	server_098s	server_097	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098s	server_100	MQ_Symbol	0	0,998	large
L*M vs Dynamic L*M (v2)	server_098s	server_100	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_100	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098u	server_097	MQ_Symbol	0	0,765	large
L*M vs Dynamic L*M (v2)	server_098u	server_097	MQ_Symbol	0	0,846	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_097	MQ_Symbol	0	0,687	medium
L*M vs Dynamic L*M (v1)	server_098u	server_098s	MQ_Symbol	0	0,846	large
L*M vs Dynamic L*M (v2)	server_098u	server_098s	MQ_Symbol	0	0,845	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_098s	MQ_Symbol	0,3892	0,511	negligible
L*M vs Dynamic L*M (v1)	server_101	server_097	MQ_Symbol	0	0,783	large
L*M vs Dynamic L*M (v2)	server_101	server_097	MQ_Symbol	0	0,86	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_097	MQ_Symbol	0	0,682	medium
L*M vs Dynamic L*M (v1)	server_101	server_098u	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_101	server_098u	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_098u	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_098za	server_097	MQ_Symbol	0	0,61	small
L*M vs Dynamic L*M (v2)	server_098za	server_097	MQ_Symbol	0	0,776	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_097	MQ_Symbol	0	0,75	large
L*M vs Dynamic L*M (v1)	server_098za	server_101	MQ_Symbol	0	0,966	large
L*M vs Dynamic L*M (v2)	server_098za	server_101	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_101	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_101k	server_097	MQ_Symbol	0	0,62	small
L*M vs Dynamic L*M (v2)	server_101k	server_097	MQ_Symbol	0	0,786	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_097	MQ_Symbol	0	0,764	large
L*M vs Dynamic L*M (v1)	server_101k	server_098za	MQ_Symbol	0	0,991	large
L*M vs Dynamic L*M (v2)	server_101k	server_098za	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_098za	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_097	MQ_Symbol	0	0,86	large
L*M vs Dynamic L*M (v2)	server_102	server_097	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_097	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_102	server_101k	MQ_Symbol	0	0,995	large
L*M vs Dynamic L*M (v2)	server_102	server_101k	MQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_101k	MQ_Symbol	0	1	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_097	MQ_Symbol	0	0,756	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_097	MQ_Symbol	0	0,798	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_097	MQ_Symbol	0	0,698	medium
L*M vs Dynamic L*M (v1)	server_110pre1	server_102	MQ_Symbol	0	0,991	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_102	MQ_Symbol	0	0,817	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_102	MQ_Symbol	0	0,123	large
L*M vs Dynamic L*M (v1)	client_098m	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098m	client_098l	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098l	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098l	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098m	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098m	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098m	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098za	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098za	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098za	client_101	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_098za	client_101	EQ_Symbol	0	0,439	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_101	EQ_Symbol	0	0	large
L*M vs Dynamic L*M (v1)	client_100m	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_100m	client_098za	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098za	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098za	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_100m	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_100m	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_100m	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_101h	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_101h	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_101h	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_098j	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_098j	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_098j	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_102	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_102	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_102	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_097e	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097c	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_097e	server_097c	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097c	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098l	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098l	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098l	server_097e	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098l	server_097e	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097e	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098m	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098m	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098m	server_098l	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098m	server_098l	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098m	server_098l	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_100	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_100	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_100	server_098m	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_100	server_098m	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_100	server_098m	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098s	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098s	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098s	server_100	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098s	server_100	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098s	server_100	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098u	server_097	EQ_Symbol	0	0,655	small
L*M vs Dynamic L*M (v2)	server_098u	server_097	EQ_Symbol	0	0,65	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_097	EQ_Symbol	0,5947	0,493	negligible
L*M vs Dynamic L*M (v1)	server_098u	server_098s	EQ_Symbol	0	0,625	small
L*M vs Dynamic L*M (v2)	server_098u	server_098s	EQ_Symbol	0	0,653	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098u	server_098s	EQ_Symbol	0,0136	0,532	negligible
L*M vs Dynamic L*M (v1)	server_101	server_097	EQ_Symbol	0	0,659	small
L*M vs Dynamic L*M (v2)	server_101	server_097	EQ_Symbol	0	0,645	small
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_097	EQ_Symbol	0,1727	0,482	negligible
L*M vs Dynamic L*M (v1)	server_101	server_098u	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_101	server_098u	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101	server_098u	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098za	server_097	EQ_Symbol	0,5746	0,493	negligible
L*M vs Dynamic L*M (v2)	server_098za	server_097	EQ_Symbol	0,4863	0,491	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_097	EQ_Symbol	0,8124	0,497	negligible
L*M vs Dynamic L*M (v1)	server_098za	server_101	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_098za	server_101	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098za	server_101	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_101k	server_097	EQ_Symbol	0,1842	0,483	negligible
L*M vs Dynamic L*M (v2)	server_101k	server_097	EQ_Symbol	0,1629	0,482	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_097	EQ_Symbol	0,9293	0,499	negligible
L*M vs Dynamic L*M (v1)	server_101k	server_098za	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_101k	server_098za	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_101k	server_098za	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_102	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_102	server_097	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_097	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_102	server_101k	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_102	server_101k	EQ_Symbol	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_101k	EQ_Symbol	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_110pre1	server_097	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_097	EQ_Symbol	0	0,716	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_097	EQ_Symbol	0	0	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_102	EQ_Symbol	0	1	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_102	EQ_Symbol	0	0,699	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_102	EQ_Symbol	0	0	large
