Method	Inferred	Reused	N	Total_Resets	sd	se	ci
DynFull	client_101	client_098j	1000	352	0	0	0
DynFull	client_101	client_098m	1000	352	0	0	0
DynFull	client_101h	client_098j	1000	352	0	0	0
DynFull	client_101h	client_100m	1000	207	0	0	0
DynFull	client_102	client_098j	1000	352	0	0	0
DynFull	client_102	client_101h	1000	207	0	0	0
DynFull	client_110-pre1	client_098j	1000	352	0	0	0
DynFull	client_110-pre1	client_102	1000	207	0	0	0
DynFull	server_097e	server_097	1000	892	0	0	0
DynFull	server_097e	server_097c	1000	651	0	0	0
DynFull	server_098l	server_097	1000	892	0	0	0
DynFull	server_098l	server_097e	1000	722	0	0	0
DynFull	server_098m	server_097	1000	892	0	0	0
DynFull	server_098m	server_098l	1000	357	0	0	0
DynFull	server_098s	server_097	1000	892	0	0	0
DynFull	server_098s	server_100	1000	325	0	0	0
DynFull	server_098u	server_097	1000	1182,639	165,262247017549	5,22605111812823	10,2552967871058
DynFull	server_098u	server_098s	1000	630,685	171,675141267247	5,42884464035665	10,653246923824
DynFull	server_098za	server_097	1000	1228,054	245,372440829688	7,7593578805671	15,2265096808094
DynFull	server_098za	server_101	1000	538	0	0	0
DynFull	server_100	server_097	1000	892	0	0	0
DynFull	server_100	server_098m	1000	325	0	0	0
DynFull	server_101	server_097	1000	1326,636	193,427991490094	6,11673016340364	12,0031132062125
DynFull	server_101	server_098u	1000	538	0	0	0
DynFull	server_101k	server_097	1000	1195,226	213,726399627884	6,75862218931476	13,2627245422289
DynFull	server_101k	server_098za	1000	293	0	0	0
DynFull	server_102	server_097	1000	892	0	0	0
DynFull	server_102	server_101k	1000	310	0	0	0
DynFull	server_110pre1	server_097	1000	995	0	0	0
DynFull	server_110pre1	server_102	1000	272	0	0	0
L*M	client_098m	N/A	1000	747,027	260,779336093052	8,24656668760601	16,1825797230912
L*M	client_098za	N/A	1000	483,803	143,685990461335	4,54374997715047	8,91638896918652
L*M	client_100m	N/A	1000	490,618	146,963990455113	4,64740943865402	9,11980422833372
L*M	client_101	N/A	1000	711,051	281,981304087443	8,91703178500867	17,4982611819673
L*M	client_101h	N/A	1000	490,949	148,322790052807	4,69037845477836	9,20412411021862
L*M	client_102	N/A	1000	487,612	139,747009566154	4,41918846426385	8,67195674798761
L*M	client_110-pre1	N/A	1000	487,411	145,858571231868	4,61245301350613	9,05120778593301
L*M	server_097e	N/A	1000	2347,656	1858,39588649322	58,7676379560633	115,322172534063
L*M	server_098l	N/A	1000	642,879	403,847608944575	12,7707827187784	25,0606364201855
L*M	server_098m	N/A	1000	568,903	353,140433477613	11,1672810368843	21,9140185868075
L*M	server_098s	N/A	1000	567,8	317,381456592834	10,0364828993522	19,6950065173557
L*M	server_098u	N/A	1000	711,806	429,02896430919	13,5670870940013	26,6232575113672
L*M	server_098za	N/A	1000	535,645	364,988056320007	11,5419357672903	22,649219097893
L*M	server_100	N/A	1000	570,831	357,642520698548	11,3096495353133	22,1933941940339
L*M	server_101	N/A	1000	841,053	475,052813239082	15,0224889870609	29,4792529887303
L*M	server_101k	N/A	1000	448,8	271,859146241938	8,59694104873329	16,8701338588494
L*M	server_102	N/A	1000	399,308	205,580929695959	6,50103981334176	12,7572599661998
L*M	server_110pre1	N/A	1000	291,462	96,3802973522997	3,04781261197563	5,98084905424521
