"SUL"	"Reuse"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"srv_110pre1"	"DL*M+"	500	11481.148	245.698664553813	10.9879783184649	21.5884039498234
"srv_097"	"srv_110pre1"	"DL*M"	500	13396.996	200.505643337089	8.96688496748119	17.617502441216
"srv_097"	"srv_110pre1"	"Adp"	500	11525	0	0	0
"srv_097c"	"null"	"L*M"	73	9808	0	0	0
"srv_097c"	"srv_097"	"∂L*M"	500	9707.358	29.2516179091106	1.30817212193243	2.57020421643138
"srv_097c"	"srv_097"	"DL*M+"	500	10117.636	157.808512308792	7.05741121901143	13.865903246278
"srv_097c"	"srv_097"	"DL*M"	500	10076.648	194.545140570097	8.70032318013979	17.0937806631121
"srv_097c"	"srv_097"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_097e"	"∂L*M"	500	9694.6	12.3291530946803	0.55137648849414	1.08330559244402
"srv_097c"	"srv_097e"	"DL*M+"	500	9774.06	11.2190969455008	0.501733268326	0.985770098716405
"srv_097c"	"srv_097e"	"DL*M"	500	9673.832	126.886295714234	5.67452765260337	11.1489112590422
"srv_097c"	"srv_097e"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098f"	"∂L*M"	500	9696.196	12.7350676439425	0.569529538998271	1.11897142430557
"srv_097c"	"srv_098f"	"DL*M+"	500	9775.81	13.0358646638829	0.582981590678591	1.14540106561098
"srv_097c"	"srv_098f"	"DL*M"	500	9670.956	130.457135459831	5.83422046076162	11.4626644127601
"srv_097c"	"srv_098f"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098l"	"∂L*M"	500	9706.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_097c"	"srv_098l"	"DL*M+"	500	9614.79	126.252640997	5.64618975216339	11.0932349531689
"srv_097c"	"srv_098l"	"DL*M"	500	9616.38	122.221732534798	5.4659220455121	10.7390576916652
"srv_097c"	"srv_098l"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098m"	"∂L*M"	500	9706.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_097c"	"srv_098m"	"DL*M+"	500	9585.468	122.986162507563	5.50010839317493	10.8062246136889
"srv_097c"	"srv_098m"	"DL*M"	500	9585.468	122.986162507563	5.50010839317493	10.8062246136889
"srv_097c"	"srv_098m"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098s"	"∂L*M"	500	9705.604	6.92814422228128	0.309836028778867	0.608743952128747
"srv_097c"	"srv_098s"	"DL*M+"	500	9594.072	124.959980832342	5.58838023216374	10.9796548901467
"srv_097c"	"srv_098s"	"DL*M"	500	9588.042	121.057813562153	5.41387000664938	10.6367895210508
"srv_097c"	"srv_098s"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098u"	"∂L*M"	500	9713.744	22.8363188565459	1.02127122638194	2.00652159464264
"srv_097c"	"srv_098u"	"DL*M+"	500	9772.904	134.723389087175	6.02501312316152	11.837520364162
"srv_097c"	"srv_098u"	"DL*M"	500	9771.748	133.616838066277	5.97552665709553	11.740292849826
"srv_097c"	"srv_098u"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_098za"	"∂L*M"	500	9727.908	16.543243145997	0.739836324855133	1.4535781719632
"srv_097c"	"srv_098za"	"DL*M+"	500	9739.032	161.327741744912	7.21479594396308	14.175121641083
"srv_097c"	"srv_098za"	"DL*M"	500	9794.41	167.030441047352	7.46982840987301	14.6761914225123
"srv_097c"	"srv_098za"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_100"	"∂L*M"	500	9706.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_097c"	"srv_100"	"DL*M+"	500	9586.82	122.969193072451	5.49934949696594	10.8047335880023
"srv_097c"	"srv_100"	"DL*M"	500	9586.82	122.969193072451	5.49934949696594	10.8047335880023
"srv_097c"	"srv_100"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_100f"	"∂L*M"	500	9705.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_097c"	"srv_100f"	"DL*M+"	500	9593.358	124.66378766872	5.57513407119718	10.9536297683779
"srv_097c"	"srv_100f"	"DL*M"	500	9588.534	121.540054359159	5.43543647072197	10.6791617868738
"srv_097c"	"srv_100f"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_100h"	"∂L*M"	500	9713.594	24.0916163001137	1.07740983469792	2.1168187683702
"srv_097c"	"srv_100h"	"DL*M+"	500	9783.842	135.529766735366	6.06107542789936	11.9083730341871
"srv_097c"	"srv_100h"	"DL*M"	500	9782.2	134.266596881265	6.0045847546814	11.7973841481991
"srv_097c"	"srv_100h"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_100m"	"∂L*M"	500	9730.604	16.1950530560098	0.724264790649075	1.42298432104578
"srv_097c"	"srv_100m"	"DL*M+"	500	9744.724	173.799967437749	7.77257083356115	15.2709983602313
"srv_097c"	"srv_100m"	"DL*M"	500	9783.904	172.105512400962	7.69679250061967	15.1221144423011
"srv_097c"	"srv_100m"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_101"	"∂L*M"	500	9714.928	22.5948638354713	1.01047302956931	1.98530605999519
