"SUL"	"Reuse"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_097c"	"srv_097"	"∂L*M"	500	8852.794	10.5063948462511	0.469860261493416	0.923148265413275
"srv_097c"	"srv_097"	"DL*M+"	500	8726.168	125.0439112291	5.59213371361432	10.9870294654712
"srv_097c"	"srv_097"	"DL*M"	500	8676.158	133.867389576341	5.98673166126292	11.7623076508398
"srv_097c"	"srv_097"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_097e"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_097e"	"DL*M+"	500	8826.06	11.2190969455008	0.501733268326	0.985770098716405
"srv_097c"	"srv_097e"	"DL*M"	500	8706.156	126.683910938134	5.66547673026395	11.1311286459064
"srv_097c"	"srv_097e"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098f"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098f"	"DL*M+"	500	8827.81	13.0358646638829	0.582981590678591	1.14540106561098
"srv_097c"	"srv_098f"	"DL*M"	500	8704.49	128.591529514684	5.75078802651008	11.2987422570244
"srv_097c"	"srv_098f"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098l"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098l"	"DL*M+"	500	8695.658	128.944524570971	5.76657444534165	11.3297582980813
"srv_097c"	"srv_098l"	"DL*M"	500	8692.222	127.899857165385	5.71985549868628	11.2379682104715
"srv_097c"	"srv_098l"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098m"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098m"	"DL*M+"	500	8701.284	128.741944682536	5.75751479731338	11.3119585413281
"srv_097c"	"srv_098m"	"DL*M"	500	8701.284	128.741944682536	5.75751479731338	11.3119585413281
"srv_097c"	"srv_098m"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098s"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098s"	"DL*M+"	500	8707.974	128.127853402901	5.73005180040029	11.2580011841284
"srv_097c"	"srv_098s"	"DL*M"	500	8700.054	126.445371397674	5.65480891770815	11.1101692810405
"srv_097c"	"srv_098s"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098u"	"∂L*M"	500	8852.248	10.5074883117348	0.469909162756468	0.92324434316205
"srv_097c"	"srv_098u"	"DL*M+"	500	8665.606	128.390353725892	5.74179117172677	11.2810658720052
"srv_097c"	"srv_098u"	"DL*M"	500	8664.478	128.329085652664	5.73905118019501	11.2756825301117
"srv_097c"	"srv_098u"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098za"	"∂L*M"	500	8850.366	8.63511287411447	0.386173987598071	0.758727383468844
"srv_097c"	"srv_098za"	"DL*M+"	500	8689.904	136.631589196396	6.11035042633934	12.005185071863
"srv_097c"	"srv_098za"	"DL*M"	500	8740.038	100.655668908247	4.50145835999107	8.84414754218169
"srv_097c"	"srv_098za"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_100"	"DL*M+"	500	8702.188	128.162630965317	5.73160710027334	11.2610569275008
"srv_097c"	"srv_100"	"DL*M"	500	8702.188	128.162630965317	5.73160710027334	11.2610569275008
"srv_097c"	"srv_100"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100f"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_100f"	"DL*M+"	500	8707.766	128.435987362185	5.743831969983	11.2850754883203
"srv_097c"	"srv_100f"	"DL*M"	500	8701.43	127.124215759488	5.68516776049132	11.1698161917329
"srv_097c"	"srv_100f"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100h"	"∂L*M"	500	8852.332	10.5091703441635	0.469984385533488	0.923392135562933
"srv_097c"	"srv_100h"	"DL*M+"	500	8673.632	131.093766928313	5.86269148556444	11.5186022719817
"srv_097c"	"srv_100h"	"DL*M"	500	8671.98	130.879480733054	5.85310831557966	11.4997739362538
"srv_097c"	"srv_100h"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100m"	"∂L*M"	500	8850.778	8.55330544690977	0.382515448232189	0.751539343648612
"srv_097c"	"srv_100m"	"DL*M+"	500	8702.078	135.018012292014	6.03818907343693	11.8634075409223
"srv_097c"	"srv_100m"	"DL*M"	500	8735.538	106.784936209198	4.77556752673489	9.38269787842242
"srv_097c"	"srv_100m"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_101"	"∂L*M"	500	8852.416	10.5101794344096	0.470029513421204	0.923480799650282
"srv_097c"	"srv_101"	"DL*M+"	500	8685.704	130.002714570086	5.81389814076428	11.4227365533683
"srv_097c"	"srv_101"	"DL*M"	500	8685.704	130.002714570086	5.81389814076428	11.4227365533683
"srv_097c"	"srv_101"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_101h"	"∂L*M"	500	8849.716	8.51188865628504	0.380663233047254	0.747900242036336
"srv_097c"	"srv_101h"	"DL*M+"	500	8691.08	136.520361918788	6.10537619126567	11.9954120460161
"srv_097c"	"srv_101h"	"DL*M"	500	8742.546	99.0238118566906	4.4284794940542	8.70076381935457
"srv_097c"	"srv_101h"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_101k"	"∂L*M"	500	8850.202	8.51317474791732	0.380720748813555	0.748013244952833
"srv_097c"	"srv_101k"	"DL*M+"	500	8683.252	135.658301794219	6.0668236904811	11.9196668146286
"srv_097c"	"srv_101k"	"DL*M"	500	8739.308	102.3349305566	4.57655722394554	8.99169648742282
"srv_097c"	"srv_101k"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_102"	"∂L*M"	500	8859.064	0.502403043019517	0.0224681471258878	0.0441438290192674
"srv_097c"	"srv_102"	"DL*M+"	500	8701.77	128.225819637245	5.73443298359014	11.2666090235088
"srv_097c"	"srv_102"	"DL*M"	500	8692.892	125.782490059671	5.62516396305232	11.0519249673337
"srv_097c"	"srv_102"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_110pre1"	"∂L*M"	500	8859.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_097c"	"srv_110pre1"	"DL*M+"	500	8705.826	131.608515403272	5.88571173719089	11.5638308369401
"srv_097c"	"srv_110pre1"	"DL*M"	500	8296.254	23.6524917234836	1.05777158661921	2.07823492518244
"srv_097c"	"srv_110pre1"	"Adp"	500	8863	0	0	0
"srv_097e"	"null"	"L*M"	73	8875	0	0	0
"srv_097e"	"srv_097"	"∂L*M"	500	8865.794	10.5063948462511	0.469860261493416	0.923148265413275
"srv_097e"	"srv_097"	"DL*M+"	500	8874.326	2.41731479572754	0.108105604125256	0.21239825775537
"srv_097e"	"srv_097"	"DL*M"	500	8842.944	34.5592469115603	1.54553650690897	3.0365609999685
"srv_097e"	"srv_097"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_097c"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_097c"	"DL*M+"	500	8870	0	0	0
"srv_097e"	"srv_097c"	"DL*M"	500	8876	0	0	0
"srv_097e"	"srv_097c"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098f"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_098f"	"DL*M+"	500	8870	0	0	0
"srv_097e"	"srv_098f"	"DL*M"	500	8876	0	0	0
"srv_097e"	"srv_098f"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098l"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_098l"	"DL*M+"	500	8875.74	0.439073537283089	0.0196359655297255	0.0385793585966729
"srv_097e"	"srv_098l"	"DL*M"	500	8875.972	0.235216184193633	0.0105191875453015	0.0206673569395655
"srv_097e"	"srv_098l"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098m"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_098m"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_098m"	"DL*M"	500	8876	0	0	0
"srv_097e"	"srv_098m"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098s"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_098s"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_098s"	"DL*M"	500	8875.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_097e"	"srv_098s"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098u"	"∂L*M"	500	8865.248	10.5074883117348	0.469909162756468	0.92324434316205
"srv_097e"	"srv_098u"	"DL*M+"	500	8834.796	38.1424708187647	1.7057831516112	3.35140229262213
"srv_097e"	"srv_098u"	"DL*M"	500	8834.68	38.1980074814263	1.7082668266703	3.3562820420084
"srv_097e"	"srv_098u"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_098za"	"∂L*M"	500	8862.404	8.66365406763262	0.387450388575382	0.761235165983653
"srv_097e"	"srv_098za"	"DL*M+"	500	8865.186	10.5267768124968	0.470771770734228	0.924939134408855
"srv_097e"	"srv_098za"	"DL*M"	500	8829.858	30.0161251920211	1.34236192701006	2.63737793133954
"srv_097e"	"srv_098za"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_100"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_100"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_100"	"DL*M"	500	8876	0	0	0
"srv_097e"	"srv_100"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_100f"	"∂L*M"	500	8876	0	0	0
"srv_097e"	"srv_100f"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_100f"	"DL*M"	500	8875.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_097e"	"srv_100f"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_100h"	"∂L*M"	500	8865.332	10.5091703441635	0.469984385533488	0.923392135562933
"srv_097e"	"srv_100h"	"DL*M+"	500	8836.436	36.9116627326836	1.65073974065652	3.24325688533927
"srv_097e"	"srv_100h"	"DL*M"	500	8836.314	36.9688083332308	1.6532953696053	3.24827800464738
"srv_097e"	"srv_100h"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_100m"	"∂L*M"	500	8862.808	8.54876006197357	0.382312172438164	0.751139961721615
"srv_097e"	"srv_100m"	"DL*M+"	500	8865.774	10.5238979878045	0.470643025780082	0.924686185413503
"srv_097e"	"srv_100m"	"DL*M"	500	8831.98	29.3457654167648	1.31238252647297	2.57847652198013
"srv_097e"	"srv_100m"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_101"	"∂L*M"	500	8865.416	10.5101794344096	0.470029513421204	0.923480799650282
"srv_097e"	"srv_101"	"DL*M+"	500	8836.826	37.5096477101916	1.67748244184116	3.29579905635112
"srv_097e"	"srv_101"	"DL*M"	500	8836.826	37.5096477101916	1.67748244184116	3.29579905635112
"srv_097e"	"srv_101"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_101h"	"∂L*M"	500	8861.742	8.50953938360015	0.380558170378832	0.747693822323792
"srv_097e"	"srv_101h"	"DL*M+"	500	8864.19	11.0474427802984	0.494056660685731	0.970687642062488
"srv_097e"	"srv_101h"	"DL*M"	500	8827.522	29.874579444638	1.33603180874857	2.62494096194276
"srv_097e"	"srv_101h"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_101k"	"∂L*M"	500	8862.22	8.50177395139634	0.380210889693184	0.747011509753777
"srv_097e"	"srv_101k"	"DL*M+"	500	8864.948	10.8314327709562	0.484396399391539	0.951707842773167
"srv_097e"	"srv_101k"	"DL*M"	500	8829.746	29.5601944206796	1.32197208305499	2.59731740564336
"srv_097e"	"srv_101k"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_102"	"∂L*M"	500	8871.08	0.628003803774396	0.0280851839073598	0.0551797862740842
"srv_097e"	"srv_102"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_102"	"DL*M"	500	8859.102	1.18929594706255	0.0531869316599369	0.104497927848732
"srv_097e"	"srv_102"	"Adp"	500	8875	0	0	0
"srv_097e"	"srv_110pre1"	"∂L*M"	500	8871.11	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_097e"	"srv_110pre1"	"DL*M+"	500	8876	0	0	0
"srv_097e"	"srv_110pre1"	"DL*M"	500	8332.264	1.76196283333449	0.078797373383281	0.154815515418763
"srv_097e"	"srv_110pre1"	"Adp"	500	8875	0	0	0
