"Control"	"Treatment"	"DeltaQ"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"DL*M"	8	"EQ_Resets_Diff"	1.23442763070656e-268	0.730591020408163	"medium"
"∂L*M"	"DL*M"	8	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M"	10	"TQ_Resets_Diff"	2.67801065572536e-172	0	"large"
"∂L*M"	"DL*M"	10	"EQ_Resets_Diff"	1.80093508271423e-12	0.618098	"small"
"∂L*M"	"DL*M"	10	"MQ_Resets_Diff"	2.67801065572536e-172	0	"large"
"∂L*M"	"DL*M"	11	"TQ_Resets_Diff"	2.55219923445228e-171	0	"large"
"∂L*M"	"DL*M"	11	"EQ_Resets_Diff"	1.49679301591767e-116	0.906382	"large"
"∂L*M"	"DL*M"	11	"MQ_Resets_Diff"	2.55219923445228e-171	0	"large"
"∂L*M"	"DL*M"	9	"TQ_Resets_Diff"	2.67801065572536e-172	0	"large"
"∂L*M"	"DL*M"	9	"EQ_Resets_Diff"	2.08503061353766e-19	0.659804	"small"
"∂L*M"	"DL*M"	9	"MQ_Resets_Diff"	2.67801065572536e-172	0	"large"
"∂L*M"	"DL*M+"	0	"TQ_Resets_Diff"	0	0.0215626171875	"large"
"∂L*M"	"DL*M+"	0	"EQ_Resets_Diff"	0	0.70370133203125	"medium"
"∂L*M"	"DL*M+"	0	"MQ_Resets_Diff"	0	0.0215626171875	"large"
"∂L*M"	"DL*M+"	3	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	3	"EQ_Resets_Diff"	7.38942140932499e-151	0.581117214876033	"small"
"∂L*M"	"DL*M+"	3	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	-3	"TQ_Resets_Diff"	0	0.287021421487603	"medium"
"∂L*M"	"DL*M+"	-3	"EQ_Resets_Diff"	0	0.678971516528926	"medium"
"∂L*M"	"DL*M+"	-3	"MQ_Resets_Diff"	0	0.287021421487603	"medium"
"∂L*M"	"DL*M+"	-4	"TQ_Resets_Diff"	0	0.227732196597353	"large"
"∂L*M"	"DL*M+"	-4	"EQ_Resets_Diff"	4.42935652116548e-242	0.61853593194707	"small"
"∂L*M"	"DL*M+"	-4	"MQ_Resets_Diff"	0	0.227732196597353	"large"
"∂L*M"	"DL*M+"	-2	"TQ_Resets_Diff"	0	0.0658128285322359	"large"
"∂L*M"	"DL*M+"	-2	"EQ_Resets_Diff"	4.49272317953287e-11	0.520061270233196	"negligible"
"∂L*M"	"DL*M+"	-2	"MQ_Resets_Diff"	0	0.0658128285322359	"large"
"∂L*M"	"DL*M+"	-5	"TQ_Resets_Diff"	0	0.127131667820069	"large"
"∂L*M"	"DL*M+"	-5	"EQ_Resets_Diff"	4.0971390211388e-34	0.553432740484429	"negligible"
"∂L*M"	"DL*M+"	-5	"MQ_Resets_Diff"	0	0.127131667820069	"large"
"∂L*M"	"DL*M+"	-6	"TQ_Resets_Diff"	0	0.157209469387755	"large"
"∂L*M"	"DL*M+"	-6	"EQ_Resets_Diff"	1.52052182679532e-114	0.654060653061225	"small"
"∂L*M"	"DL*M+"	-6	"MQ_Resets_Diff"	0	0.157209469387755	"large"
"∂L*M"	"DL*M+"	-7	"TQ_Resets_Diff"	0	0.11614275	"large"
"∂L*M"	"DL*M+"	-7	"EQ_Resets_Diff"	5.12919339948903e-99	0.631589	"small"
"∂L*M"	"DL*M+"	-7	"MQ_Resets_Diff"	0	0.11614275	"large"
"∂L*M"	"DL*M+"	-8	"TQ_Resets_Diff"	0	0.123874857142857	"large"
"∂L*M"	"DL*M+"	-8	"EQ_Resets_Diff"	4.34976345066514e-20	0.562800408163265	"negligible"
"∂L*M"	"DL*M+"	-8	"MQ_Resets_Diff"	0	0.123874857142857	"large"
"∂L*M"	"DL*M+"	4	"TQ_Resets_Diff"	0	0	"large"
