"SUL"	"Reuse"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"srv_110pre1"	"DL*M"	500	1120.156	12.5490486190183	0.561210515301495	1.10262679394419
"srv_097"	"srv_110pre1"	"Adp"	500	1146	0	0	0
"srv_097c"	"null"	"L*M"	73	945	0	0	0
"srv_097c"	"srv_097"	"∂L*M"	500	854.564	39.030817483456	1.7455112222079	3.4294572005707
"srv_097c"	"srv_097"	"DL*M+"	500	1391.468	143.937601209983	6.43708521647557	12.6471305171019
"srv_097c"	"srv_097"	"DL*M"	500	1400.49	153.517847036484	6.86552683465988	13.4889023566709
"srv_097c"	"srv_097"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_097e"	"∂L*M"	500	831.6	12.3291530946803	0.55137648849414	1.08330559244402
"srv_097c"	"srv_097e"	"DL*M+"	500	948	0	0	0
"srv_097c"	"srv_097e"	"DL*M"	500	967.676	19.1472258176746	0.856289970177189	1.6823780716151
"srv_097c"	"srv_097e"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098f"	"∂L*M"	500	833.196	12.7350676439425	0.569529538998271	1.11897142430557
"srv_097c"	"srv_098f"	"DL*M+"	500	948	0	0	0
"srv_097c"	"srv_098f"	"DL*M"	500	966.466	18.9549842219324	0.847692664653537	1.66548669276948
"srv_097c"	"srv_098f"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098l"	"∂L*M"	500	843.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_097c"	"srv_098l"	"DL*M+"	500	919.132	23.1133517703539	1.03366051492753	2.03086319398158
"srv_097c"	"srv_098l"	"DL*M"	500	924.158	18.7885885078212	0.840251222095193	1.65086627186375
"srv_097c"	"srv_098l"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098m"	"∂L*M"	500	843.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_097c"	"srv_098m"	"DL*M+"	500	884.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_097c"	"srv_098m"	"DL*M"	500	884.184	10.5772349789347	0.47302832853773	0.929372659847858
"srv_097c"	"srv_098m"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098s"	"∂L*M"	500	842.604	6.92814422228128	0.309836028778867	0.608743952128747
"srv_097c"	"srv_098s"	"DL*M+"	500	886.098	9.99119833093991	0.446819972893281	0.877880333223752
"srv_097c"	"srv_098s"	"DL*M"	500	887.988	17.2774093471068	0.772669235504423	1.51808595650753
"srv_097c"	"srv_098s"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098u"	"∂L*M"	500	861.496	32.6291174046313	1.45921849125154	2.86696945763461
"srv_097c"	"srv_098u"	"DL*M+"	500	1107.298	81.043477754679	3.62437450784908	7.12091511951763
"srv_097c"	"srv_098u"	"DL*M"	500	1107.27	81.0015036105772	3.6224973670589	7.11722704583615
"srv_097c"	"srv_098u"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_098za"	"∂L*M"	500	877.542	12.3791244214963	0.553611274167869	1.08769634153976
"srv_097c"	"srv_098za"	"DL*M+"	500	1049.128	115.245436513879	5.1539326028334	10.1260828639565
"srv_097c"	"srv_098za"	"DL*M"	500	1054.372	99.899576910685	4.4676448979152	8.77771323943019
"srv_097c"	"srv_098za"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_100"	"∂L*M"	500	843.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_097c"	"srv_100"	"DL*M+"	500	884.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_097c"	"srv_100"	"DL*M"	500	884.632	10.1701248211492	0.454821808794951	0.893601775401623
"srv_097c"	"srv_100"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_100f"	"∂L*M"	500	842.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_097c"	"srv_100f"	"DL*M+"	500	885.592	10.2690038894609	0.459243815160887	0.902289821275912
"srv_097c"	"srv_100f"	"DL*M"	500	887.104	16.3250175005354	0.730076977301415	1.43440369498754
"srv_097c"	"srv_100f"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_100h"	"∂L*M"	500	861.262	33.8942324590479	1.51579615647222	2.97812925936714
"srv_097c"	"srv_100h"	"DL*M+"	500	1110.21	77.058639800712	3.44616713696126	6.77078586024367
"srv_097c"	"srv_100h"	"DL*M"	500	1110.22	77.0231180973796	3.4445785580947	6.76766473265465
"srv_097c"	"srv_100h"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_100m"	"∂L*M"	500	879.826	10.6973169149258	0.478398555972647	0.939923703525527
"srv_097c"	"srv_100m"	"DL*M+"	500	1042.646	115.878869985076	5.18226060884978	10.1817397299649
"srv_097c"	"srv_100m"	"DL*M"	500	1048.366	100.645551805315	4.50100590939323	8.84325859919415
"srv_097c"	"srv_100m"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_101"	"∂L*M"	500	862.512	32.1888505573032	1.43952915927424	2.8282852484099
"srv_097c"	"srv_101"	"DL*M+"	500	1199.082	85.5261874133703	3.82484737825366	7.51479006009716
"srv_097c"	"srv_101"	"DL*M"	500	1199.082	85.5261874133703	3.82484737825366	7.51479006009716
"srv_097c"	"srv_101"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_101h"	"∂L*M"	500	878.502	9.76322883448652	0.436624867075958	0.857849709180228
"srv_097c"	"srv_101h"	"DL*M+"	500	1058.122	115.991167844953	5.18728272181806	10.1916068229185
"srv_097c"	"srv_101h"	"DL*M"	500	1060.718	100.365197263012	4.48846807310541	8.81862514374007
"srv_097c"	"srv_101h"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_101k"	"∂L*M"	500	869.194	8.88855313048794	0.397508180427792	0.78099600524452
"srv_097c"	"srv_101k"	"DL*M+"	500	1051.412	115.78889580951	5.1782368413941	10.1738341157822
"srv_097c"	"srv_101k"	"DL*M"	500	1019.18	87.3462668960807	3.90624380720952	7.67471201638819
"srv_097c"	"srv_101k"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_102"	"∂L*M"	500	862.68	10.833481834448	0.484488036296697	0.95188788449403
"srv_097c"	"srv_102"	"DL*M+"	500	885.234	10.1968227595059	0.456015776895444	0.895947599620563
"srv_097c"	"srv_102"	"DL*M"	500	883.302	7.57268030316531	0.338660558595027	0.665376353039958
"srv_097c"	"srv_102"	"Adp"	500	945	0	0	0
"srv_097c"	"srv_110pre1"	"∂L*M"	500	902.078	19.5985745463413	0.876474898954325	1.72203599443853
"srv_097c"	"srv_110pre1"	"DL*M+"	500	883.146	12.2306115840312	0.546969578165804	1.07464720619849
"srv_097c"	"srv_110pre1"	"DL*M"	500	861.066	5.15351933372197	0.230472391071235	0.452815880548864
"srv_097c"	"srv_110pre1"	"Adp"	500	945	0	0	0
"srv_097e"	"null"	"L*M"	73	945	0	0	0
"srv_097e"	"srv_097"	"∂L*M"	500	876.222	18.3395035587543	0.82016753261948	1.61140725687135
"srv_097e"	"srv_097"	"DL*M+"	500	1393.596	145.869065784029	6.52346293814955	12.8168393656013
"srv_097e"	"srv_097"	"DL*M"	500	1385.592	137.837280035319	6.16427055985298	12.1111235429433
"srv_097e"	"srv_097"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_097c"	"∂L*M"	500	869.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_097e"	"srv_097c"	"DL*M+"	500	948	0	0	0
"srv_097e"	"srv_097c"	"DL*M"	500	967.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_097e"	"srv_097c"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098f"	"∂L*M"	500	870.464	8.49004509596168	0.379686359332181	0.745980949537048
"srv_097e"	"srv_098f"	"DL*M+"	500	948	0	0	0
"srv_097e"	"srv_098f"	"DL*M"	500	967.11	19.515625002507	0.872765282580004	1.71474760211861
"srv_097e"	"srv_098f"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098l"	"∂L*M"	500	877.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_097e"	"srv_098l"	"DL*M+"	500	922.716	23.279932442106	1.04111022904303	2.04549986625877
"srv_097e"	"srv_098l"	"DL*M"	500	928.666	16.0787903462293	0.719065364202721	1.41276885509035
"srv_097e"	"srv_098l"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098m"	"∂L*M"	500	877.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_097e"	"srv_098m"	"DL*M+"	500	889	0	0	0
"srv_097e"	"srv_098m"	"DL*M"	500	889	0	0	0
"srv_097e"	"srv_098m"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098s"	"∂L*M"	500	876.736	4.61876281485419	0.206557352519245	0.405829301419165
"srv_097e"	"srv_098s"	"DL*M+"	500	890.41	8.0256290372086	0.358917041787892	0.705174860927028
"srv_097e"	"srv_098s"	"DL*M"	500	891.46	14.0021612989597	0.626195689927812	1.23030507651099
"srv_097e"	"srv_098s"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098u"	"∂L*M"	500	880.256	14.0176836499409	0.626889870567103	1.23166895361566
"srv_097e"	"srv_098u"	"DL*M+"	500	1118.884	89.5838885636271	4.00631329034072	7.87132147103701
"srv_097e"	"srv_098u"	"DL*M"	500	1118.828	89.5042145647326	4.00275016078938	7.86432088568359
"srv_097e"	"srv_098u"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_098za"	"∂L*M"	500	878.634	8.36013323191148	0.373876524150181	0.73456619559818
