"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"ActiveMQ"	"L*M"	"null"	8435	2516	10951	8	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"L*M"	"null"	8435	2516	10951	8	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"hbmqtt"	"L*M"	"null"	9242	1935	11177	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"mosquitto"	"L*M"	"null"	8072	2209	10281	6	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"VerneMQ"	"L*M"	"null"	7563	2226	9789	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"Adp"	"emqtt"	0	1848	1848	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M"	"emqtt"	0	1848	1848	1	"18"	"15"	"18"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M+"	"emqtt"	0	1848	1848	1	"18"	"15"	"18"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"∂L*M"	"emqtt"	0	899	899	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"Adp"	"hbmqtt"	1783	2179	3962	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M"	"hbmqtt"	2828	2634	5462	7	"17"	"12"	"8"	"2"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M+"	"hbmqtt"	0	2317	2317	1	"17"	"12"	"18"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"∂L*M"	"hbmqtt"	2828	1313	4141	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"Adp"	"mosquitto"	3372	2279	5651	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M"	"mosquitto"	322	2556	2878	5	"18"	"14"	"13"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M+"	"mosquitto"	0	2283	2283	1	"18"	"14"	"18"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"∂L*M"	"mosquitto"	322	1469	1791	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M"	"VerneMQ"	322	2455	2777	5	"17"	"14"	"13"	"5"
"WpMethodHypEQOracle"	"ActiveMQ"	"Adp"	"VerneMQ"	3372	2279	5651	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"∂L*M"	"VerneMQ"	322	1469	1791	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"ActiveMQ"	"DL*M+"	"VerneMQ"	296	2236	2532	2	"17"	"14"	"17"	"6"
"WpMethodHypEQOracle"	"emqtt"	"Adp"	"ActiveMQ"	0	1848	1848	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"DL*M"	"ActiveMQ"	0	1848	1848	1	"18"	"15"	"18"	"5"
"WpMethodHypEQOracle"	"emqtt"	"DL*M+"	"ActiveMQ"	0	1848	1848	1	"18"	"15"	"18"	"5"
"WpMethodHypEQOracle"	"emqtt"	"∂L*M"	"ActiveMQ"	0	899	899	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"Adp"	"hbmqtt"	1783	2179	3962	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"DL*M"	"hbmqtt"	2828	2634	5462	7	"17"	"12"	"8"	"2"
"WpMethodHypEQOracle"	"emqtt"	"DL*M+"	"hbmqtt"	0	2317	2317	1	"17"	"12"	"18"	"5"
"WpMethodHypEQOracle"	"emqtt"	"∂L*M"	"hbmqtt"	2828	1313	4141	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"Adp"	"mosquitto"	3372	2279	5651	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"DL*M"	"mosquitto"	322	2556	2878	5	"18"	"14"	"13"	"5"
"WpMethodHypEQOracle"	"emqtt"	"DL*M+"	"mosquitto"	0	2283	2283	1	"18"	"14"	"18"	"5"
"WpMethodHypEQOracle"	"emqtt"	"∂L*M"	"mosquitto"	322	1469	1791	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"Adp"	"VerneMQ"	3372	2279	5651	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"DL*M"	"VerneMQ"	322	2455	2777	5	"17"	"14"	"13"	"5"
"WpMethodHypEQOracle"	"emqtt"	"∂L*M"	"VerneMQ"	322	1469	1791	5	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"emqtt"	"DL*M+"	"VerneMQ"	296	2236	2532	2	"17"	"14"	"17"	"6"
"WpMethodHypEQOracle"	"hbmqtt"	"Adp"	"ActiveMQ"	9056	2160	11216	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"hbmqtt"	"DL*M"	"ActiveMQ"	8345	2788	11133	7	"18"	"15"	"3"	"1"
"WpMethodHypEQOracle"	"hbmqtt"	"DL*M+"	"ActiveMQ"	8345	2964	11309	7	"18"	"15"	"4"	"1"
"WpMethodHypEQOracle"	"hbmqtt"	"∂L*M"	"ActiveMQ"	8345	1056	9401	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"hbmqtt"	"Adp"	"emqtt"	9056	2160	11216	4	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"hbmqtt"	"DL*M"	"emqtt"	8345	2788	11133	7	"18"	"15"	"3"	"1"
"WpMethodHypEQOracle"	"hbmqtt"	"DL*M+"	"emqtt"	8345	2964	11309	7	"18"	"15"	"4"	"1"
"WpMethodHypEQOracle"	"hbmqtt"	"∂L*M"	"emqtt"	8345	1056	9401	7	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"hbmqtt"	"Adp"	"mosquitto"	9056	2160	11216	4	"null"	"null"	"null"	"null"
