"SUL"	"Seed"	"Cache"	"CloS"	"CExH"	"EqO"	"Method"	"Reuse"	"Reuse_Resets"	"Reuse_Symbols"	"Rounds"	"MQ_Resets"	"MQ_Symbols"	"EQ_Resets"	"EQ_Symbols"	"L_ms"	"SCEx"	"Q_Size"	"I_Size"	"Correct"	"Info"	"ReusedPref"	"ReusedSuf"	"TQ_Resets"	"TQ_Symbols"
"ActiveMQ"	"1548860729951"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	8	2516	15049	8435	49875	48	170	18	9	"OK"	"null"	"null"	"null"	10951	64924
"emqtt"	"1548860732246"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	8	2516	15049	8435	49875	35	143	18	9	"OK"	"null"	"null"	"null"	10951	64924
"hbmqtt"	"1548860735280"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	5	1935	9895	9242	53113	33	122	17	9	"OK"	"null"	"null"	"null"	11177	63008
"mosquitto"	"1548860740233"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	6	2209	12866	8072	47543	83	164	18	9	"OK"	"null"	"null"	"null"	10281	60409
"VerneMQ"	"1548860741470"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	7	2226	12740	7563	46419	47	163	17	9	"OK"	"null"	"null"	"null"	9789	59159
"ActiveMQ"	"1548860744255"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"emqtt"	"null"	"null"	1	1848	10464	0	0	29	4	18	9	"OK"	"null"	"null"	"null"	1848	10464
"ActiveMQ"	"1548860745314"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"emqtt"	"1848"	"21174"	1	1848	21174	0	0	40	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"ActiveMQ"	"1548860746259"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"emqtt"	"1848"	"21174"	1	1848	21174	0	0	43	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"ActiveMQ"	"1548860748319"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"emqtt"	"null"	"null"	1	899	10597	0	0	148	3	18	9	"OK"	"null"	"null"	"null"	899	10597
"ActiveMQ"	"1548860748447"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"hbmqtt"	"null"	"null"	4	2179	12072	1783	10796	42	70	18	9	"OK"	"null"	"null"	"null"	3962	22868
"ActiveMQ"	"1548860749458"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"hbmqtt"	"1641"	"11967"	7	2634	18902	2828	15846	41	72	18	9	"OK"	"null"	"8/17"	"2/12"	5462	34748
"ActiveMQ"	"1548860750271"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"hbmqtt"	"2317"	"19019"	1	2317	19019	0	0	39	2	18	9	"OK"	"null"	"18/17"	"5/12"	2317	19019
"ActiveMQ"	"1548860752590"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"hbmqtt"	"null"	"null"	7	1313	8532	2828	15846	36	71	18	9	"OK"	"null"	"null"	"null"	4141	24378
"ActiveMQ"	"1548860753481"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"mosquitto"	"null"	"null"	4	2279	13183	3372	22465	48	91	18	9	"OK"	"null"	"null"	"null"	5651	35648
"ActiveMQ"	"1548860754692"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"mosquitto"	"1848"	"20685"	5	2556	26857	322	1804	52	40	18	9	"OK"	"null"	"13/18"	"5/14"	2878	28661
"ActiveMQ"	"1548860755733"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"mosquitto"	"2283"	"26873"	1	2283	26873	0	0	48	2	18	9	"OK"	"null"	"18/18"	"5/14"	2283	26873
"ActiveMQ"	"1548860757838"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"mosquitto"	"null"	"null"	5	1469	13122	322	1804	79	34	18	9	"OK"	"null"	"null"	"null"	1791	14926
"ActiveMQ"	"1548860762744"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"VerneMQ"	"1746"	"18466"	5	2455	24655	322	1804	64	42	18	9	"OK"	"null"	"13/17"	"5/14"	2777	26459
