"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"17","ActiveMQ","emqtt","WpMethodHypEQOracle","DL*M",1848,0,18,15,18,5
"18","ActiveMQ","emqtt","WpMethodHypEQOracle","DL*M+",1848,0,18,15,18,5
"21","ActiveMQ","hbmqtt","WpMethodHypEQOracle","DL*M",2634,2828,17,12,8,2
"22","ActiveMQ","hbmqtt","WpMethodHypEQOracle","DL*M+",2317,0,17,12,18,5
"25","ActiveMQ","mosquitto","WpMethodHypEQOracle","DL*M",2556,322,18,14,13,5
"26","ActiveMQ","mosquitto","WpMethodHypEQOracle","DL*M+",2283,0,18,14,18,5
"28","ActiveMQ","VerneMQ","WpMethodHypEQOracle","DL*M",2455,322,17,14,13,5
"31","ActiveMQ","VerneMQ","WpMethodHypEQOracle","DL*M+",2236,296,17,14,17,6
"33","emqtt","ActiveMQ","WpMethodHypEQOracle","DL*M",1848,0,18,15,18,5
"34","emqtt","ActiveMQ","WpMethodHypEQOracle","DL*M+",1848,0,18,15,18,5
"37","emqtt","hbmqtt","WpMethodHypEQOracle","DL*M",2634,2828,17,12,8,2
"38","emqtt","hbmqtt","WpMethodHypEQOracle","DL*M+",2317,0,17,12,18,5
"41","emqtt","mosquitto","WpMethodHypEQOracle","DL*M",2556,322,18,14,13,5
"42","emqtt","mosquitto","WpMethodHypEQOracle","DL*M+",2283,0,18,14,18,5
"45","emqtt","VerneMQ","WpMethodHypEQOracle","DL*M",2455,322,17,14,13,5
"47","emqtt","VerneMQ","WpMethodHypEQOracle","DL*M+",2236,296,17,14,17,6
"49","hbmqtt","ActiveMQ","WpMethodHypEQOracle","DL*M",2788,8345,18,15,3,1
"50","hbmqtt","ActiveMQ","WpMethodHypEQOracle","DL*M+",2964,8345,18,15,4,1
"53","hbmqtt","emqtt","WpMethodHypEQOracle","DL*M",2788,8345,18,15,3,1
"54","hbmqtt","emqtt","WpMethodHypEQOracle","DL*M+",2964,8345,18,15,4,1
"57","hbmqtt","mosquitto","WpMethodHypEQOracle","DL*M",2788,8345,18,14,3,1
"58","hbmqtt","mosquitto","WpMethodHypEQOracle","DL*M+",2964,8345,18,14,4,1
"61","hbmqtt","VerneMQ","WpMethodHypEQOracle","DL*M",2686,8345,17,14,3,1
"62","hbmqtt","VerneMQ","WpMethodHypEQOracle","DL*M+",2862,8345,17,14,4,1
"65","mosquitto","ActiveMQ","WpMethodHypEQOracle","DL*M",1848,0,18,15,18,5
"66","mosquitto","ActiveMQ","WpMethodHypEQOracle","DL*M+",1848,0,18,15,18,5
"69","mosquitto","emqtt","WpMethodHypEQOracle","DL*M",1848,0,18,15,18,5
"70","mosquitto","emqtt","WpMethodHypEQOracle","DL*M+",1848,0,18,15,18,5
"73","mosquitto","hbmqtt","WpMethodHypEQOracle","DL*M",2485,3209,17,12,8,2
"74","mosquitto","hbmqtt","WpMethodHypEQOracle","DL*M+",2027,0,17,12,18,5
"77","mosquitto","VerneMQ","WpMethodHypEQOracle","DL*M",1787,0,17,14,17,5
"78","mosquitto","VerneMQ","WpMethodHypEQOracle","DL*M+",1848,0,17,14,18,5
"81","VerneMQ","ActiveMQ","WpMethodHypEQOracle","DL*M",2312,636,18,15,12,4
"82","VerneMQ","ActiveMQ","WpMethodHypEQOracle","DL*M+",2320,23,18,15,13,5
"85","VerneMQ","emqtt","WpMethodHypEQOracle","DL*M",2312,636,18,15,12,4
"86","VerneMQ","emqtt","WpMethodHypEQOracle","DL*M+",2320,23,18,15,13,5
"89","VerneMQ","hbmqtt","WpMethodHypEQOracle","DL*M",2424,3106,17,12,8,2
"90","VerneMQ","hbmqtt","WpMethodHypEQOracle","DL*M+",2052,0,17,12,17,5
"93","VerneMQ","mosquitto","WpMethodHypEQOracle","DL*M",2302,636,18,14,12,4
"94","VerneMQ","mosquitto","WpMethodHypEQOracle","DL*M+",2312,23,18,14,13,5
