"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"166","cli_100m","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"168","cli_100m","cli_098za","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"170","cli_100m","cli_098za","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"173","cli_100m","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"174","cli_100m","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"177","cli_100m","cli_101h","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"178","cli_100m","cli_101h","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"181","cli_100m","cli_102","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"182","cli_100m","cli_102","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"185","cli_100m","cli_110-pre1","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"186","cli_100m","cli_110-pre1","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"189","cli_101","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"190","cli_101","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"193","cli_101","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"194","cli_101","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"197","cli_101","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"198","cli_101","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"201","cli_101","cli_098za","WpMethodHypEQOracle","DL*M",615,128,7,8,7,3
"202","cli_101","cli_098za","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"205","cli_101","cli_100m","WpMethodHypEQOracle","DL*M",615,128,7,8,7,3
"206","cli_101","cli_100m","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"209","cli_101","cli_101h","WpMethodHypEQOracle","DL*M",615,128,7,8,7,3
"212","cli_101","cli_101h","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"213","cli_101","cli_102","WpMethodHypEQOracle","DL*M",615,128,7,8,7,3
"214","cli_101","cli_102","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"217","cli_101","cli_110-pre1","WpMethodHypEQOracle","DL*M",615,128,7,8,7,3
"218","cli_101","cli_110-pre1","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"221","cli_101h","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"222","cli_101h","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"225","cli_101h","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"226","cli_101h","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"229","cli_101h","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"230","cli_101h","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"233","cli_101h","cli_098za","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"234","cli_101h","cli_098za","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"237","cli_101h","cli_100m","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"238","cli_101h","cli_100m","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"241","cli_101h","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"242","cli_101h","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"245","cli_101h","cli_102","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"246","cli_101h","cli_102","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"249","cli_101h","cli_110-pre1","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"250","cli_101h","cli_110-pre1","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"253","cli_102","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"254","cli_102","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"257","cli_102","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"258","cli_102","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"261","cli_102","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"262","cli_102","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"265","cli_102","cli_098za","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"266","cli_102","cli_098za","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"269","cli_102","cli_100m","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"270","cli_102","cli_100m","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"273","cli_102","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"274","cli_102","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"277","cli_102","cli_101h","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"278","cli_102","cli_101h","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"281","cli_102","cli_110-pre1","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"282","cli_102","cli_110-pre1","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"285","cli_110-pre1","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"286","cli_110-pre1","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"289","cli_110-pre1","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"290","cli_110-pre1","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"293","cli_110-pre1","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"294","cli_110-pre1","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"297","cli_110-pre1","cli_098za","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"298","cli_110-pre1","cli_098za","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"301","cli_110-pre1","cli_100m","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"302","cli_110-pre1","cli_100m","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"305","cli_110-pre1","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,7,4
"306","cli_110-pre1","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,7,4
"309","cli_110-pre1","cli_101h","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"310","cli_110-pre1","cli_101h","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
"313","cli_110-pre1","cli_102","WpMethodHypEQOracle","DL*M",456,0,7,8,7,4
"314","cli_110-pre1","cli_102","WpMethodHypEQOracle","DL*M+",456,0,7,8,7,4
