"SUL"	"Seed"	"Cache"	"CloS"	"CExH"	"EqO"	"Method"	"Reuse"	"Reuse_Resets"	"Reuse_Symbols"	"Rounds"	"MQ_Resets"	"MQ_Symbols"	"EQ_Resets"	"EQ_Symbols"	"L_ms"	"SCEx"	"Q_Size"	"I_Size"	"Correct"	"Info"	"ReusedPref"	"ReusedSuf"	"TQ_Resets"	"TQ_Symbols"
"cli_098j"	"1548860729944"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	30	3	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098l"	"1548860732305"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	34	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098m"	"1548860735712"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	30	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098za"	"1548860741257"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	27	2	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_100m"	"1548860741540"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	17	2	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_101"	"1548860744336"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	31	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_101h"	"1548860748346"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	24	3	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_102"	"1548860750342"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	19	3	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_110-pre1"	"1548860755739"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	22	4	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_098j"	"1548860802006"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098l"	"null"	"null"	1	776	3848	0	0	30	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098j"	"1548860802959"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098l"	"776"	"3848"	1	776	3848	0	0	27	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098j"	"1548860804038"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098l"	"776"	"3848"	1	776	3848	0	0	47	3	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098j"	"1548860805007"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"cli_098l"	"null"	"null"	1	436	2116	0	0	84	4	12	8	"OK"	"null"	"null"	"null"	436	2116
"cli_098j"	"1548860806017"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098m"	"null"	"null"	1	776	3848	0	0	36	3	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098j"	"1548860807025"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098m"	"776"	"3848"	1	776	3848	0	0	36	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098j"	"1548860808020"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098m"	"776"	"3848"	1	776	3848	0	0	40	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098j"	"1548860809019"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"cli_098m"	"null"	"null"	1	436	2116	0	0	84	2	12	8	"OK"	"null"	"null"	"null"	436	2116
"cli_098j"	"1548860810024"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098za"	"null"	"null"	1	776	3848	0	0	26	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098j"	"1548860811043"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098za"	"456"	"1928"	1	616	2888	0	0	28	3	12	8	"OK"	"null"	"7/7"	"4/8"	616	2888
"cli_098j"	"1548860812064"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098za"	"776"	"3848"	1	776	3848	0	0	30	5	12	8	"OK"	"null"	"12/7"	"4/8"	776	3848
