"SUL"	"Seed"	"Cache"	"CloS"	"CExH"	"EqO"	"Method"	"Reuse"	"Reuse_Resets"	"Reuse_Symbols"	"Rounds"	"MQ_Resets"	"MQ_Symbols"	"EQ_Resets"	"EQ_Symbols"	"L_ms"	"SCEx"	"Q_Size"	"I_Size"	"Correct"	"Info"	"ReusedPref"	"ReusedSuf"	"TQ_Resets"	"TQ_Symbols"
"cli_098m"	"1548860735712"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	30	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098za"	"1548860741257"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	27	2	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_100m"	"1548860741540"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	17	2	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_101"	"1548860744336"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	776	3848	0	0	31	4	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_101h"	"1548860748346"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	24	3	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_102"	"1548860750342"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	19	3	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_110-pre1"	"1548860755739"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"L*M"	"null"	"null"	"null"	1	456	1928	0	0	22	4	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_098m"	"1548860875176"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098j"	"null"	"null"	1	776	3848	0	0	27	3	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098m"	"1548860876093"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098j"	"776"	"3848"	1	776	3848	0	0	34	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098m"	"1548860877237"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098j"	"776"	"3848"	1	776	3848	0	0	30	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098m"	"1548860878177"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"cli_098j"	"null"	"null"	1	436	2116	0	0	107	4	12	8	"OK"	"null"	"null"	"null"	436	2116
"cli_098m"	"1548860879055"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098l"	"null"	"null"	1	776	3848	0	0	31	3	12	8	"OK"	"null"	"null"	"null"	776	3848
"cli_098m"	"1548860880093"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098l"	"776"	"3848"	1	776	3848	0	0	27	4	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098m"	"1548860881089"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098l"	"776"	"3848"	1	776	3848	0	0	25	3	12	8	"OK"	"null"	"12/12"	"4/8"	776	3848
"cli_098m"	"1548860882226"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"cli_098l"	"null"	"null"	1	436	2116	0	0	93	4	12	8	"OK"	"null"	"null"	"null"	436	2116
"cli_098za"	"1548860907153"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_098j"	"null"	"null"	1	456	1928	0	0	27	4	7	8	"OK"	"null"	"null"	"null"	456	1928
"cli_098za"	"1548860908180"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"cli_098j"	"776"	"3848"	1	776	3848	0	0	35	3	7	8	"OK"	"null"	"7/12"	"4/8"	776	3848
"cli_098za"	"1548860909162"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"cli_098j"	"776"	"3848"	1	776	3848	0	0	34	4	7	8	"OK"	"null"	"7/12"	"4/8"	776	3848
"cli_098za"	"1548860910461"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"cli_098j"	"null"	"null"	1	264	1096	0	0	60	4	7	8	"OK"	"null"	"null"	"null"	264	1096
"cli_098za"	"1548860923382"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"cli_101"	"null"	"null"	1	456	1928	0	0	18	4	7	8	"OK"	"null"	"null"	"null"	456	1928
