"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M"	"cli_098za"	6	707	713	2	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M+"	"cli_098za"	0	776	776	1	"7"	"8"	"12"	"5"
"WpMethodHypEQOracle"	"cli_098l"	"∂L*M"	"cli_098za"	6	510	516	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"Adp"	"cli_100m"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M"	"cli_100m"	6	707	713	2	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M+"	"cli_100m"	0	776	776	1	"7"	"8"	"12"	"5"
"WpMethodHypEQOracle"	"cli_098l"	"∂L*M"	"cli_100m"	6	510	516	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"Adp"	"cli_101"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M"	"cli_101"	0	776	776	1	"12"	"8"	"12"	"5"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M+"	"cli_101"	0	776	776	1	"12"	"8"	"12"	"5"
"WpMethodHypEQOracle"	"cli_098l"	"∂L*M"	"cli_101"	0	521	521	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"Adp"	"cli_101h"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M"	"cli_101h"	6	707	713	2	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098l"	"DL*M+"	"cli_101h"	0	776	776	1	"7"	"8"	"12"	"5"
"WpMethodHypEQOracle"	"cli_098l"	"∂L*M"	"cli_101h"	6	510	516	2	"null"	"null"	"null"	"null"
