"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	13	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	13	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	13	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	22	"TQ_Symbols_Diff"	0	0.0573333333333333	"large"
"∂L*M"	"Adp"	22	"EQ_Symbols_Diff"	0.494687112125491	0.504666666666667	"negligible"
"∂L*M"	"Adp"	22	"MQ_Symbols_Diff"	0	0.0573333333333333	"large"
"∂L*M"	"Adp"	79	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	79	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	79	"MQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	88	"TQ_Symbols_Diff"	0	0.02	"large"
"∂L*M"	"Adp"	88	"EQ_Symbols_Diff"	1.95474023019431e-59	0.581	"small"
"∂L*M"	"Adp"	88	"MQ_Symbols_Diff"	0	0.02	"large"
"∂L*M"	"Adp"	66	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	66	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	66	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	30	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	30	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	30	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	4	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	4	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	4	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	1	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	1	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	1	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	49	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	49	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	49	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	58	"TQ_Symbols_Diff"	0	0.026	"large"
"∂L*M"	"Adp"	58	"EQ_Symbols_Diff"	0.494687112125491	0.504666666666667	"negligible"
"∂L*M"	"Adp"	58	"MQ_Symbols_Diff"	0	0.026	"large"
"∂L*M"	"Adp"	36	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	36	"EQ_Symbols_Diff"	6.76450042557805e-139	0.673666666666667	"medium"
"∂L*M"	"Adp"	36	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	78	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	78	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	78	"MQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	87	"TQ_Symbols_Diff"	0	0.0196666666666667	"large"
"∂L*M"	"Adp"	87	"EQ_Symbols_Diff"	1.95474023019431e-59	0.581	"small"
"∂L*M"	"Adp"	87	"MQ_Symbols_Diff"	0	0.0196666666666667	"large"
"∂L*M"	"Adp"	64	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	64	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	64	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	28	"TQ_Symbols_Diff"	5.09696340025506e-270	0.1898125	"large"
"∂L*M"	"Adp"	28	"EQ_Symbols_Diff"	2.02049700344219e-20	0.521	"negligible"
"∂L*M"	"Adp"	28	"MQ_Symbols_Diff"	5.09696340025506e-270	0.1898125	"large"
"∂L*M"	"Adp"	3	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	3	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	3	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	102	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	102	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	102	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	112	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	112	"EQ_Symbols_Diff"	8.51288959049554e-208	0.743	"large"
"∂L*M"	"Adp"	112	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	89	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	89	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	89	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	53	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	53	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	53	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	24	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	24	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	24	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	2	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	2	"EQ_Symbols_Diff"	1.48182750893675e-15	0.5105	"negligible"
"∂L*M"	"Adp"	2	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	0	"TQ_Symbols_Diff"	0	0.306153846153846	"medium"
"∂L*M"	"Adp"	0	"EQ_Symbols_Diff"	0	0.667153846153846	"medium"
"∂L*M"	"Adp"	0	"MQ_Symbols_Diff"	0	0.306153846153846	"medium"
"∂L*M"	"Adp"	23	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	23	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	23	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	74	"TQ_Symbols_Diff"	3.09342506711202e-68	0.281	"medium"
"∂L*M"	"Adp"	74	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	74	"MQ_Symbols_Diff"	3.09342506711202e-68	0.281	"medium"
"∂L*M"	"Adp"	83	"TQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	83	"EQ_Symbols_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	83	"MQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	61	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	61	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	61	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	25	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	25	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	25	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	100	"TQ_Symbols_Diff"	0	0.038	"large"
"∂L*M"	"Adp"	100	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	100	"MQ_Symbols_Diff"	0	0.038	"large"
"∂L*M"	"Adp"	109	"TQ_Symbols_Diff"	0	0.007	"large"
"∂L*M"	"Adp"	109	"EQ_Symbols_Diff"	1.43758625191597e-141	0.257	"large"
"∂L*M"	"Adp"	109	"MQ_Symbols_Diff"	0	0.007	"large"
"∂L*M"	"Adp"	51	"TQ_Symbols_Diff"	0	0.037	"large"
"∂L*M"	"Adp"	51	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	51	"MQ_Symbols_Diff"	0	0.037	"large"
"∂L*M"	"Adp"	26	"TQ_Symbols_Diff"	0	0.086	"large"
"∂L*M"	"Adp"	26	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	26	"MQ_Symbols_Diff"	0	0.086	"large"
"∂L*M"	"Adp"	21	"TQ_Symbols_Diff"	0	0.078	"large"
"∂L*M"	"Adp"	21	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	21	"MQ_Symbols_Diff"	0	0.078	"large"
"∂L*M"	"Adp"	130	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	130	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	130	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	139	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	139	"EQ_Symbols_Diff"	2.31451408073935e-211	0.743	"large"
"∂L*M"	"Adp"	139	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	117	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	117	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	117	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	80	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	80	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	80	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	55	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	55	"EQ_Symbols_Diff"	1.47761780997154e-20	0.528	"negligible"
"∂L*M"	"Adp"	55	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	52	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	52	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	52	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	29	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	29	"EQ_Symbols_Diff"	1.48064241032896e-15	0.5105	"negligible"
"∂L*M"	"Adp"	29	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	27	"TQ_Symbols_Diff"	0.154907423131017	0.508	"negligible"
"∂L*M"	"Adp"	27	"EQ_Symbols_Diff"	0	0.746	"large"
